Bill Month,kWh Total,Billed Demand (kW),Metered Demand (kW),Power Factor (%),Total Current Charges ($),$/kWh
2018-12,246400,614,944,94.0,24986.16,0.1014
2019-01,263270,614,589,94.0,25606.55,0.0973
2019-02,266000,623,623,94.0,25969.81,0.0976
2019-03,248360,614,583,93.0,25158.63,0.1013
2019-04,284410,614,609,93.0,26099.28,0.0918
2019-05,295470,835,835,92.0,29922.56,0.1013
2019-06,316540,769,769,87.0,30140.08,0.0952
2019-07,334040,790,790,87.0,33889.13,0.1015
2019-08,377650,885,885,87.0,37268.79,0.0987
2019-09,314230,801,801,87.0,32929.64,0.1048
2019-10,308140,829,829,90.0,32784.16,0.1064
2019-11,247450,800,800,94.0,30064.84,0.1215
2019-12,255360,575,564,94.0,25750.6,0.1008
2020-01,250880,586,586,94.1,25326.27,0.1009
2020-02,259490,575,574,94.5,25825.03,0.0995
2020-03,234990,594,594,94.4,26089.18,0.111
2020-04,201390,575,454,92.4,24236.59,0.1203
2020-06,262150,674,674,86.6,28125.81,0.1073
2020-07,327250,612,612,84.5,28654.78,0.0876
2020-08,285460,700,700,87.2,28442.01,0.0996
2020-09,233730,732,732,87.9,28401.93,0.1215
2020-10,211820,593,593,88.8,25935.13,0.1224
2020-11,198730,648,648,90.3,25971.58,0.1307
2020-12,200550,476,437,93.6,22829.57,0.1138
2021-01,194880,476,396,93.5,22617.7,0.1161
2021-02,199570,476,459,93.5,22845.03,0.1145
2021-03,174160,476,397,92.5,21786.49,0.1251
2021-05,176050,673,673,90.0,25529.04,0.145
2021-06,254100,715,715,88.8,29604.22,0.1165
2021-07,276780,743,743,86.8,31046.73,0.1122
2021-08,295820,755,755,87.7,32192.96,0.1088
2021-09,280420,783,783,88.0,32197.18,0.1148
2021-10,265860,691,691,88.8,30397.37,0.1143
2021-11,214410,694,694,92.7,28135.19,0.1312
2021-12,196980,509,481,92.9,23932.05,0.1215
2022-01,215180,509,450,92.1,25221.34,0.1172
2022-02,179970,509,442,92.6,23925.08,0.1329
2022-03,190120,509,459,92.7,24422.54,0.1285
2022-04,225050,742,742,92.3,30205.84,0.1342
2022-05,201320,682,682,91.5,28116.26,0.1397
2022-06,244650,731,731,87.1,31008.91,0.1267
2022-07,274960,769,769,85.5,33038.74,0.1202
2022-08,272020,702,702,87.1,31763.11,0.1168
2022-09,272090,671,671,87.2,31094.45,0.1143
2022-10,213367,725,725,90.4,29470.04,0.1381
2022-11,195027,711,711,91.0,28324.88,0.1452
2022-12,174188,500,429,92.3,23662.89,0.1358
2023-01,208740,500,428,92.3,25300.75,0.1212
2023-02,177303,500,490,92.8,24246.47,0.1368
2023-03,189364,500,473,92.7,26991.4,0.1425
2023-04,204148,708,708,91.0,31435.05,0.154
2023-05,186536,646,646,90.1,29423.67,0.1577
2023-06,228529,658,658,87.3,32464.25,0.1421
2023-07,251965,709,709,87.1,34409.83,0.1366
2023-08,248283,732,732,87.4,34746.95,0.1399
2023-09,253960,756,756,87.1,35900.48,0.1414
2023-10,219128,790,790,88.7,34657.33,0.1582
2023-11,207046,672,672,91.0,31838.66,0.1538
2023-12,168931,514,471,91.4,25467.88,0.1508
2024-01,203476,514,470,91.5,28025.69,0.1377
2024-02,169225,514,487,91.6,26271.8,0.1552
2024-03,200487,721,721,91.6,31403.63,0.1566
2024-04,212471,669,669,91.4,31070.63,0.1462
2024-05,214774,676,676,88.3,31509.9,0.1467
2024-06,254184,751,751,87.2,35025.0,0.1378
2024-07,273819,850,850,87.5,38097.0,0.1391
2024-08,256025,768,768,86.8,35762.19,0.1397
2024-09,251020,775,775,86.2,35552.24,0.1416
2024-10,225015,694,694,87.6,32775.11,0.1457
2024-11,204477,669,669,89.1,29304.38,0.1433
2024-12,171857,588,588,91.4,26163.94,0.1522
2025-01,206892,553,470,92.0,27021.88,0.1306
2025-02,209818,553,512,92.0,27302.24,0.1301
2025-03,205933,743,743,92.0,30785.79,0.1495
2025-04,200179,670,670,92.0,29218.0,0.146
2025-05,233247,691,691,89.0,31136.79,0.1335
2025-06,255206,757,757,89.0,33213.79,0.1301
2025-07,340067,802,802,88.0,37294.07,0.1097
2025-08,349188,819,819,88.0,38068.73,0.109
2025-09,255598,727,727,89.0,32481.43,0.1271
2025-10,281155,778,778,89.0,34628.78,0.1232
2025-11,219758,702,702,93.0,30438.18,0.1385
2026-01,226681,533,819,93.8,28035.0,0.1237
2026-02,227066,532,819,94.3,29100.96,0.1282
2026-03,211183,797,819,93.2,37266.56,0.1765
2026-04,243082,751,819,91.8,38905.98,0.1601
