Date,sat,satsp,htg,supply_vfd_speed
1/17/2023 0:39,83,77,100,40
1/17/2023 0:54,84,76,99,41
1/17/2023 1:09,83,77,100,40
1/17/2023 1:24,82,76,100,41
1/17/2023 1:39,83,77,100,40
1/17/2023 1:54,82,76,99,39
1/17/2023 2:09,81,75,98,38
1/17/2023 2:24,80,76,97,37
1/17/2023 2:39,81,77,98,38
1/17/2023 2:54,82,78,99,37
1/17/2023 3:09,81,77,98,38
1/17/2023 3:24,80,78,97,37
1/17/2023 3:39,79,79,96,36
1/17/2023 3:54,80,78,97,35
1/17/2023 4:09,81,79,96,36
1/17/2023 4:24,80,78,95,37
1/17/2023 4:39,79,77,96,38
1/17/2023 4:54,78,78,95,39
1/17/2023 5:09,77,79,94,38
1/17/2023 5:24,78,78,93,39
1/17/2023 5:39,79,79,92,38
1/17/2023 5:54,78,80,91,37
1/17/2023 6:09,79,80,92,36
1/17/2023 6:24,80,79,91,35
1/17/2023 6:39,81,80,92,34
1/17/2023 6:54,82,79,93,33
1/17/2023 7:09,81,78,92,34
1/17/2023 7:24,82,79,91,35
1/17/2023 7:39,81,80,92,36
1/17/2023 7:54,82,80,93,37
1/17/2023 8:09,83,80,92,36
1/17/2023 8:24,82,80,93,35
1/17/2023 8:39,81,80,94,36
1/17/2023 8:54,80,80,93,35
1/17/2023 9:09,81,80,94,36
1/17/2023 9:24,80,79,93,35
1/17/2023 9:39,79,80,94,34
1/17/2023 9:54,80,80,95,33
1/17/2023 10:09,79,79,96,32
1/17/2023 10:24,80,80,97,33
1/17/2023 10:39,79,80,96,32
1/17/2023 10:54,78,80,97,33
1/17/2023 11:09,77,79,98,32
1/17/2023 11:24,76,80,99,33
1/17/2023 11:39,77,79,98,32
1/17/2023 11:54,76,78,99,31
1/17/2023 12:09,77,79,100,32
1/17/2023 12:24,78,78,99,33
1/17/2023 12:39,79,79,100,34
1/17/2023 12:54,78,80,100,33
1/17/2023 13:09,77,79,100,32
1/17/2023 13:24,76,80,100,33
1/17/2023 13:39,77,79,99,34
1/17/2023 13:54,76,80,98,35
1/17/2023 14:09,77,80,97,36
1/17/2023 14:24,78,79,98,35
1/17/2023 14:39,77,78,97,34
1/17/2023 14:54,76,79,96,33
1/17/2023 15:09,77,80,95,34
1/17/2023 15:24,76,80,94,35
1/17/2023 15:39,77,80,95,36
1/17/2023 15:54,76,80,96,35
1/17/2023 16:09,77,80,97,34
1/17/2023 16:24,78,79,96,33
1/17/2023 16:39,77,80,95,32
1/17/2023 16:54,76,79,94,33
1/17/2023 17:09,75,80,95,34
1/17/2023 17:24,74,80,94,33
1/17/2023 17:39,75,79,95,34
1/17/2023 17:54,74,80,94,33
1/17/2023 18:09,73,80,93,34
1/17/2023 18:24,74,80,92,33
1/17/2023 18:39,73,79,93,34
1/17/2023 18:54,72,78,92,33
1/17/2023 19:09,73,77,91,32
1/17/2023 19:24,74,78,92,33
1/17/2023 19:39,75,77,91,32
1/17/2023 19:54,74,78,92,31
1/17/2023 20:09,73,77,91,30
1/17/2023 20:24,72,76,92,29
1/17/2023 20:39,73,77,91,28
1/17/2023 20:54,72,76,92,27
1/17/2023 21:09,71,77,93,28
1/17/2023 21:24,70,76,92,29
1/17/2023 21:39,71,75,91,30
1/17/2023 21:54,70,74,92,31
1/17/2023 22:09,71,73,93,32
1/17/2023 22:24,72,72,92,31
1/17/2023 22:39,73,73,93,30
1/17/2023 22:54,74,72,94,31
1/17/2023 23:09,73,73,95,32
1/17/2023 23:24,74,72,94,33
1/17/2023 23:39,75,71,95,34
1/17/2023 23:54,76,72,94,33
1/18/2023 0:09,75,73,95,34
1/18/2023 0:24,74,72,96,33
1/18/2023 0:39,75,71,95,34
1/18/2023 0:54,76,72,96,35
1/18/2023 1:09,75,71,97,36
1/18/2023 1:24,74,72,98,37
1/18/2023 1:39,75,71,97,36
1/18/2023 1:54,76,72,98,37
1/18/2023 2:09,77,71,97,36
1/18/2023 2:24,78,70,98,35
1/18/2023 2:39,77,71,97,36
1/18/2023 2:54,78,70,98,37
1/18/2023 3:09,77,70,99,38
1/18/2023 3:24,78,71,98,39
1/18/2023 3:39,77,70,99,38
1/18/2023 3:54,78,70,98,37
1/18/2023 4:09,79,70,99,36
1/18/2023 4:24,78,71,100,35
1/18/2023 4:39,79,70,100,36
1/18/2023 4:54,78,71,99,35
1/18/2023 5:09,77,70,100,34
1/18/2023 5:24,76,71,100,35
1/18/2023 5:39,75,72,99,36
1/18/2023 5:54,76,73,100,35
1/18/2023 6:09,77,72,99,34
1/18/2023 6:24,78,71,100,35
1/18/2023 6:39,77,72,99,36
1/18/2023 6:54,76,71,98,35
1/18/2023 7:09,77,72,97,34
1/18/2023 7:24,78,71,98,35
1/18/2023 7:39,79,72,97,36
1/18/2023 7:54,80,71,98,37
1/18/2023 8:09,79,72,97,38
1/18/2023 8:24,80,73,98,37
1/18/2023 8:39,79,74,99,38
1/18/2023 8:54,78,75,98,39
1/18/2023 9:09,77,76,97,40
1/18/2023 9:24,76,75,98,39
1/18/2023 9:39,77,76,99,38
1/18/2023 9:54,78,77,98,39
1/18/2023 10:09,79,78,99,40
1/18/2023 10:24,78,79,100,39
1/18/2023 10:39,77,80,100,38
1/18/2023 10:54,78,79,99,39
1/18/2023 11:09,77,78,98,40
1/18/2023 11:24,78,77,99,39
1/18/2023 11:39,77,76,100,40
1/18/2023 11:54,78,75,99,41
1/18/2023 12:09,77,76,100,42
1/18/2023 12:24,76,77,99,41
1/18/2023 12:39,75,78,100,42
1/18/2023 12:54,76,79,100,43
1/18/2023 13:09,75,80,100,42
1/18/2023 13:24,74,80,100,41
1/18/2023 13:39,73,79,100,40
1/18/2023 13:54,72,80,99,39
1/18/2023 14:09,73,80,98,38
1/18/2023 14:24,72,79,99,39
1/18/2023 14:39,73,78,98,38
1/18/2023 14:54,74,77,97,39
1/18/2023 15:09,73,78,98,38
1/18/2023 15:24,72,79,99,37
1/18/2023 15:39,73,80,98,36
1/18/2023 15:54,74,80,99,35
1/18/2023 16:09,75,80,98,36
1/18/2023 16:24,76,80,99,37
1/18/2023 16:39,75,79,100,36
1/18/2023 16:54,76,78,100,37
1/18/2023 17:09,75,77,100,36
1/18/2023 17:24,74,76,99,35
1/18/2023 17:39,73,75,100,36
1/18/2023 17:54,72,74,100,37
1/18/2023 18:09,73,73,99,36
1/18/2023 18:24,74,72,98,37
1/18/2023 18:39,73,73,99,38
1/18/2023 18:54,74,72,100,39
1/18/2023 19:09,73,71,99,38
1/18/2023 19:24,72,70,100,39
1/18/2023 19:39,71,71,99,38
1/18/2023 19:54,72,70,100,39
1/18/2023 20:09,73,70,99,38
1/18/2023 20:24,74,71,98,37
1/18/2023 20:39,73,70,99,36
1/18/2023 20:54,72,71,98,37
1/18/2023 21:09,71,70,97,36
1/18/2023 21:24,72,70,96,35
1/18/2023 21:39,71,71,97,34
1/18/2023 21:54,70,70,98,33
1/18/2023 22:09,71,71,97,34
1/18/2023 22:24,72,70,98,35
1/18/2023 22:39,73,71,99,36
1/18/2023 22:54,74,70,98,35
1/18/2023 23:09,75,70,99,36
1/18/2023 23:24,74,70,100,37
1/18/2023 23:39,73,71,99,36
1/18/2023 23:54,74,72,100,35
1/19/2023 0:09,73,71,100,34
1/19/2023 0:24,72,70,99,33
1/19/2023 0:39,71,71,100,34
1/19/2023 0:54,70,70,99,33
1/19/2023 1:09,71,71,100,32
1/19/2023 1:24,72,70,99,31
1/19/2023 1:39,71,71,100,32
1/19/2023 1:54,70,70,99,31
1/19/2023 2:09,71,71,98,30
1/19/2023 2:24,70,72,99,29
1/19/2023 2:39,71,71,98,30
1/19/2023 2:54,70,70,97,29
1/19/2023 3:09,69,71,98,30
1/19/2023 3:24,70,72,99,29
1/19/2023 3:39,69,73,100,30
1/19/2023 3:54,68,72,100,31
1/19/2023 4:09,69,73,100,32
1/19/2023 4:24,68,74,100,31
1/19/2023 4:39,69,73,99,30
1/19/2023 4:54,70,74,98,31
1/19/2023 5:09,69,75,99,32
1/19/2023 5:24,70,76,100,31
1/19/2023 5:39,71,77,100,32
1/19/2023 5:54,72,78,99,31
1/19/2023 6:09,71,77,98,32
1/19/2023 6:24,70,76,99,31
1/19/2023 6:39,69,75,98,32
1/19/2023 6:54,70,74,99,31
1/19/2023 7:09,69,75,100,30
1/19/2023 7:24,70,76,100,31
1/19/2023 7:39,71,77,100,30
1/19/2023 7:54,72,78,100,31
1/19/2023 8:09,71,77,99,30
1/19/2023 8:24,72,76,98,29
1/19/2023 8:39,71,75,97,28
1/19/2023 8:54,72,76,96,27
1/19/2023 9:09,73,77,95,28
1/19/2023 9:24,74,78,96,29
1/19/2023 9:39,73,77,95,30
1/19/2023 9:54,72,78,94,29
1/19/2023 10:09,73,77,95,28
1/19/2023 10:24,74,78,94,29
1/19/2023 10:39,75,77,95,30
1/19/2023 10:54,76,76,94,29
1/19/2023 11:09,75,75,95,28
1/19/2023 11:24,74,76,94,27
1/19/2023 11:39,73,77,93,26
1/19/2023 11:54,72,76,94,27
1/19/2023 12:09,71,77,93,28
1/19/2023 12:24,72,76,92,29
1/19/2023 12:39,73,77,91,28
1/19/2023 12:54,74,76,90,27
1/19/2023 13:09,75,77,91,28
1/19/2023 13:24,76,78,92,27
1/19/2023 13:39,75,77,91,26
1/19/2023 13:54,74,76,92,27
1/19/2023 14:09,75,77,91,26
1/19/2023 14:24,76,76,92,25
1/19/2023 14:39,75,77,91,24
1/19/2023 14:54,76,76,90,25
1/19/2023 15:09,77,77,91,24
1/19/2023 15:24,78,78,90,23
1/19/2023 15:39,79,77,91,22
1/19/2023 15:54,80,78,92,21
1/19/2023 16:09,81,79,93,20
1/19/2023 16:24,82,78,94,21
1/19/2023 16:39,83,77,93,20
1/19/2023 16:54,82,76,92,21
1/19/2023 17:09,83,75,93,20
1/19/2023 17:24,82,74,92,21
1/19/2023 17:39,81,75,91,20
1/19/2023 17:54,80,76,92,21
1/19/2023 18:09,79,77,91,22
1/19/2023 18:24,80,78,90,21
1/19/2023 18:39,81,77,89,22
1/19/2023 18:54,80,76,88,23
1/19/2023 19:09,81,75,87,24
1/19/2023 19:24,80,76,86,25
1/19/2023 19:39,81,75,87,24
1/19/2023 19:54,82,76,86,23
1/19/2023 20:09,81,75,85,24
1/19/2023 20:24,82,76,86,25
1/19/2023 20:39,83,77,87,24
1/19/2023 20:54,84,76,88,25
1/19/2023 21:09,85,75,87,24
1/19/2023 21:24,86,74,86,25
1/19/2023 21:39,87,75,85,24
1/19/2023 21:54,86,76,84,25
1/19/2023 22:09,87,77,85,26
1/19/2023 22:24,86,76,86,27
1/19/2023 22:39,85,77,85,26
1/19/2023 22:54,84,76,86,27
1/19/2023 23:09,85,75,85,28
1/19/2023 23:24,86,76,84,27
1/19/2023 23:39,85,77,83,26
1/19/2023 23:54,84,76,82,25
1/20/2023 0:09,83,77,81,26
1/20/2023 0:24,84,78,82,27
1/20/2023 0:39,85,79,83,26
1/20/2023 0:54,86,80,82,27
1/20/2023 1:09,85,79,83,26
1/20/2023 1:24,84,78,82,27
1/20/2023 1:39,85,77,81,28
1/20/2023 1:54,86,78,82,27
1/20/2023 2:09,85,79,81,28
1/20/2023 2:24,84,78,80,29
1/20/2023 2:39,85,79,79,28
1/20/2023 2:54,84,78,80,27
1/20/2023 3:09,83,79,81,28
1/20/2023 3:24,84,80,80,29
1/20/2023 3:39,85,79,79,28
1/20/2023 3:54,84,78,80,29
1/20/2023 4:09,85,77,79,28
1/20/2023 4:24,86,76,78,27
1/20/2023 4:39,87,75,77,26
1/20/2023 4:54,88,76,78,27
1/20/2023 5:09,87,75,77,26
1/20/2023 5:24,88,74,76,25
1/20/2023 5:39,87,75,77,26
1/20/2023 5:54,86,76,76,25
1/20/2023 6:09,85,77,77,24
1/20/2023 6:24,86,76,78,23
1/20/2023 6:39,85,77,77,24
1/20/2023 6:54,86,76,76,23
1/20/2023 7:09,87,77,77,24
1/20/2023 7:24,86,76,76,25
1/20/2023 7:39,87,75,77,26
1/20/2023 7:54,86,74,76,27
1/20/2023 8:09,87,73,75,28
1/20/2023 8:24,86,72,74,29
1/20/2023 8:39,87,73,75,28
1/20/2023 8:54,86,74,76,27
1/20/2023 9:09,85,73,77,26
1/20/2023 9:24,84,72,78,25
1/20/2023 9:39,85,73,79,26
1/20/2023 9:54,84,72,78,25
1/20/2023 10:09,85,73,79,26
1/20/2023 10:24,84,74,78,25
1/20/2023 10:39,83,73,79,24
1/20/2023 10:54,84,72,80,25
1/20/2023 11:09,83,73,79,24
1/20/2023 11:24,84,72,78,25
1/20/2023 11:39,85,71,79,24
1/20/2023 11:54,86,72,80,23
1/20/2023 12:09,85,71,81,24
1/20/2023 12:24,86,70,80,23
1/20/2023 12:39,87,71,81,22
1/20/2023 12:54,88,72,80,23
1/20/2023 13:09,87,71,81,22
1/20/2023 13:24,86,70,80,21
1/20/2023 13:39,85,71,81,22
1/20/2023 13:54,86,70,82,23
1/20/2023 14:09,87,70,81,22
1/20/2023 14:24,86,71,80,23
1/20/2023 14:39,87,70,79,22
1/20/2023 14:54,88,71,78,21
1/20/2023 15:09,87,72,77,20
1/20/2023 15:24,86,71,76,21
1/20/2023 15:39,85,72,77,22
1/20/2023 15:54,84,71,76,21
1/20/2023 16:09,83,70,75,22
1/20/2023 16:24,84,71,74,21
1/20/2023 16:39,83,70,75,20
1/20/2023 16:54,82,70,76,19
1/20/2023 17:09,81,70,77,18
1/20/2023 17:24,82,71,78,19
1/20/2023 17:39,83,70,79,20
1/20/2023 17:54,82,71,78,19
1/20/2023 18:09,81,72,77,20
1/20/2023 18:24,80,73,78,19
1/20/2023 18:39,81,72,77,20
1/20/2023 18:54,80,73,76,19
1/20/2023 19:09,81,72,75,20
1/20/2023 19:24,80,73,74,21
1/20/2023 19:39,79,72,75,22
1/20/2023 19:54,78,73,76,23
1/20/2023 20:09,77,74,77,22
1/20/2023 20:24,76,75,76,21
1/20/2023 20:39,77,74,75,20
1/20/2023 20:54,78,75,76,21
1/20/2023 21:09,77,74,77,20
1/20/2023 21:24,76,75,76,19
1/20/2023 21:39,75,76,75,18
1/20/2023 21:54,76,75,74,19
1/20/2023 22:09,75,74,75,0
1/20/2023 22:24,74,75,74,0
1/20/2023 22:39,75,76,75,0
1/20/2023 22:54,76,75,74,0
1/20/2023 23:09,77,76,73,0
1/20/2023 23:24,76,75,74,0
1/20/2023 23:39,75,76,73,0
1/20/2023 23:54,76,75,74,0
1/21/2023 0:09,75,74,75,0
1/21/2023 0:24,76,75,76,0
1/21/2023 0:39,77,76,77,0
1/21/2023 0:54,78,75,76,0
1/21/2023 1:09,79,74,77,0
1/21/2023 1:24,80,75,78,0
1/21/2023 1:39,81,74,79,0
1/21/2023 1:54,82,75,80,0
1/21/2023 2:09,83,74,81,0
1/21/2023 2:24,82,73,80,0
1/21/2023 2:39,83,72,81,0
1/21/2023 2:54,82,73,80,0
1/21/2023 3:09,81,74,81,0
1/21/2023 3:24,80,75,80,0
1/21/2023 3:39,81,74,81,0
1/21/2023 3:54,82,73,82,0
1/21/2023 4:09,81,74,81,0
1/21/2023 4:24,82,75,82,0
1/21/2023 4:39,81,76,81,0
1/21/2023 4:54,82,77,80,0
1/21/2023 5:09,81,78,79,0
1/21/2023 5:24,82,79,78,0
1/21/2023 5:39,81,78,79,0
1/21/2023 5:54,82,77,80,0
1/21/2023 6:09,81,78,79,0
1/21/2023 6:24,80,79,78,0
1/21/2023 6:39,79,80,77,0
1/21/2023 6:54,78,79,76,0
1/21/2023 7:09,77,80,75,0
1/21/2023 7:24,78,80,76,0
1/21/2023 7:39,77,79,75,0
1/21/2023 7:54,76,78,74,0
1/21/2023 8:09,77,79,75,0
1/21/2023 8:24,78,78,74,0
1/21/2023 8:39,77,77,75,0
1/21/2023 8:54,78,76,76,0
1/21/2023 9:09,79,77,75,0
1/21/2023 9:24,78,76,76,0
1/21/2023 9:39,79,75,75,0
1/21/2023 9:54,80,74,74,0
1/21/2023 10:09,81,73,75,0
1/21/2023 10:24,82,72,76,0
1/21/2023 10:39,81,71,77,0
1/21/2023 10:54,80,72,76,0
1/21/2023 11:09,81,71,75,0
1/21/2023 11:24,82,70,74,0
1/21/2023 11:39,81,71,75,0
1/21/2023 11:54,80,70,74,0
1/21/2023 12:09,79,71,75,0
1/21/2023 12:24,78,72,76,0
1/21/2023 12:39,77,73,77,0
1/21/2023 12:54,78,72,78,0
1/21/2023 13:09,77,71,79,0
1/21/2023 13:24,78,70,78,0
1/21/2023 13:39,77,70,79,0
1/21/2023 13:54,78,71,78,0
1/21/2023 14:09,79,70,77,0
1/21/2023 14:24,78,71,78,0
1/21/2023 14:39,79,72,79,0
1/21/2023 14:54,78,71,80,0
1/21/2023 15:09,77,72,79,0
1/21/2023 15:24,76,73,78,0
1/21/2023 15:39,75,72,79,0
1/21/2023 15:54,76,71,80,0
1/21/2023 16:09,77,70,79,0
1/21/2023 16:24,78,70,80,0
1/21/2023 16:39,79,70,79,0
1/21/2023 16:54,78,71,80,0
1/21/2023 17:09,79,72,81,0
1/21/2023 17:24,78,71,82,0
1/21/2023 17:39,79,72,83,0
1/21/2023 17:54,78,71,84,0
1/21/2023 18:09,79,72,83,0
1/21/2023 18:24,80,71,84,0
1/21/2023 18:39,81,72,83,0
1/21/2023 18:54,80,71,82,0
1/21/2023 19:09,81,70,83,0
1/21/2023 19:24,82,70,84,0
1/21/2023 19:39,83,71,85,0
1/21/2023 19:54,84,72,84,0
1/21/2023 20:09,85,73,83,0
1/21/2023 20:24,86,74,84,0
1/21/2023 20:39,85,73,83,0
1/21/2023 20:54,86,72,82,0
1/21/2023 21:09,87,71,81,0
1/21/2023 21:24,86,70,80,0
1/21/2023 21:39,87,70,81,0
1/21/2023 21:54,88,71,82,0
1/21/2023 22:09,89,70,81,0
1/21/2023 22:24,90,71,82,0
1/21/2023 22:39,89,72,81,0
1/21/2023 22:54,90,71,82,0
1/21/2023 23:09,89,72,81,0
1/21/2023 23:24,88,71,82,0
1/21/2023 23:39,87,72,83,0
1/21/2023 23:54,86,71,84,0
1/22/2023 0:09,87,70,85,0
1/22/2023 0:24,86,70,84,0
1/22/2023 0:39,85,71,85,0
1/22/2023 0:54,86,72,84,0
1/22/2023 1:09,85,73,83,0
1/22/2023 1:24,84,72,84,0
1/22/2023 1:39,83,71,83,0
1/22/2023 1:54,82,72,82,0
1/22/2023 2:09,83,73,81,0
1/22/2023 2:24,84,74,82,0
1/22/2023 2:39,83,75,83,0
1/22/2023 2:54,82,76,84,0
1/22/2023 3:09,83,77,83,0
1/22/2023 3:24,84,76,84,0
1/22/2023 3:39,85,75,83,0
1/22/2023 3:54,84,74,82,0
1/22/2023 4:09,83,73,83,0
1/22/2023 4:24,82,74,84,0
1/22/2023 4:39,83,73,85,0
1/22/2023 4:54,84,74,84,0
1/22/2023 5:09,85,73,83,0
1/22/2023 5:24,86,72,84,0
1/22/2023 5:39,87,71,83,0
1/22/2023 5:54,86,72,84,0
1/22/2023 6:09,87,73,83,0
1/22/2023 6:24,88,72,84,0
1/22/2023 6:39,89,73,83,0
1/22/2023 6:54,88,74,84,0
1/22/2023 7:09,89,75,83,0
1/22/2023 7:24,90,74,84,0
1/22/2023 7:39,90,75,83,0
1/22/2023 7:54,90,74,82,0
1/22/2023 8:09,90,73,81,0
1/22/2023 8:24,89,72,82,0
1/22/2023 8:39,90,73,83,0
1/22/2023 8:54,89,72,84,0
1/22/2023 9:09,88,73,85,0
1/22/2023 9:24,87,74,84,0
1/22/2023 9:39,88,73,85,0
1/22/2023 9:54,89,72,86,0
1/22/2023 10:09,88,73,87,0
1/22/2023 10:24,89,74,86,0
1/22/2023 10:39,88,75,85,0
1/22/2023 10:54,89,74,84,0
1/22/2023 11:09,90,75,85,0
1/22/2023 11:24,90,74,86,0
1/22/2023 11:39,90,75,87,0
1/22/2023 11:54,89,76,86,0
1/22/2023 12:09,90,75,87,0
1/22/2023 12:24,89,76,88,0
1/22/2023 12:39,88,75,89,0
1/22/2023 12:54,87,76,88,0
1/22/2023 13:09,86,75,89,0
1/22/2023 13:24,87,74,90,0
1/22/2023 13:39,88,75,91,0
1/22/2023 13:54,87,76,90,0
1/22/2023 14:09,88,75,89,0
1/22/2023 14:24,89,76,90,0
1/22/2023 14:39,88,77,91,0
1/22/2023 14:54,89,76,92,0
1/22/2023 15:09,88,77,93,0
1/22/2023 15:24,89,76,94,0
1/22/2023 15:39,90,77,93,0
1/22/2023 15:54,89,78,94,0
1/22/2023 16:09,90,77,93,0
1/22/2023 16:24,89,78,92,0
1/22/2023 16:39,88,79,91,0
1/22/2023 16:54,89,80,92,0
1/22/2023 17:09,90,79,93,0
1/22/2023 17:24,90,80,94,0
1/22/2023 17:39,89,80,95,0
1/22/2023 17:54,90,80,96,0
1/22/2023 18:09,89,79,97,0
1/22/2023 18:24,90,80,96,0
1/22/2023 18:39,89,79,95,0
1/22/2023 18:54,88,80,94,0
1/22/2023 19:09,89,80,93,0
1/22/2023 19:24,90,79,92,0
1/22/2023 19:39,89,78,93,0
1/22/2023 19:54,90,77,92,0
1/22/2023 20:09,90,78,93,0
1/22/2023 20:24,89,77,92,0
1/22/2023 20:39,90,78,91,0
1/22/2023 20:54,89,77,92,0
1/22/2023 21:09,90,76,91,0
1/22/2023 21:24,90,77,92,0
1/22/2023 21:39,89,76,93,0
1/22/2023 21:54,90,77,92,0
1/22/2023 22:09,90,78,93,0
1/22/2023 22:24,89,79,92,0
1/22/2023 22:39,90,80,93,0
1/22/2023 22:54,89,79,92,0
1/22/2023 23:09,88,78,93,0
1/22/2023 23:24,87,77,92,0
1/22/2023 23:39,86,78,93,0
1/22/2023 23:54,85,79,94,0
1/23/2023 0:09,84,78,93,0
1/23/2023 0:24,83,77,94,0
1/23/2023 0:39,82,78,95,0
1/23/2023 0:54,83,79,96,0
1/23/2023 1:09,82,80,95,0
1/23/2023 1:24,81,80,94,0
1/23/2023 1:39,80,79,95,0
1/23/2023 1:54,79,80,96,0
1/23/2023 2:09,80,79,95,0
1/23/2023 2:24,79,80,94,0
1/23/2023 2:39,80,79,95,0
1/23/2023 2:54,81,78,96,0
1/23/2023 3:09,80,77,97,0
1/23/2023 3:24,81,76,96,0
1/23/2023 3:39,82,75,97,0
1/23/2023 3:54,83,76,96,0
1/23/2023 4:09,82,75,95,0
1/23/2023 4:24,81,76,96,0
1/23/2023 4:39,80,75,97,0
1/23/2023 4:54,81,76,96,0
1/23/2023 5:09,82,77,97,0
1/23/2023 5:24,83,76,96,0
1/23/2023 5:39,84,75,95,0
1/23/2023 5:54,83,76,96,0
1/23/2023 6:09,84,77,95,0
1/23/2023 6:24,85,78,96,0
1/23/2023 6:39,84,77,97,0
1/23/2023 6:54,85,78,96,0
1/23/2023 7:09,86,79,95,0
1/23/2023 7:24,85,78,94,0
1/23/2023 7:39,86,77,93,0
1/23/2023 7:54,85,78,92,0
1/23/2023 8:09,84,79,93,0
1/23/2023 8:24,83,80,92,0
1/23/2023 8:39,82,80,91,0
1/23/2023 8:54,81,79,92,0
1/23/2023 9:09,80,78,93,0
1/23/2023 9:24,81,77,94,0
1/23/2023 9:39,80,78,93,0
1/23/2023 9:54,81,79,94,0
1/23/2023 10:09,80,78,95,0
1/23/2023 10:24,79,77,94,0
1/23/2023 10:39,80,78,95,0
1/23/2023 10:54,81,79,96,0
1/23/2023 11:09,82,80,95,0
1/23/2023 11:24,81,79,96,0
1/23/2023 11:39,80,80,97,0
1/23/2023 11:54,81,79,98,0
1/23/2023 12:09,80,80,99,0
1/23/2023 12:24,79,80,98,0
1/23/2023 12:39,78,80,97,0
1/23/2023 12:54,77,79,98,0
1/23/2023 13:09,76,80,97,0
1/23/2023 13:24,75,80,96,0
1/23/2023 13:39,74,79,95,0
1/23/2023 13:54,73,80,96,0
1/23/2023 14:09,74,79,95,0
1/23/2023 14:24,75,80,94,0
1/23/2023 14:39,76,80,95,0
1/23/2023 14:54,75,80,94,0
1/23/2023 15:09,74,79,93,0
1/23/2023 15:24,73,80,92,0
1/23/2023 15:39,74,79,93,0
1/23/2023 15:54,73,80,92,0
1/23/2023 16:09,72,80,93,0
1/23/2023 16:24,71,80,94,0
1/23/2023 16:39,70,80,93,0
1/23/2023 16:54,69,80,94,0
1/23/2023 17:09,70,80,95,0
1/23/2023 17:24,69,80,94,0
1/23/2023 17:39,68,80,95,0
1/23/2023 17:54,67,80,96,0
1/23/2023 18:09,68,79,95,0
1/23/2023 18:24,69,78,96,0
1/23/2023 18:39,70,77,97,0
1/23/2023 18:54,69,78,96,0
1/23/2023 19:09,68,77,97,0
1/23/2023 19:24,69,76,98,0
1/23/2023 19:39,68,75,97,0
1/23/2023 19:54,69,74,96,0
1/23/2023 20:09,70,75,95,0
1/23/2023 20:24,71,74,94,0
1/23/2023 20:39,72,75,95,0
1/23/2023 20:54,73,74,96,0
1/23/2023 21:09,74,75,95,0
1/23/2023 21:24,75,76,94,0
1/23/2023 21:39,76,75,93,0
1/23/2023 21:54,75,74,94,0
1/23/2023 22:09,74,73,95,0
1/23/2023 22:24,73,72,94,0
1/23/2023 22:39,72,71,95,0
1/23/2023 22:54,71,72,94,0
1/23/2023 23:09,72,71,93,0
1/23/2023 23:24,73,70,94,0
1/23/2023 23:39,72,71,93,0
1/23/2023 23:54,73,70,94,0
1/24/2023 0:09,72,70,93,0
1/24/2023 0:24,71,70,92,0
1/24/2023 0:39,70,70,91,0
1/24/2023 0:54,71,70,90,0
1/24/2023 1:09,70,71,91,0
