Date,mat,rat,oat,supply_vfd_speed
12/22/2022 12:23,30,47,42,34
12/22/2022 12:38,30,48,41,33
12/22/2022 12:53,31,47,40,32
12/22/2022 13:08,30,48,41,33
12/22/2022 13:23,31,49,42,32
12/22/2022 13:38,30,48,41,33
12/22/2022 13:53,31,49,42,32
12/22/2022 14:08,30,48,43,33
12/22/2022 14:23,31,47,44,32
12/22/2022 14:38,32,46,43,31
12/22/2022 14:53,33,45,42,32
12/22/2022 15:08,32,44,41,33
12/22/2022 15:23,33,43,42,34
12/22/2022 15:38,32,42,43,33
12/22/2022 15:53,33,41,42,32
12/22/2022 16:08,32,42,43,33
12/22/2022 16:23,31,43,44,34
12/22/2022 16:38,32,42,45,35
12/22/2022 16:53,31,41,44,36
12/22/2022 17:08,30,40,45,35
12/22/2022 17:23,31,39,46,34
12/22/2022 17:38,32,40,45,33
12/22/2022 17:53,31,39,44,34
12/22/2022 18:08,32,40,43,35
12/22/2022 18:23,33,39,42,36
12/22/2022 18:38,34,40,43,35
12/22/2022 18:53,33,41,44,34
12/22/2022 19:08,32,40,43,33
12/22/2022 19:23,33,39,42,32
12/22/2022 19:38,32,38,41,33
12/22/2022 19:53,31,39,42,34
12/22/2022 20:08,30,38,41,33
12/22/2022 20:23,31,37,40,34
12/22/2022 20:38,32,36,41,33
12/22/2022 20:53,31,37,42,34
12/22/2022 21:08,32,36,41,33
12/22/2022 21:23,31,35,40,34
12/22/2022 21:38,30,34,41,33
12/22/2022 21:53,31,33,42,32
12/22/2022 22:08,30,32,41,33
12/22/2022 22:23,30,33,40,32
12/22/2022 22:38,30,34,39,31
12/22/2022 22:53,30,33,40,30
12/22/2022 23:08,31,32,41,29
12/22/2022 23:23,30,33,42,28
12/22/2022 23:38,30,32,43,27
12/22/2022 23:53,31,31,42,28
12/23/2022 0:08,32,32,41,29
12/23/2022 0:23,33,31,40,30
12/23/2022 0:38,32,30,39,31
12/23/2022 0:53,33,30,40,32
12/23/2022 1:08,32,31,39,31
12/23/2022 1:23,31,30,38,30
12/23/2022 1:38,30,31,37,31
12/23/2022 1:53,31,32,38,32
12/23/2022 2:08,30,31,37,33
12/23/2022 2:23,31,32,38,34
12/23/2022 2:38,30,33,39,33
12/23/2022 2:53,30,34,40,34
12/23/2022 3:08,31,33,41,33
12/23/2022 3:23,30,32,40,34
12/23/2022 3:38,31,33,41,35
12/23/2022 3:53,30,34,42,36
12/23/2022 4:08,31,35,43,37
12/23/2022 4:23,32,34,44,36
12/23/2022 4:38,31,33,45,37
12/23/2022 4:53,32,34,44,36
12/23/2022 5:08,33,33,43,35
12/23/2022 5:23,32,34,44,36
12/23/2022 5:38,33,33,45,37
12/23/2022 5:53,34,32,44,38
12/23/2022 6:08,35,31,43,39
12/23/2022 6:23,34,30,44,38
12/23/2022 6:38,33,31,45,37
12/23/2022 6:53,32,30,46,36
12/23/2022 7:08,31,30,45,35
12/23/2022 7:23,30,31,44,36
12/23/2022 7:38,31,30,45,35
12/23/2022 7:53,30,31,44,34
12/23/2022 8:08,30,32,43,35
12/23/2022 8:23,30,31,44,36
12/23/2022 8:38,31,30,43,35
12/23/2022 8:53,32,30,44,34
12/23/2022 9:08,33,31,43,35
12/23/2022 9:23,34,30,42,36
12/23/2022 9:38,33,31,41,35
12/23/2022 9:53,32,32,42,34
12/23/2022 10:08,31,33,41,35
12/23/2022 10:23,32,32,42,36
12/23/2022 10:38,33,31,41,37
12/23/2022 10:53,34,32,42,38
12/23/2022 11:08,35,33,41,37
12/23/2022 11:23,34,32,40,38
12/23/2022 11:38,35,33,41,39
12/23/2022 11:53,34,34,42,40
12/23/2022 12:08,35,33,41,39
12/23/2022 12:23,34,34,40,38
12/23/2022 12:38,35,35,41,39
12/23/2022 12:53,36,34,42,40
12/23/2022 13:08,37,33,41,39
12/23/2022 13:23,38,34,42,38
12/23/2022 13:38,39,33,41,39
12/23/2022 13:53,38,32,42,40
12/23/2022 14:08,37,33,43,39
12/23/2022 14:23,36,32,42,40
12/23/2022 14:38,35,33,41,41
12/23/2022 14:53,36,34,40,42
12/23/2022 15:08,37,33,39,41
12/23/2022 15:23,38,32,38,42
12/23/2022 15:38,39,31,39,43
12/23/2022 15:53,38,30,38,42
12/23/2022 16:08,37,31,39,41
12/23/2022 16:23,36,32,38,40
12/23/2022 16:38,37,33,37,39
12/23/2022 16:53,38,34,36,38
12/23/2022 17:08,37,33,37,39
12/23/2022 17:23,36,34,38,38
12/23/2022 17:38,35,35,37,39
12/23/2022 17:53,36,34,36,38
12/23/2022 18:08,35,33,35,37
12/23/2022 18:23,34,32,36,36
12/23/2022 18:38,33,33,37,35
12/23/2022 18:53,32,32,36,36
12/23/2022 19:08,33,31,37,37
12/23/2022 19:23,34,30,38,36
12/23/2022 19:38,35,31,39,37
12/23/2022 19:53,34,30,40,36
12/23/2022 20:08,33,31,39,35
12/23/2022 20:23,32,32,38,36
12/23/2022 20:38,31,33,37,37
12/23/2022 20:53,30,32,36,36
12/23/2022 21:08,30,33,37,37
12/23/2022 21:23,31,32,36,38
12/23/2022 21:38,32,31,35,39
12/23/2022 21:53,31,30,36,38
12/23/2022 22:08,32,31,37,39
12/23/2022 22:23,33,32,38,38
12/23/2022 22:38,34,33,39,39
12/23/2022 22:53,35,34,38,38
12/23/2022 23:08,36,35,39,37
12/23/2022 23:23,37,36,38,36
12/23/2022 23:38,36,37,37,37
12/23/2022 23:53,35,36,36,36
12/24/2022 0:08,34,37,37,35
12/24/2022 0:23,33,38,36,34
12/24/2022 0:38,34,37,35,33
12/24/2022 0:53,35,36,34,34
12/24/2022 1:08,34,35,33,35
12/24/2022 1:23,35,34,32,36
12/24/2022 1:38,36,33,33,35
12/24/2022 1:53,35,34,32,36
12/24/2022 2:08,36,33,31,37
12/24/2022 2:23,37,34,32,36
12/24/2022 2:38,38,35,33,35
12/24/2022 2:53,37,34,34,34
12/24/2022 3:08,38,33,33,33
12/24/2022 3:23,37,32,32,34
12/24/2022 3:38,36,33,33,33
12/24/2022 3:53,37,32,34,32
12/24/2022 4:08,38,31,33,31
12/24/2022 4:23,37,32,32,32
12/24/2022 4:38,38,33,33,31
12/24/2022 4:53,39,32,34,30
12/24/2022 5:08,38,31,33,29
12/24/2022 5:23,37,32,34,30
12/24/2022 5:38,38,33,35,29
12/24/2022 5:53,37,32,36,30
12/24/2022 6:08,38,31,35,29
12/24/2022 6:23,37,30,36,30
12/24/2022 6:38,38,31,35,31
12/24/2022 6:53,37,32,36,32
12/24/2022 7:08,38,33,35,31
12/24/2022 7:23,37,34,34,30
12/24/2022 7:38,38,33,33,31
12/24/2022 7:53,37,34,34,32
12/24/2022 8:08,36,35,33,31
12/24/2022 8:23,35,34,34,32
12/24/2022 8:38,34,35,35,31
12/24/2022 8:53,35,34,36,32
12/24/2022 9:08,34,35,35,31
12/24/2022 9:23,33,36,36,32
12/24/2022 9:38,32,37,37,31
12/24/2022 9:53,31,38,36,30
12/24/2022 10:08,32,39,35,31
12/24/2022 10:23,33,38,36,30
12/24/2022 10:38,34,37,35,31
12/24/2022 10:53,33,36,36,30
12/24/2022 11:08,34,37,35,29
12/24/2022 11:23,35,36,36,28
12/24/2022 11:38,34,37,37,27
12/24/2022 11:53,33,36,36,28
12/24/2022 12:08,32,35,35,29
12/24/2022 12:23,31,34,36,30
12/24/2022 12:38,32,35,37,29
12/24/2022 12:53,31,34,38,28
12/24/2022 13:08,32,35,39,29
12/24/2022 13:23,31,34,40,30
12/24/2022 13:38,32,35,41,29
12/24/2022 13:53,31,34,40,28
12/24/2022 14:08,30,33,39,27
12/24/2022 14:23,31,32,40,26
12/24/2022 14:38,30,31,39,27
12/24/2022 14:53,31,32,40,28
12/24/2022 15:08,30,33,41,29
12/24/2022 15:23,30,34,42,28
12/24/2022 15:38,30,35,43,27
12/24/2022 15:53,31,36,44,28
12/24/2022 16:08,30,37,43,27
12/24/2022 16:23,30,38,42,26
12/24/2022 16:38,31,37,43,27
12/24/2022 16:53,30,38,42,26
12/24/2022 17:08,31,37,41,25
12/24/2022 17:23,32,36,42,24
12/24/2022 17:38,31,35,43,25
12/24/2022 17:53,30,36,42,24
12/24/2022 18:08,30,37,41,23
12/24/2022 18:23,31,38,40,22
12/24/2022 18:38,32,37,41,21
12/24/2022 18:53,33,36,40,20
12/24/2022 19:08,32,37,41,21
12/24/2022 19:23,31,38,42,20
12/24/2022 19:38,32,37,41,21
12/24/2022 19:53,33,38,42,20
12/24/2022 20:08,34,39,41,21
12/24/2022 20:23,35,40,40,20
12/24/2022 20:38,34,41,41,21
12/24/2022 20:53,33,42,40,22
12/24/2022 21:08,32,41,39,21
12/24/2022 21:23,31,40,38,22
12/24/2022 21:38,30,41,37,23
12/24/2022 21:53,31,40,36,24
12/24/2022 22:08,30,39,35,25
12/24/2022 22:23,30,38,36,24
12/24/2022 22:38,31,37,37,23
12/24/2022 22:53,32,38,38,24
12/24/2022 23:08,31,39,39,25
12/24/2022 23:23,30,40,38,24
12/24/2022 23:38,31,39,39,25
12/24/2022 23:53,30,38,40,24
12/25/2022 0:08,31,39,39,25
12/25/2022 0:23,30,38,40,24
12/25/2022 0:38,31,39,39,25
12/25/2022 0:53,30,40,40,26
12/25/2022 1:08,30,41,41,27
12/25/2022 1:23,31,40,42,26
12/25/2022 1:38,30,41,41,27
12/25/2022 1:53,30,42,40,28
12/25/2022 2:08,30,41,41,27
12/25/2022 2:23,30,40,42,26
12/25/2022 2:38,31,39,41,25
12/25/2022 2:53,30,40,42,26
12/25/2022 3:08,31,39,43,27
12/25/2022 3:23,30,38,42,26
12/25/2022 3:38,31,39,43,27
12/25/2022 3:53,30,40,42,26
12/25/2022 4:08,30,39,43,27
12/25/2022 4:23,31,38,42,28
12/25/2022 4:38,30,39,41,27
12/25/2022 4:53,30,40,42,28
12/25/2022 5:08,31,39,43,29
12/25/2022 5:23,32,38,42,28
12/25/2022 5:38,33,39,43,27
12/25/2022 5:53,32,40,44,28
12/25/2022 6:08,31,41,45,29
12/25/2022 6:23,30,40,46,28
12/25/2022 6:38,31,39,47,29
12/25/2022 6:53,30,38,46,28
12/25/2022 7:08,31,37,47,27
12/25/2022 7:23,30,36,48,26
12/25/2022 7:38,30,35,47,27
12/25/2022 7:53,30,36,48,26
12/25/2022 8:08,30,37,47,25
12/25/2022 8:23,31,38,48,26
12/25/2022 8:38,32,37,47,25
12/25/2022 8:53,33,36,48,24
12/25/2022 9:08,34,37,47,23
12/25/2022 9:23,35,36,48,24
12/25/2022 9:38,34,37,49,23
12/25/2022 9:53,35,36,50,24
12/25/2022 10:08,36,35,49,25
12/25/2022 10:23,35,34,50,26
12/25/2022 10:38,34,35,49,27
12/25/2022 10:53,35,36,50,28
12/25/2022 11:08,34,37,51,29
12/25/2022 11:23,33,38,50,28
12/25/2022 11:38,32,39,49,27
12/25/2022 11:53,31,40,50,26
12/25/2022 12:08,30,41,49,25
12/25/2022 12:23,31,42,50,26
12/25/2022 12:38,30,41,51,25
12/25/2022 12:53,30,42,50,26
12/25/2022 13:08,30,41,49,25
12/25/2022 13:23,31,42,50,24
12/25/2022 13:38,32,41,49,25
12/25/2022 13:53,31,42,48,24
12/25/2022 14:08,30,41,47,25
12/25/2022 14:23,30,42,46,24
12/25/2022 14:38,30,41,47,23
12/25/2022 14:53,30,40,48,24
12/25/2022 15:08,31,39,49,23
12/25/2022 15:23,32,40,48,22
12/25/2022 15:38,31,41,49,23
12/25/2022 15:53,32,42,50,22
12/25/2022 16:08,31,41,51,21
12/25/2022 16:23,32,40,52,22
12/25/2022 16:38,31,41,51,23
12/25/2022 16:53,32,40,50,22
12/25/2022 17:08,31,39,49,23
12/25/2022 17:23,32,38,48,22
12/25/2022 17:38,33,39,47,21
12/25/2022 17:53,32,38,46,20
12/25/2022 18:08,31,37,45,21
12/25/2022 18:23,30,36,44,22
12/25/2022 18:38,31,35,45,21
12/25/2022 18:53,30,34,44,22
12/25/2022 19:08,31,35,45,21
12/25/2022 19:23,30,36,46,20
12/25/2022 19:38,31,35,47,19
12/25/2022 19:53,32,36,48,18
12/25/2022 20:08,33,37,47,19
12/25/2022 20:23,34,36,48,20
12/25/2022 20:38,33,37,49,19
12/25/2022 20:53,34,36,50,20
12/25/2022 21:08,33,35,49,19
12/25/2022 21:23,34,34,50,20
12/25/2022 21:38,33,33,49,19
12/25/2022 21:53,34,32,48,20
12/25/2022 22:08,33,33,47,21
12/25/2022 22:23,32,32,48,22
12/25/2022 22:38,31,31,47,23
12/25/2022 22:53,30,32,48,22
12/25/2022 23:08,30,31,49,21
12/25/2022 23:23,31,30,48,20
12/25/2022 23:38,32,31,49,21
12/25/2022 23:53,31,30,50,20
12/26/2022 0:08,30,30,49,19
12/26/2022 0:23,30,30,50,18
12/26/2022 0:38,30,31,51,19
12/26/2022 0:53,31,30,50,0
12/26/2022 1:08,30,30,49,0
12/26/2022 1:23,31,31,48,0
12/26/2022 1:38,30,32,47,0
12/26/2022 1:53,30,33,48,0
12/26/2022 2:08,31,32,49,0
12/26/2022 2:23,32,33,50,0
12/26/2022 2:38,31,32,51,0
12/26/2022 2:53,32,33,52,0
12/26/2022 3:08,31,34,53,0
12/26/2022 3:23,30,35,54,0
12/26/2022 3:38,30,34,55,0
12/26/2022 3:53,31,33,56,0
12/26/2022 4:08,30,34,55,0
12/26/2022 4:23,31,33,56,0
12/26/2022 4:38,30,32,55,0
12/26/2022 4:53,30,31,54,0
12/26/2022 5:08,30,32,55,0
12/26/2022 5:23,31,31,54,0
12/26/2022 5:38,30,32,55,0
12/26/2022 5:53,31,33,54,0
12/26/2022 6:08,30,34,53,0
12/26/2022 6:23,31,33,54,0
12/26/2022 6:38,32,34,53,0
12/26/2022 6:53,31,33,52,0
12/26/2022 7:08,30,32,53,0
12/26/2022 7:23,31,31,54,0
12/26/2022 7:38,32,32,55,0
12/26/2022 7:53,33,33,56,0
12/26/2022 8:08,32,34,57,0
12/26/2022 8:23,31,33,56,0
12/26/2022 8:38,32,34,55,0
12/26/2022 8:53,33,35,54,0
12/26/2022 9:08,34,34,55,0
12/26/2022 9:23,33,35,54,0
12/26/2022 9:38,32,36,53,0
12/26/2022 9:53,33,37,54,0
12/26/2022 10:08,32,38,53,0
12/26/2022 10:23,31,37,54,0
12/26/2022 10:38,30,36,55,0
12/26/2022 10:53,31,37,54,0
12/26/2022 11:08,32,36,53,0
12/26/2022 11:23,31,37,54,0
12/26/2022 11:38,30,38,55,0
12/26/2022 11:53,31,37,56,0
12/26/2022 12:08,30,36,57,0
12/26/2022 12:23,30,37,56,0
12/26/2022 12:38,31,38,57,0
12/26/2022 12:53,32,37,58,0
12/26/2022 13:08,33,38,59,0
12/26/2022 13:23,32,37,58,0
12/26/2022 13:38,31,38,59,0
12/26/2022 13:53,30,37,60,0
12/26/2022 14:08,31,36,59,0
12/26/2022 14:23,30,37,60,0
12/26/2022 14:38,31,38,61,0
12/26/2022 14:53,32,37,62,0
12/26/2022 15:08,33,36,61,0
12/26/2022 15:23,34,35,62,0
12/26/2022 15:38,33,34,63,0
12/26/2022 15:53,34,33,64,0
12/26/2022 16:08,33,32,65,0
12/26/2022 16:23,32,31,66,0
12/26/2022 16:38,31,32,67,0
12/26/2022 16:53,32,31,66,0
12/26/2022 17:08,31,30,65,0
12/26/2022 17:23,30,30,66,0
12/26/2022 17:38,30,31,67,0
12/26/2022 17:53,31,32,68,0
12/26/2022 18:08,30,33,67,0
12/26/2022 18:23,30,32,68,0
12/26/2022 18:38,30,31,67,0
12/26/2022 18:53,30,30,66,0
12/26/2022 19:08,31,30,65,0
12/26/2022 19:23,32,30,66,0
12/26/2022 19:38,31,31,65,0
12/26/2022 19:53,32,30,64,0
12/26/2022 20:08,31,31,65,0
12/26/2022 20:23,30,32,64,0
12/26/2022 20:38,30,33,63,0
12/26/2022 20:53,31,32,64,0
12/26/2022 21:08,32,33,65,0
12/26/2022 21:23,31,32,66,0
12/26/2022 21:38,32,31,67,0
12/26/2022 21:53,33,30,66,0
12/26/2022 22:08,34,30,65,0
12/26/2022 22:23,33,31,66,0
12/26/2022 22:38,34,30,65,0
12/26/2022 22:53,35,30,64,0
12/26/2022 23:08,34,31,65,0
12/26/2022 23:23,35,30,66,0
12/26/2022 23:38,34,30,67,0
12/26/2022 23:53,33,31,66,0
12/27/2022 0:08,34,30,67,0
12/27/2022 0:23,33,30,66,0
12/27/2022 0:38,34,31,67,0
12/27/2022 0:53,35,32,66,0
12/27/2022 1:08,36,33,65,0
12/27/2022 1:23,35,32,64,0
12/27/2022 1:38,34,31,63,0
12/27/2022 1:53,33,30,64,0
12/27/2022 2:08,32,30,65,0
12/27/2022 2:23,31,30,66,0
12/27/2022 2:38,30,30,65,0
12/27/2022 2:53,31,30,66,0
12/27/2022 3:08,32,31,65,0
12/27/2022 3:23,33,30,66,0
12/27/2022 3:38,32,31,65,0
12/27/2022 3:53,33,30,64,0
12/27/2022 4:08,34,30,65,0
12/27/2022 4:23,33,31,66,0
12/27/2022 4:38,32,32,65,0
12/27/2022 4:53,31,33,66,0
12/27/2022 5:08,32,32,65,0
12/27/2022 5:23,31,31,64,0
12/27/2022 5:38,32,30,63,0
12/27/2022 5:53,31,31,64,0
12/27/2022 6:08,32,32,63,0
12/27/2022 6:23,33,33,62,0
12/27/2022 6:38,32,32,61,0
12/27/2022 6:53,33,33,60,0
12/27/2022 7:08,34,34,59,0
12/27/2022 7:23,33,35,60,0
12/27/2022 7:38,32,34,61,0
12/27/2022 7:53,33,33,60,0
12/27/2022 8:08,34,34,61,0
12/27/2022 8:23,35,35,60,0
12/27/2022 8:38,36,36,59,0
12/27/2022 8:53,37,37,58,0
12/27/2022 9:08,36,36,57,0
12/27/2022 9:23,37,37,58,0
12/27/2022 9:38,38,36,59,0
12/27/2022 9:53,39,37,60,0
12/27/2022 10:08,38,36,59,0
12/27/2022 10:23,37,37,60,0
12/27/2022 10:38,38,38,61,0
12/27/2022 10:53,37,39,62,0
12/27/2022 11:08,38,40,63,0
12/27/2022 11:23,39,41,64,0
12/27/2022 11:38,40,42,65,0
12/27/2022 11:53,41,41,66,0
12/27/2022 12:08,42,42,65,0
12/27/2022 12:23,43,43,64,0
12/27/2022 12:38,44,44,65,0
12/27/2022 12:53,45,43,64,0
12/27/2022 13:08,44,42,65,0
12/27/2022 13:23,45,41,66,0
12/27/2022 13:38,44,40,67,0
12/27/2022 13:53,45,39,66,0
12/27/2022 14:08,44,40,67,0
12/27/2022 14:23,45,39,66,0
12/27/2022 14:38,44,38,65,0
12/27/2022 14:53,45,39,64,0
12/27/2022 15:08,44,38,63,0
12/27/2022 15:23,45,39,62,0
12/27/2022 15:38,46,40,63,0
12/27/2022 15:53,47,39,62,0
12/27/2022 16:08,48,40,63,0
12/27/2022 16:23,47,41,64,0
12/27/2022 16:38,48,40,65,0
12/27/2022 16:53,49,39,66,0
12/27/2022 17:08,50,38,67,0
12/27/2022 17:23,49,39,66,0
12/27/2022 17:38,48,38,65,0
12/27/2022 17:53,47,39,64,0
12/27/2022 18:08,48,38,63,0
12/27/2022 18:23,49,39,64,0
12/27/2022 18:38,48,38,63,0
12/27/2022 18:53,47,39,62,0
12/27/2022 19:08,46,40,63,0
12/27/2022 19:23,45,39,62,0
12/27/2022 19:38,46,40,63,0
12/27/2022 19:53,45,41,64,0
12/27/2022 20:08,46,42,65,0
12/27/2022 20:23,47,41,66,0
12/27/2022 20:38,46,40,67,0
12/27/2022 20:53,47,41,68,0
12/27/2022 21:08,46,40,67,0
12/27/2022 21:23,45,39,68,0
12/27/2022 21:38,46,38,67,0
12/27/2022 21:53,45,39,68,0
12/27/2022 22:08,46,40,69,0
12/27/2022 22:23,45,39,70,0
12/27/2022 22:38,46,38,71,0
12/27/2022 22:53,45,37,72,0
12/27/2022 23:08,44,38,73,0
12/27/2022 23:23,43,39,74,0
12/27/2022 23:38,42,40,75,0
12/27/2022 23:53,43,39,76,0
12/28/2022 0:08,42,40,77,0
12/28/2022 0:23,41,39,78,0
12/28/2022 0:38,40,38,79,0
12/28/2022 0:53,41,39,78,0
12/28/2022 1:08,42,38,79,0
12/28/2022 1:23,43,39,80,0
12/28/2022 1:38,42,38,81,0
12/28/2022 1:53,41,37,82,0
12/28/2022 2:08,40,36,81,0
12/28/2022 2:23,41,37,80,0
12/28/2022 2:38,42,36,81,0
12/28/2022 2:53,41,37,82,0
12/28/2022 3:08,42,38,81,0
12/28/2022 3:23,41,37,82,0
12/28/2022 3:38,42,36,83,0
12/28/2022 3:53,41,37,84,0
12/28/2022 4:08,42,38,85,0
12/28/2022 4:23,41,39,84,0
12/28/2022 4:38,40,38,83,0
12/28/2022 4:53,41,39,84,0
12/28/2022 5:08,40,40,85,0
12/28/2022 5:23,39,39,84,0
12/28/2022 5:38,40,38,83,0
12/28/2022 5:53,39,37,84,0
12/28/2022 6:08,38,38,83,0
12/28/2022 6:23,39,39,82,0
12/28/2022 6:38,40,38,83,0
12/28/2022 6:53,41,37,84,0
12/28/2022 7:08,40,36,85,0
12/28/2022 7:23,41,35,86,0
12/28/2022 7:38,42,34,87,0
12/28/2022 7:53,41,33,88,0
12/28/2022 8:08,40,32,89,0
12/28/2022 8:23,39,31,90,0
12/28/2022 8:38,38,32,89,0
12/28/2022 8:53,37,33,90,0
12/28/2022 9:08,36,32,91,0
12/28/2022 9:23,37,33,90,0
12/28/2022 9:38,38,34,91,0
12/28/2022 9:53,39,33,90,0
12/28/2022 10:08,38,34,91,0
12/28/2022 10:23,37,33,90,0
12/28/2022 10:38,36,34,89,0
12/28/2022 10:53,35,33,88,0
12/28/2022 11:08,34,34,87,0
12/28/2022 11:23,33,33,88,0
12/28/2022 11:38,32,34,87,0
12/28/2022 11:53,33,33,88,0
12/28/2022 12:08,34,32,89,0
12/28/2022 12:23,35,31,88,0
12/28/2022 12:38,34,30,87,0
12/28/2022 12:53,33,30,88,0
12/28/2022 13:08,32,31,89,0
12/28/2022 13:23,31,30,88,0
12/28/2022 13:38,32,31,87,0
12/28/2022 13:53,33,30,88,0
12/28/2022 14:08,32,31,89,0
12/28/2022 14:23,31,32,88,0
12/28/2022 14:38,30,31,89,0
12/28/2022 14:53,31,30,90,0
12/28/2022 15:08,32,30,91,0
12/28/2022 15:23,33,30,92,0
12/28/2022 15:38,34,30,93,0
12/28/2022 15:53,35,31,92,0
12/28/2022 16:08,36,32,91,0
12/28/2022 16:23,37,31,92,0
12/28/2022 16:38,36,30,91,0
12/28/2022 16:53,35,30,92,0
12/28/2022 17:08,36,31,93,0
12/28/2022 17:23,37,32,94,0
12/28/2022 17:38,38,31,93,0
12/28/2022 17:53,37,30,94,0
12/28/2022 18:08,38,30,93,0
12/28/2022 18:23,39,30,94,0
12/28/2022 18:38,40,31,95,0
12/28/2022 18:53,41,30,96,0
12/28/2022 19:08,40,30,97,0
12/28/2022 19:23,41,30,98,0
12/28/2022 19:38,42,30,97,0
12/28/2022 19:53,41,30,98,0
12/28/2022 20:08,42,30,99,0
12/28/2022 20:23,41,30,98,0
12/28/2022 20:38,40,31,97,0
12/28/2022 20:53,39,32,96,0
12/28/2022 21:08,40,33,95,0
12/28/2022 21:23,41,34,94,0
12/28/2022 21:38,40,33,95,0
12/28/2022 21:53,41,34,94,0
12/28/2022 22:08,40,33,95,0
12/28/2022 22:23,39,32,96,0
12/28/2022 22:38,38,33,95,0
12/28/2022 22:53,37,34,94,0
12/28/2022 23:08,38,35,95,0
12/28/2022 23:23,37,34,94,0
12/28/2022 23:38,38,35,95,0
12/28/2022 23:53,37,36,96,0
12/29/2022 0:08,38,35,95,0
12/29/2022 0:23,39,34,96,0
12/29/2022 0:38,40,33,97,0
12/29/2022 0:53,41,32,96,0
12/29/2022 1:08,42,31,95,0
12/29/2022 1:23,43,30,94,0
12/29/2022 1:38,44,30,93,0
12/29/2022 1:53,45,31,92,0
12/29/2022 2:08,44,30,91,0
12/29/2022 2:23,43,30,90,0
12/29/2022 2:38,42,31,91,0
12/29/2022 2:53,43,32,90,0
12/29/2022 3:08,44,33,91,0
12/29/2022 3:23,43,32,90,0
12/29/2022 3:38,44,31,89,0
12/29/2022 3:53,45,32,90,0
