Date,sat,satsp,clg,economizer_sig,supply_vfd_speed
1/16/2023 23:39,85,73,100,55,36
1/16/2023 23:54,84,74,100,20,37
1/17/2023 0:09,83,75,99,20,38
1/17/2023 0:24,84,76,100,55,39
1/17/2023 0:39,83,77,100,20,40
1/17/2023 0:54,84,76,99,55,41
1/17/2023 1:09,83,77,100,20,40
1/17/2023 1:24,82,76,100,55,41
1/17/2023 1:39,83,77,100,20,40
1/17/2023 1:54,82,76,99,20,39
1/17/2023 2:09,81,75,98,20,38
1/17/2023 2:24,80,76,97,55,37
1/17/2023 2:39,81,77,98,20,38
1/17/2023 2:54,82,78,99,20,37
1/17/2023 3:09,81,77,98,20,38
1/17/2023 3:24,80,78,97,20,37
1/17/2023 3:39,79,79,96,55,36
1/17/2023 3:54,80,78,97,20,35
1/17/2023 4:09,81,79,96,20,36
1/17/2023 4:24,80,78,95,20,37
1/17/2023 4:39,79,77,96,20,38
1/17/2023 4:54,78,78,95,20,39
1/17/2023 5:09,77,79,94,85,38
1/17/2023 5:24,78,78,93,85,39
1/17/2023 5:39,79,79,92,20,38
1/17/2023 5:54,78,80,91,20,37
1/17/2023 6:09,79,80,92,20,36
1/17/2023 6:24,80,79,91,20,35
1/17/2023 6:39,81,80,92,20,34
1/17/2023 6:54,82,79,93,20,33
1/17/2023 7:09,81,78,92,20,34
1/17/2023 7:24,82,79,91,20,35
1/17/2023 7:39,81,80,92,20,36
1/17/2023 7:54,82,80,93,20,37
1/17/2023 8:09,83,80,92,85,36
1/17/2023 8:24,82,80,93,20,35
1/17/2023 8:39,81,80,94,20,36
1/17/2023 8:54,80,80,93,20,35
1/17/2023 9:09,81,80,94,20,36
1/17/2023 9:24,80,79,93,85,35
1/17/2023 9:39,79,80,94,20,34
1/17/2023 9:54,80,80,95,20,33
1/17/2023 10:09,79,79,96,20,32
1/17/2023 10:24,80,80,97,88,33
1/17/2023 10:39,79,80,96,20,32
1/17/2023 10:54,78,80,97,20,33
1/17/2023 11:09,77,79,98,20,32
1/17/2023 11:24,76,80,99,20,33
1/17/2023 11:39,77,79,98,82,32
1/17/2023 11:54,76,78,99,44,31
1/17/2023 12:09,77,79,100,20,32
1/17/2023 12:24,78,78,99,88,33
1/17/2023 12:39,79,79,100,20,34
1/17/2023 12:54,78,80,100,20,33
1/17/2023 13:09,77,79,100,45,32
1/17/2023 13:24,76,80,100,20,33
1/17/2023 13:39,77,79,99,20,34
1/17/2023 13:54,76,80,98,20,35
1/17/2023 14:09,77,80,97,20,36
1/17/2023 14:24,78,79,98,20,35
1/17/2023 14:39,77,78,97,20,34
1/17/2023 14:54,76,79,96,20,33
1/17/2023 15:09,77,80,95,20,34
1/17/2023 15:24,76,80,94,20,35
1/17/2023 15:39,77,80,95,20,36
1/17/2023 15:54,76,80,96,20,35
1/17/2023 16:09,77,80,97,20,34
1/17/2023 16:24,78,79,96,20,33
1/17/2023 16:39,77,80,95,20,32
1/17/2023 16:54,76,79,94,20,33
1/17/2023 17:09,75,80,95,20,34
1/17/2023 17:24,74,80,94,20,33
1/17/2023 17:39,75,79,95,20,34
1/17/2023 17:54,74,80,94,20,33
1/17/2023 18:09,73,80,93,20,34
1/17/2023 18:24,74,80,92,20,33
1/17/2023 18:39,73,79,93,20,34
1/17/2023 18:54,72,78,92,20,33
1/17/2023 19:09,73,77,91,20,32
1/17/2023 19:24,74,78,92,20,33
1/17/2023 19:39,75,77,91,20,32
1/17/2023 19:54,74,78,92,20,31
1/17/2023 20:09,73,77,91,20,30
1/17/2023 20:24,72,76,92,20,29
1/17/2023 20:39,73,77,91,20,28
1/17/2023 20:54,72,76,92,20,27
1/17/2023 21:09,71,77,93,20,28
1/17/2023 21:24,70,76,92,20,29
1/17/2023 21:39,71,75,91,20,30
1/17/2023 21:54,70,74,92,20,31
1/17/2023 22:09,71,73,93,20,32
1/17/2023 22:24,72,72,92,20,31
1/17/2023 22:39,73,73,93,20,30
1/17/2023 22:54,74,72,94,20,31
1/17/2023 23:09,73,73,95,20,32
1/17/2023 23:24,74,72,94,20,33
1/17/2023 23:39,75,71,95,20,34
1/17/2023 23:54,76,72,94,20,33
1/18/2023 0:09,75,73,95,20,34
1/18/2023 0:24,74,72,96,20,33
1/18/2023 0:39,75,71,95,20,34
1/18/2023 0:54,76,72,96,20,35
1/18/2023 1:09,75,71,97,20,36
1/18/2023 1:24,74,72,98,20,37
1/18/2023 1:39,75,71,97,20,36
1/18/2023 1:54,76,72,98,20,37
1/18/2023 2:09,77,71,97,20,36
1/18/2023 2:24,78,70,98,20,35
1/18/2023 2:39,77,71,97,20,36
1/18/2023 2:54,78,70,98,20,37
1/18/2023 3:09,77,70,99,20,38
1/18/2023 3:24,78,71,98,20,39
1/18/2023 3:39,77,70,99,20,38
1/18/2023 3:54,78,70,98,20,37
1/18/2023 4:09,79,70,99,20,36
1/18/2023 4:24,78,71,100,20,35
1/18/2023 4:39,79,70,100,20,36
1/18/2023 4:54,78,71,99,20,35
1/18/2023 5:09,77,70,100,20,34
1/18/2023 5:24,76,71,100,20,35
1/18/2023 5:39,75,72,99,20,36
1/18/2023 5:54,76,73,100,20,35
1/18/2023 6:09,77,72,99,20,34
1/18/2023 6:24,78,71,100,20,35
1/18/2023 6:39,77,72,99,20,36
1/18/2023 6:54,76,71,98,20,35
1/18/2023 7:09,77,72,97,20,34
1/18/2023 7:24,78,71,98,20,35
1/18/2023 7:39,79,72,97,20,36
1/18/2023 7:54,80,71,98,20,37
1/18/2023 8:09,79,72,97,20,38
1/18/2023 8:24,80,73,98,20,37
1/18/2023 8:39,79,74,99,20,38
1/18/2023 8:54,78,75,98,20,39
1/18/2023 9:09,77,76,97,20,40
1/18/2023 9:24,76,75,98,20,39
1/18/2023 9:39,77,76,99,20,38
1/18/2023 9:54,78,77,98,20,39
1/18/2023 10:09,79,78,99,20,40
1/18/2023 10:24,78,79,100,20,39
1/18/2023 10:39,77,80,100,20,38
1/18/2023 10:54,78,79,99,20,39
1/18/2023 11:09,77,78,98,20,40
1/18/2023 11:24,78,77,99,20,39
1/18/2023 11:39,77,76,100,20,40
1/18/2023 11:54,78,75,99,20,41
1/18/2023 12:09,77,76,100,20,42
1/18/2023 12:24,76,77,99,20,41
1/18/2023 12:39,75,78,100,20,42
1/18/2023 12:54,76,79,100,20,43
1/18/2023 13:09,75,80,100,20,42
1/18/2023 13:24,74,80,100,20,41
1/18/2023 13:39,73,79,100,20,40
1/18/2023 13:54,72,80,99,20,39
1/18/2023 14:09,73,80,98,20,38
1/18/2023 14:24,72,79,99,20,39
1/18/2023 14:39,73,78,98,20,38
1/18/2023 14:54,74,77,97,20,39
1/18/2023 15:09,73,78,98,20,38
1/18/2023 15:24,72,79,99,20,37
1/18/2023 15:39,73,80,98,20,36
1/18/2023 15:54,74,80,99,20,35
1/18/2023 16:09,75,80,98,20,36
1/18/2023 16:24,76,80,99,20,37
1/18/2023 16:39,75,79,100,20,36
1/18/2023 16:54,76,78,100,20,37
1/18/2023 17:09,75,77,100,20,36
1/18/2023 17:24,74,76,99,20,35
1/18/2023 17:39,73,75,100,20,36
1/18/2023 17:54,72,74,100,20,37
1/18/2023 18:09,73,73,99,20,36
1/18/2023 18:24,74,72,98,20,37
1/18/2023 18:39,73,73,99,20,38
1/18/2023 18:54,74,72,100,20,39
1/18/2023 19:09,73,71,99,20,38
1/18/2023 19:24,72,70,100,20,39
1/18/2023 19:39,71,71,99,20,38
1/18/2023 19:54,72,70,100,20,39
1/18/2023 20:09,73,70,99,20,38
1/18/2023 20:24,74,71,98,20,37
1/18/2023 20:39,73,70,99,20,36
1/18/2023 20:54,72,71,98,20,37
1/18/2023 21:09,71,70,97,20,36
1/18/2023 21:24,72,70,96,20,35
1/18/2023 21:39,71,71,97,20,34
1/18/2023 21:54,70,70,98,20,33
1/18/2023 22:09,71,71,97,20,34
1/18/2023 22:24,72,70,98,20,35
1/18/2023 22:39,73,71,99,20,36
1/18/2023 22:54,74,70,98,20,35
1/18/2023 23:09,75,70,99,20,36
1/18/2023 23:24,74,70,100,20,37
1/18/2023 23:39,73,71,99,20,36
1/18/2023 23:54,74,72,100,20,35
1/19/2023 0:09,73,71,100,20,34
1/19/2023 0:24,72,70,99,20,33
1/19/2023 0:39,71,71,100,20,34
1/19/2023 0:54,70,70,99,20,33
1/19/2023 1:09,71,71,100,20,32
1/19/2023 1:24,72,70,99,20,31
1/19/2023 1:39,71,71,100,20,32
1/19/2023 1:54,70,70,99,20,31
1/19/2023 2:09,71,71,98,20,30
1/19/2023 2:24,70,72,99,20,29
1/19/2023 2:39,71,71,98,20,30
1/19/2023 2:54,70,70,97,20,29
1/19/2023 3:09,69,71,98,20,30
1/19/2023 3:24,70,72,99,20,29
1/19/2023 3:39,69,73,100,20,30
1/19/2023 3:54,68,72,100,20,31
1/19/2023 4:09,69,73,100,20,32
1/19/2023 4:24,68,74,100,20,31
1/19/2023 4:39,69,73,99,20,30
1/19/2023 4:54,70,74,98,20,31
1/19/2023 5:09,69,75,99,20,32
1/19/2023 5:24,70,76,100,20,31
1/19/2023 5:39,71,77,100,20,32
1/19/2023 5:54,72,78,99,20,31
1/19/2023 6:09,71,77,98,20,32
1/19/2023 6:24,70,76,99,20,31
1/19/2023 6:39,69,75,98,20,32
1/19/2023 6:54,70,74,99,20,31
1/19/2023 7:09,69,75,100,20,30
1/19/2023 7:24,70,76,100,20,31
1/19/2023 7:39,71,77,100,20,30
1/19/2023 7:54,72,78,100,20,31
1/19/2023 8:09,71,77,99,20,30
1/19/2023 8:24,72,76,98,20,29
1/19/2023 8:39,71,75,97,20,28
1/19/2023 8:54,72,76,96,20,27
1/19/2023 9:09,73,77,95,20,28
1/19/2023 9:24,74,78,96,20,29
1/19/2023 9:39,73,77,95,20,30
1/19/2023 9:54,72,78,94,20,29
1/19/2023 10:09,73,77,95,20,28
1/19/2023 10:24,74,78,94,20,29
1/19/2023 10:39,75,77,95,20,30
1/19/2023 10:54,76,76,94,20,29
1/19/2023 11:09,75,75,95,20,28
1/19/2023 11:24,74,76,94,20,27
1/19/2023 11:39,73,77,93,20,26
1/19/2023 11:54,72,76,94,20,27
1/19/2023 12:09,71,77,93,20,28
1/19/2023 12:24,72,76,92,20,29
1/19/2023 12:39,73,77,91,20,28
1/19/2023 12:54,74,76,90,20,27
1/19/2023 13:09,75,77,91,20,28
1/19/2023 13:24,76,78,92,20,27
1/19/2023 13:39,75,77,91,20,26
1/19/2023 13:54,74,76,92,20,27
1/19/2023 14:09,75,77,91,20,26
1/19/2023 14:24,76,76,92,20,25
1/19/2023 14:39,75,77,91,20,24
1/19/2023 14:54,76,76,90,20,25
1/19/2023 15:09,77,77,91,20,24
1/19/2023 15:24,78,78,90,20,23
1/19/2023 15:39,79,77,91,20,22
1/19/2023 15:54,80,78,92,20,21
1/19/2023 16:09,81,79,93,20,20
1/19/2023 16:24,82,78,94,20,21
1/19/2023 16:39,83,77,93,20,20
1/19/2023 16:54,82,76,92,20,21
1/19/2023 17:09,83,75,93,20,20
1/19/2023 17:24,82,74,92,20,21
1/19/2023 17:39,81,75,91,20,20
1/19/2023 17:54,80,76,92,20,21
1/19/2023 18:09,79,77,91,20,22
1/19/2023 18:24,80,78,90,20,21
1/19/2023 18:39,81,77,89,20,22
1/19/2023 18:54,80,76,88,20,23
1/19/2023 19:09,81,75,87,20,24
1/19/2023 19:24,80,76,86,20,25
1/19/2023 19:39,81,75,87,20,24
1/19/2023 19:54,82,76,86,20,23
1/19/2023 20:09,81,75,85,20,24
1/19/2023 20:24,82,76,86,20,25
1/19/2023 20:39,83,77,87,20,24
1/19/2023 20:54,84,76,88,20,25
1/19/2023 21:09,85,75,87,20,24
1/19/2023 21:24,86,74,86,20,25
1/19/2023 21:39,87,75,85,20,24
1/19/2023 21:54,86,76,84,20,25
1/19/2023 22:09,87,77,85,20,26
1/19/2023 22:24,86,76,86,20,27
1/19/2023 22:39,85,77,85,20,26
1/19/2023 22:54,84,76,86,20,27
1/19/2023 23:09,85,75,85,20,28
1/19/2023 23:24,86,76,84,20,27
1/19/2023 23:39,85,77,83,20,26
1/19/2023 23:54,84,76,82,20,25
1/20/2023 0:09,83,77,81,20,26
1/20/2023 0:24,84,78,82,20,27
1/20/2023 0:39,85,79,83,20,26
1/20/2023 0:54,86,80,82,20,27
1/20/2023 1:09,85,79,83,20,26
1/20/2023 1:24,84,78,82,20,27
1/20/2023 1:39,85,77,81,20,28
1/20/2023 1:54,86,78,82,20,27
1/20/2023 2:09,85,79,81,20,28
1/20/2023 2:24,84,78,80,20,29
1/20/2023 2:39,85,79,79,20,28
1/20/2023 2:54,84,78,80,20,27
1/20/2023 3:09,83,79,81,20,28
1/20/2023 3:24,84,80,80,20,29
1/20/2023 3:39,85,79,79,20,28
1/20/2023 3:54,84,78,80,20,29
1/20/2023 4:09,85,77,79,20,28
1/20/2023 4:24,86,76,78,20,27
1/20/2023 4:39,87,75,77,20,26
1/20/2023 4:54,88,76,78,20,27
1/20/2023 5:09,87,75,77,20,26
1/20/2023 5:24,88,74,76,20,25
1/20/2023 5:39,87,75,77,20,26
1/20/2023 5:54,86,76,76,20,25
1/20/2023 6:09,85,77,77,20,24
1/20/2023 6:24,86,76,78,20,23
1/20/2023 6:39,85,77,77,20,24
1/20/2023 6:54,86,76,76,20,23
1/20/2023 7:09,87,77,77,20,24
1/20/2023 7:24,86,76,76,20,25
1/20/2023 7:39,87,75,77,20,26
1/20/2023 7:54,86,74,76,20,27
1/20/2023 8:09,87,73,75,20,28
1/20/2023 8:24,86,72,74,20,29
1/20/2023 8:39,87,73,75,20,28
1/20/2023 8:54,86,74,76,20,27
1/20/2023 9:09,85,73,77,20,26
1/20/2023 9:24,84,72,78,20,25
1/20/2023 9:39,85,73,79,20,26
1/20/2023 9:54,84,72,78,20,25
1/20/2023 10:09,85,73,79,20,26
1/20/2023 10:24,84,74,78,20,25
1/20/2023 10:39,83,73,79,20,24
1/20/2023 10:54,84,72,80,20,25
1/20/2023 11:09,83,73,79,20,24
1/20/2023 11:24,84,72,78,20,25
1/20/2023 11:39,85,71,79,20,24
1/20/2023 11:54,86,72,80,20,23
1/20/2023 12:09,85,71,81,20,24
1/20/2023 12:24,86,70,80,20,23
1/20/2023 12:39,87,71,81,20,22
1/20/2023 12:54,88,72,80,20,23
1/20/2023 13:09,87,71,81,20,22
1/20/2023 13:24,86,70,80,20,21
1/20/2023 13:39,85,71,81,20,22
1/20/2023 13:54,86,70,82,20,23
1/20/2023 14:09,87,70,81,20,22
1/20/2023 14:24,86,71,80,20,23
1/20/2023 14:39,87,70,79,20,22
1/20/2023 14:54,88,71,78,20,21
1/20/2023 15:09,87,72,77,20,20
1/20/2023 15:24,86,71,76,20,21
1/20/2023 15:39,85,72,77,20,22
1/20/2023 15:54,84,71,76,20,21
1/20/2023 16:09,83,70,75,20,22
1/20/2023 16:24,84,71,74,20,21
1/20/2023 16:39,83,70,75,20,20
1/20/2023 16:54,82,70,76,20,19
1/20/2023 17:09,81,70,77,20,18
1/20/2023 17:24,82,71,78,20,19
1/20/2023 17:39,83,70,79,20,20
1/20/2023 17:54,82,71,78,20,19
1/20/2023 18:09,81,72,77,20,20
1/20/2023 18:24,80,73,78,20,19
1/20/2023 18:39,81,72,77,20,20
1/20/2023 18:54,80,73,76,0,19
1/20/2023 19:09,81,72,75,0,20
1/20/2023 19:24,80,73,74,0,21
1/20/2023 19:39,79,72,75,0,22
1/20/2023 19:54,78,73,76,0,23
1/20/2023 20:09,77,74,77,0,22
1/20/2023 20:24,76,75,76,0,21
1/20/2023 20:39,77,74,75,0,20
1/20/2023 20:54,78,75,76,0,21
1/20/2023 21:09,77,74,77,0,20
1/20/2023 21:24,76,75,76,0,19
1/20/2023 21:39,75,76,75,0,18
1/20/2023 21:54,76,75,74,0,19
1/20/2023 22:09,75,74,75,0,0
1/20/2023 22:24,74,75,74,0,0
1/20/2023 22:39,75,76,75,0,0
1/20/2023 22:54,76,75,74,0,0
1/20/2023 23:09,77,76,73,0,0
1/20/2023 23:24,76,75,74,0,0
1/20/2023 23:39,75,76,73,0,0
1/20/2023 23:54,76,75,74,0,0
1/21/2023 0:09,75,74,75,0,0
1/21/2023 0:24,76,75,76,0,0
1/21/2023 0:39,77,76,77,0,0
1/21/2023 0:54,78,75,76,0,0
1/21/2023 1:09,79,74,77,0,0
1/21/2023 1:24,80,75,78,0,0
1/21/2023 1:39,81,74,79,0,0
1/21/2023 1:54,82,75,80,0,0
1/21/2023 2:09,83,74,81,0,0
1/21/2023 2:24,82,73,80,0,0
1/21/2023 2:39,83,72,81,0,0
1/21/2023 2:54,82,73,80,0,0
1/21/2023 3:09,81,74,81,0,0
1/21/2023 3:24,80,75,80,0,0
1/21/2023 3:39,81,74,81,0,0
1/21/2023 3:54,82,73,82,0,0
1/21/2023 4:09,81,74,81,0,0
1/21/2023 4:24,82,75,82,0,0
1/21/2023 4:39,81,76,81,0,0
1/21/2023 4:54,82,77,80,0,0
1/21/2023 5:09,81,78,79,0,0
1/21/2023 5:24,82,79,78,0,0
1/21/2023 5:39,81,78,79,0,0
1/21/2023 5:54,82,77,80,0,0
1/21/2023 6:09,81,78,79,0,0
1/21/2023 6:24,80,79,78,0,0
1/21/2023 6:39,79,80,77,0,0
1/21/2023 6:54,78,79,76,0,0
1/21/2023 7:09,77,80,75,0,0
1/21/2023 7:24,78,80,76,0,0
1/21/2023 7:39,77,79,75,0,0
1/21/2023 7:54,76,78,74,0,0
1/21/2023 8:09,77,79,75,0,0
1/21/2023 8:24,78,78,74,0,0
1/21/2023 8:39,77,77,75,0,0
1/21/2023 8:54,78,76,76,0,0
1/21/2023 9:09,79,77,75,0,0
1/21/2023 9:24,78,76,76,0,0
1/21/2023 9:39,79,75,75,0,0
1/21/2023 9:54,80,74,74,0,0
1/21/2023 10:09,81,73,75,0,0
1/21/2023 10:24,82,72,76,0,0
1/21/2023 10:39,81,71,77,0,0
1/21/2023 10:54,80,72,76,0,0
1/21/2023 11:09,81,71,75,0,0
1/21/2023 11:24,82,70,74,0,0
1/21/2023 11:39,81,71,75,0,0
1/21/2023 11:54,80,70,74,0,0
1/21/2023 12:09,79,71,75,0,0
1/21/2023 12:24,78,72,76,0,0
1/21/2023 12:39,77,73,77,0,0
1/21/2023 12:54,78,72,78,0,0
1/21/2023 13:09,77,71,79,0,0
1/21/2023 13:24,78,70,78,0,0
1/21/2023 13:39,77,70,79,0,0
1/21/2023 13:54,78,71,78,0,0
1/21/2023 14:09,79,70,77,0,0
1/21/2023 14:24,78,71,78,0,0
1/21/2023 14:39,79,72,79,0,0
1/21/2023 14:54,78,71,80,0,0
1/21/2023 15:09,77,72,79,0,0
1/21/2023 15:24,76,73,78,0,0
1/21/2023 15:39,75,72,79,0,0
1/21/2023 15:54,76,71,80,0,0
1/21/2023 16:09,77,70,79,0,0
1/21/2023 16:24,78,70,80,0,0
1/21/2023 16:39,79,70,79,0,0
1/21/2023 16:54,78,71,80,0,0
1/21/2023 17:09,79,72,81,0,0
1/21/2023 17:24,78,71,82,0,0
1/21/2023 17:39,79,72,83,0,0
1/21/2023 17:54,78,71,84,0,0
1/21/2023 18:09,79,72,83,0,0
1/21/2023 18:24,80,71,84,0,0
1/21/2023 18:39,81,72,83,0,0
1/21/2023 18:54,80,71,82,0,0
1/21/2023 19:09,81,70,83,0,0
1/21/2023 19:24,82,70,84,0,0
1/21/2023 19:39,83,71,85,0,0
1/21/2023 19:54,84,72,84,0,0
1/21/2023 20:09,85,73,83,0,0
1/21/2023 20:24,86,74,84,0,0
1/21/2023 20:39,85,73,83,0,0
1/21/2023 20:54,86,72,82,0,0
1/21/2023 21:09,87,71,81,0,0
1/21/2023 21:24,86,70,80,0,0
1/21/2023 21:39,87,70,81,0,0
1/21/2023 21:54,88,71,82,0,0
1/21/2023 22:09,89,70,81,0,0
1/21/2023 22:24,90,71,82,0,0
1/21/2023 22:39,89,72,81,0,0
1/21/2023 22:54,90,71,82,0,0
1/21/2023 23:09,89,72,81,0,0
1/21/2023 23:24,88,71,82,0,0
1/21/2023 23:39,87,72,83,0,0
1/21/2023 23:54,86,71,84,0,0
1/22/2023 0:09,87,70,85,0,0
1/22/2023 0:24,86,70,84,0,0
1/22/2023 0:39,85,71,85,0,0
1/22/2023 0:54,86,72,84,0,0
1/22/2023 1:09,85,73,83,0,0
1/22/2023 1:24,84,72,84,0,0
1/22/2023 1:39,83,71,83,0,0
1/22/2023 1:54,82,72,82,0,0
1/22/2023 2:09,83,73,81,0,0
1/22/2023 2:24,84,74,82,0,0
1/22/2023 2:39,83,75,83,0,0
1/22/2023 2:54,82,76,84,0,0
1/22/2023 3:09,83,77,83,0,0
1/22/2023 3:24,84,76,84,0,0
1/22/2023 3:39,85,75,83,0,0
1/22/2023 3:54,84,74,82,0,0
1/22/2023 4:09,83,73,83,0,0
1/22/2023 4:24,82,74,84,0,0
1/22/2023 4:39,83,73,85,0,0
1/22/2023 4:54,84,74,84,0,0
1/22/2023 5:09,85,73,83,0,0
1/22/2023 5:24,86,72,84,0,0
1/22/2023 5:39,87,71,83,0,0
1/22/2023 5:54,86,72,84,0,0
1/22/2023 6:09,87,73,83,0,0
1/22/2023 6:24,88,72,84,0,0
1/22/2023 6:39,89,73,83,0,0
1/22/2023 6:54,88,74,84,0,0
1/22/2023 7:09,89,75,83,0,0
1/22/2023 7:24,90,74,84,0,0
1/22/2023 7:39,90,75,83,0,0
1/22/2023 7:54,90,74,82,0,0
1/22/2023 8:09,90,73,81,0,0
1/22/2023 8:24,89,72,82,0,0
1/22/2023 8:39,90,73,83,0,0
1/22/2023 8:54,89,72,84,0,0
1/22/2023 9:09,88,73,85,0,0
1/22/2023 9:24,87,74,84,0,0
1/22/2023 9:39,88,73,85,0,0
1/22/2023 9:54,89,72,86,0,0
1/22/2023 10:09,88,73,87,0,0
1/22/2023 10:24,89,74,86,0,0
1/22/2023 10:39,88,75,85,0,0
1/22/2023 10:54,89,74,84,0,0
1/22/2023 11:09,90,75,85,0,0
1/22/2023 11:24,90,74,86,0,0
1/22/2023 11:39,90,75,87,0,0
1/22/2023 11:54,89,76,86,0,0
1/22/2023 12:09,90,75,87,0,0
1/22/2023 12:24,89,76,88,0,0
1/22/2023 12:39,88,75,89,0,0
1/22/2023 12:54,87,76,88,0,0
1/22/2023 13:09,86,75,89,0,0
1/22/2023 13:24,87,74,90,0,0
1/22/2023 13:39,88,75,91,0,0
1/22/2023 13:54,87,76,90,0,0
1/22/2023 14:09,88,75,89,0,0
1/22/2023 14:24,89,76,90,0,0
1/22/2023 14:39,88,77,91,0,0
1/22/2023 14:54,89,76,92,0,0
1/22/2023 15:09,88,77,93,0,0
1/22/2023 15:24,89,76,94,0,0
1/22/2023 15:39,90,77,93,0,0
1/22/2023 15:54,89,78,94,0,0
1/22/2023 16:09,90,77,93,0,0
1/22/2023 16:24,89,78,92,0,0
1/22/2023 16:39,88,79,91,0,0
1/22/2023 16:54,89,80,92,0,0
1/22/2023 17:09,90,79,93,30,0
1/22/2023 17:24,90,80,94,29,0
1/22/2023 17:39,89,80,95,30,0
1/22/2023 17:54,90,80,96,29,0
1/22/2023 18:09,89,79,97,30,0
1/22/2023 18:24,90,80,96,31,0
1/22/2023 18:39,89,79,95,30,0
1/22/2023 18:54,88,80,94,31,0
1/22/2023 19:09,89,80,93,32,0
1/22/2023 19:24,90,79,92,33,0
1/22/2023 19:39,89,78,93,32,0
1/22/2023 19:54,90,77,92,31,0
1/22/2023 20:09,90,78,93,32,0
1/22/2023 20:24,89,77,92,33,0
1/22/2023 20:39,90,78,91,34,0
1/22/2023 20:54,89,77,92,35,0
1/22/2023 21:09,90,76,91,34,0
1/22/2023 21:24,90,77,92,35,0
1/22/2023 21:39,89,76,93,36,0
1/22/2023 21:54,90,77,92,37,0
1/22/2023 22:09,90,78,93,36,0
1/22/2023 22:24,89,79,92,37,0
1/22/2023 22:39,90,80,93,38,0
1/22/2023 22:54,89,79,92,37,0
1/22/2023 23:09,88,78,93,38,0
1/22/2023 23:24,87,77,92,39,0
1/22/2023 23:39,86,78,93,40,0
1/22/2023 23:54,85,79,94,39,0
1/23/2023 0:09,84,78,93,38,0
1/23/2023 0:24,83,77,94,37,0
1/23/2023 0:39,82,78,95,38,0
1/23/2023 0:54,83,79,96,39,0
1/23/2023 1:09,82,80,95,38,0
1/23/2023 1:24,81,80,94,39,0
1/23/2023 1:39,80,79,95,38,0
1/23/2023 1:54,79,80,96,37,0
1/23/2023 2:09,80,79,95,38,0
1/23/2023 2:24,79,80,94,39,0
1/23/2023 2:39,80,79,95,40,0
1/23/2023 2:54,81,78,96,39,0
1/23/2023 3:09,80,77,97,38,0
1/23/2023 3:24,81,76,96,39,0
1/23/2023 3:39,82,75,97,40,0
1/23/2023 3:54,83,76,96,39,0
1/23/2023 4:09,82,75,95,40,0
1/23/2023 4:24,81,76,96,41,0
1/23/2023 4:39,80,75,97,40,0
1/23/2023 4:54,81,76,96,39,0
1/23/2023 5:09,82,77,97,40,0
1/23/2023 5:24,83,76,96,41,0
1/23/2023 5:39,84,75,95,42,0
1/23/2023 5:54,83,76,96,43,0
1/23/2023 6:09,84,77,95,44,0
1/23/2023 6:24,85,78,96,43,0
1/23/2023 6:39,84,77,97,44,0
1/23/2023 6:54,85,78,96,45,0
1/23/2023 7:09,86,79,95,44,0
1/23/2023 7:24,85,78,94,45,0
