Date,oat,mat
2023-01-19 15:23:00,87,67
2023-01-19 15:38:00,86,68
2023-01-19 15:53:00,85,67
2023-01-19 16:08:00,86,68
2023-01-19 16:23:00,87,69
2023-01-19 16:38:00,86,70
2023-01-19 16:53:00,85,71
2023-01-19 17:08:00,84,70
2023-01-19 17:23:00,83,69
2023-01-19 17:38:00,84,68
2023-01-19 17:53:00,83,67
2023-01-19 18:08:00,84,66
2023-01-19 18:23:00,85,67
2023-01-19 18:38:00,84,68
2023-01-19 18:53:00,83,69
2023-01-19 19:08:00,84,70
2023-01-19 19:23:00,83,71
2023-01-19 19:38:00,82,72
2023-01-19 19:53:00,83,73
2023-01-19 20:08:00,84,74
2023-01-19 20:23:00,83,73
2023-01-19 20:38:00,84,74
2023-01-19 20:53:00,85,73
2023-01-19 21:08:00,86,72
2023-01-19 21:23:00,85,73
2023-01-19 21:38:00,84,74
2023-01-19 21:53:00,83,73
2023-01-19 22:08:00,84,72
2023-01-19 22:23:00,83,71
2023-01-19 22:38:00,82,70
2023-01-19 22:53:00,83,69
2023-01-19 23:08:00,84,70
2023-01-19 23:23:00,83,69
2023-01-19 23:38:00,84,68
2023-01-19 23:53:00,83,69
2023-01-20 00:08:00,82,70
2023-01-20 00:23:00,83,71
2023-01-20 00:38:00,84,70
2023-01-20 00:53:00,85,71
2023-01-20 01:08:00,86,72
2023-01-20 01:23:00,85,73
2023-01-20 01:38:00,84,74
2023-01-20 01:53:00,83,73
2023-01-20 02:08:00,82,72
2023-01-20 02:23:00,83,71
2023-01-20 02:38:00,84,70
2023-01-20 02:53:00,83,69
2023-01-20 03:08:00,84,70
2023-01-20 03:23:00,83,69
2023-01-20 03:38:00,82,68
2023-01-20 03:53:00,83,67
2023-01-20 04:08:00,82,68
2023-01-20 04:23:00,81,67
2023-01-20 04:38:00,80,68
2023-01-20 04:53:00,79,67
2023-01-20 05:08:00,80,68
2023-01-20 05:23:00,81,67
2023-01-20 05:38:00,82,68
2023-01-20 05:53:00,81,67
2023-01-20 06:08:00,80,66
2023-01-20 06:23:00,81,65
2023-01-20 06:38:00,80,64
2023-01-20 06:53:00,81,63
2023-01-20 07:08:00,80,64
2023-01-20 07:23:00,81,65
2023-01-20 07:38:00,82,64
2023-01-20 07:53:00,83,65
2023-01-20 08:08:00,84,64
2023-01-20 08:23:00,85,65
2023-01-20 08:38:00,86,64
2023-01-20 08:53:00,87,63
2023-01-20 09:08:00,88,64
2023-01-20 09:23:00,87,65
2023-01-20 09:38:00,88,64
2023-01-20 09:53:00,89,63
2023-01-20 10:08:00,88,62
2023-01-20 10:23:00,89,63
2023-01-20 10:38:00,88,62
2023-01-20 10:53:00,89,61
2023-01-20 11:08:00,90,60
2023-01-20 11:23:00,89,60
2023-01-20 11:38:00,88,60
2023-01-20 11:53:00,89,61
2023-01-20 12:08:00,88,62
2023-01-20 12:23:00,87,63
2023-01-20 12:38:00,86,62
2023-01-20 12:53:00,85,63
2023-01-20 13:08:00,84,64
2023-01-20 13:23:00,85,63
2023-01-20 13:38:00,84,64
2023-01-20 13:53:00,85,63
2023-01-20 14:08:00,84,62
2023-01-20 14:23:00,85,61
2023-01-20 14:38:00,84,62
2023-01-20 14:53:00,83,63
2023-01-20 15:08:00,84,64
2023-01-20 15:23:00,85,63
2023-01-20 15:38:00,84,64
2023-01-20 15:53:00,83,63
2023-01-20 16:08:00,84,64
2023-01-20 16:23:00,85,63
2023-01-20 16:38:00,86,64
2023-01-20 16:53:00,87,65
2023-01-20 17:08:00,86,64
2023-01-20 17:23:00,85,63
2023-01-20 17:38:00,86,64
2023-01-20 17:53:00,85,63
2023-01-20 18:08:00,84,62
2023-01-20 18:23:00,85,63
2023-01-20 18:38:00,86,64
2023-01-20 18:53:00,85,63
2023-01-20 19:08:00,84,64
2023-01-20 19:23:00,85,65
2023-01-20 19:38:00,84,66
2023-01-20 19:53:00,85,67
2023-01-20 20:08:00,84,68
2023-01-20 20:23:00,85,67
2023-01-20 20:38:00,86,66
2023-01-20 20:53:00,87,65
2023-01-20 21:08:00,88,66
2023-01-20 21:23:00,87,67
2023-01-20 21:38:00,86,68
2023-01-20 21:53:00,85,69
2023-01-20 22:08:00,86,68
2023-01-20 22:23:00,87,67
2023-01-20 22:38:00,88,66
2023-01-20 22:53:00,87,65
2023-01-20 23:08:00,88,64
2023-01-20 23:23:00,89,65
2023-01-20 23:38:00,88,66
2023-01-20 23:53:00,89,67
2023-01-21 00:08:00,88,66
2023-01-21 00:23:00,87,67
2023-01-21 00:38:00,88,68
2023-01-21 00:53:00,89,69
2023-01-21 01:08:00,90,68
2023-01-21 01:23:00,91,67
2023-01-21 01:38:00,90,68
2023-01-21 01:53:00,89,67
2023-01-21 02:08:00,88,68
2023-01-21 02:23:00,87,69
2023-01-21 02:38:00,88,70
2023-01-21 02:53:00,87,69
2023-01-21 03:08:00,86,68
2023-01-21 03:23:00,87,67
2023-01-21 03:38:00,86,66
2023-01-21 03:53:00,85,67
2023-01-21 04:08:00,86,68
2023-01-21 04:23:00,87,67
2023-01-21 04:38:00,88,66
2023-01-21 04:53:00,87,67
2023-01-21 05:08:00,88,68
2023-01-21 05:23:00,87,67
2023-01-21 05:38:00,86,66
2023-01-21 05:53:00,85,67
2023-01-21 06:08:00,86,66
2023-01-21 06:23:00,87,65
2023-01-21 06:38:00,88,66
2023-01-21 06:53:00,87,65
2023-01-21 07:08:00,88,66
2023-01-21 07:23:00,87,65
2023-01-21 07:38:00,86,66
2023-01-21 07:53:00,87,67
2023-01-21 08:08:00,88,66
2023-01-21 08:23:00,87,67
2023-01-21 08:38:00,86,68
2023-01-21 08:53:00,87,69
2023-01-21 09:08:00,86,70
2023-01-21 09:23:00,85,71
2023-01-21 09:38:00,86,72
2023-01-21 09:53:00,87,71
2023-01-21 10:08:00,86,72
2023-01-21 10:23:00,87,71
2023-01-21 10:38:00,88,70
2023-01-21 10:53:00,87,69
2023-01-21 11:08:00,86,70
2023-01-21 11:23:00,85,71
2023-01-21 11:38:00,86,72
2023-01-21 11:53:00,87,73
2023-01-21 12:08:00,86,74
2023-01-21 12:23:00,87,73
2023-01-21 12:38:00,86,74
2023-01-21 12:53:00,85,73
2023-01-21 13:08:00,86,72
2023-01-21 13:23:00,87,71
2023-01-21 13:38:00,86,70
2023-01-21 13:53:00,85,71
2023-01-21 14:08:00,86,72
2023-01-21 14:23:00,87,71
2023-01-21 14:38:00,86,70
2023-01-21 14:53:00,85,71
2023-01-21 15:08:00,84,70
2023-01-21 15:23:00,85,71
2023-01-21 15:38:00,86,70
2023-01-21 15:53:00,87,71
2023-01-21 16:08:00,88,72
2023-01-21 16:23:00,89,73
2023-01-21 16:38:00,88,72
2023-01-21 16:53:00,87,71
2023-01-21 17:08:00,88,72
2023-01-21 17:23:00,89,73
2023-01-21 17:38:00,90,72
2023-01-21 17:53:00,91,71
2023-01-21 18:08:00,90,72
2023-01-21 18:23:00,91,73
2023-01-21 18:38:00,90,74
2023-01-21 18:53:00,91,75
2023-01-21 19:08:00,90,74
2023-01-21 19:23:00,91,73
2023-01-21 19:38:00,90,72
2023-01-21 19:53:00,89,71
2023-01-21 20:08:00,90,72
2023-01-21 20:23:00,91,71
2023-01-21 20:38:00,90,70
2023-01-21 20:53:00,91,69
2023-01-21 21:08:00,92,70
2023-01-21 21:23:00,93,69
2023-01-21 21:38:00,94,70
2023-01-21 21:53:00,93,69
2023-01-21 22:08:00,92,68
2023-01-21 22:23:00,91,67
2023-01-21 22:38:00,90,66
2023-01-21 22:53:00,89,67
2023-01-21 23:08:00,88,68
2023-01-21 23:23:00,89,67
2023-01-21 23:38:00,90,66
2023-01-21 23:53:00,89,65
2023-01-22 00:08:00,90,66
2023-01-22 00:23:00,91,67
2023-01-22 00:38:00,92,68
2023-01-22 00:53:00,91,67
2023-01-22 01:08:00,90,68
2023-01-22 01:23:00,91,69
2023-01-22 01:38:00,92,68
2023-01-22 01:53:00,91,67
2023-01-22 02:08:00,90,66
2023-01-22 02:23:00,91,65
2023-01-22 02:38:00,92,64
2023-01-22 02:53:00,91,63
2023-01-22 03:08:00,92,62
2023-01-22 03:23:00,93,61
2023-01-22 03:38:00,94,60
2023-01-22 03:53:00,95,61
2023-01-22 04:08:00,94,62
2023-01-22 04:23:00,93,61
2023-01-22 04:38:00,94,62
2023-01-22 04:53:00,95,63
2023-01-22 05:08:00,94,62
2023-01-22 05:23:00,95,63
2023-01-22 05:38:00,96,62
2023-01-22 05:53:00,97,63
2023-01-22 06:08:00,96,62
2023-01-22 06:23:00,97,63
2023-01-22 06:38:00,96,62
2023-01-22 06:53:00,95,63
2023-01-22 07:08:00,94,64
2023-01-22 07:23:00,95,63
2023-01-22 07:38:00,96,64
2023-01-22 07:53:00,97,65
2023-01-22 08:08:00,98,64
2023-01-22 08:23:00,99,65
2023-01-22 08:38:00,100,66
2023-01-22 08:53:00,100,65
2023-01-22 09:08:00,99,64
2023-01-22 09:23:00,100,65
2023-01-22 09:38:00,99,64
2023-01-22 09:53:00,98,65
2023-01-22 10:08:00,99,64
2023-01-22 10:23:00,98,63
2023-01-22 10:38:00,99,62
2023-01-22 10:53:00,100,63
2023-01-22 11:08:00,100,62
2023-01-22 11:23:00,99,61
2023-01-22 11:38:00,98,60
2023-01-22 11:53:00,97,60
2023-01-22 12:08:00,96,61
2023-01-22 12:23:00,97,62
2023-01-22 12:38:00,96,63
2023-01-22 12:53:00,95,62
2023-01-22 13:08:00,96,63
2023-01-22 13:23:00,97,64
2023-01-22 13:38:00,96,65
2023-01-22 13:53:00,95,64
2023-01-22 14:08:00,94,63
2023-01-22 14:23:00,95,62
2023-01-22 14:38:00,96,63
2023-01-22 14:53:00,97,64
2023-01-22 15:08:00,96,63
2023-01-22 15:23:00,95,64
2023-01-22 15:38:00,96,63
2023-01-22 15:53:00,97,62
2023-01-22 16:08:00,98,63
2023-01-22 16:23:00,97,64
2023-01-22 16:38:00,98,63
2023-01-22 16:53:00,97,64
2023-01-22 17:08:00,96,63
2023-01-22 17:23:00,95,64
2023-01-22 17:38:00,96,65
2023-01-22 17:53:00,97,66
2023-01-22 18:08:00,96,65
2023-01-22 18:23:00,95,64
2023-01-22 18:38:00,94,63
2023-01-22 18:53:00,95,64
2023-01-22 19:08:00,94,63
2023-01-22 19:23:00,93,64
2023-01-22 19:38:00,92,65
2023-01-22 19:53:00,91,66
2023-01-22 20:08:00,90,67
2023-01-22 20:23:00,89,66
2023-01-22 20:38:00,90,67
2023-01-22 20:53:00,89,68
2023-01-22 21:08:00,90,69
2023-01-22 21:23:00,91,70
2023-01-22 21:38:00,92,69
2023-01-22 21:53:00,91,70
2023-01-22 22:08:00,90,71
2023-01-22 22:23:00,89,72
2023-01-22 22:38:00,88,71
2023-01-22 22:53:00,87,70
2023-01-22 23:08:00,88,71
2023-01-22 23:23:00,89,70
2023-01-22 23:38:00,90,69
2023-01-22 23:53:00,89,68
2023-01-23 00:08:00,90,67
2023-01-23 00:23:00,91,68
2023-01-23 00:38:00,90,69
2023-01-23 00:53:00,91,68
2023-01-23 01:08:00,92,67
2023-01-23 01:23:00,91,68
2023-01-23 01:38:00,92,69
2023-01-23 01:53:00,91,70
2023-01-23 02:08:00,92,69
2023-01-23 02:23:00,91,70
2023-01-23 02:38:00,90,69
2023-01-23 02:53:00,91,68
2023-01-23 03:08:00,92,67
2023-01-23 03:23:00,91,68
2023-01-23 03:38:00,92,69
2023-01-23 03:53:00,93,68
2023-01-23 04:08:00,94,67
2023-01-23 04:23:00,93,66
2023-01-23 04:38:00,94,67
2023-01-23 04:53:00,93,68
2023-01-23 05:08:00,94,69
2023-01-23 05:23:00,93,70
2023-01-23 05:38:00,94,71
2023-01-23 05:53:00,95,70
2023-01-23 06:08:00,96,71
2023-01-23 06:23:00,97,70
2023-01-23 06:38:00,96,69
2023-01-23 06:53:00,95,68
2023-01-23 07:08:00,96,69
2023-01-23 07:23:00,95,68
2023-01-23 07:38:00,94,67
2023-01-23 07:53:00,93,68
2023-01-23 08:08:00,94,69
2023-01-23 08:23:00,95,68
2023-01-23 08:38:00,94,69
2023-01-23 08:53:00,95,70
2023-01-23 09:08:00,94,71
2023-01-23 09:23:00,93,72
2023-01-23 09:38:00,94,73
2023-01-23 09:53:00,93,72
2023-01-23 10:08:00,94,73
2023-01-23 10:23:00,93,72
2023-01-23 10:38:00,92,73
2023-01-23 10:53:00,91,74
2023-01-23 11:08:00,92,73
2023-01-23 11:23:00,91,74
2023-01-23 11:38:00,92,75
2023-01-23 11:53:00,91,74
2023-01-23 12:08:00,92,75
2023-01-23 12:23:00,93,74
2023-01-23 12:38:00,94,75
2023-01-23 12:53:00,93,74
2023-01-23 13:08:00,94,75
2023-01-23 13:23:00,95,74
2023-01-23 13:38:00,96,75
2023-01-23 13:53:00,97,74
2023-01-23 14:08:00,96,75
2023-01-23 14:23:00,97,74
2023-01-23 14:38:00,98,73
2023-01-23 14:53:00,99,72
2023-01-23 15:08:00,100,71
2023-01-23 15:23:00,99,72
2023-01-23 15:38:00,100,73
2023-01-23 15:53:00,99,74
2023-01-23 16:08:00,98,75
2023-01-23 16:23:00,99,76
2023-01-23 16:38:00,100,75
2023-01-23 16:53:00,100,76
2023-01-23 17:08:00,100,75
2023-01-23 17:23:00,99,76
2023-01-23 17:38:00,98,75
2023-01-23 17:53:00,97,74
2023-01-23 18:08:00,96,73
2023-01-23 18:23:00,97,72
2023-01-23 18:38:00,98,71
2023-01-23 18:53:00,97,72
2023-01-23 19:08:00,98,73
2023-01-23 19:23:00,99,72
2023-01-23 19:38:00,98,71
2023-01-23 19:53:00,97,72
2023-01-23 20:08:00,96,73
2023-01-23 20:23:00,95,72
2023-01-23 20:38:00,96,73
2023-01-23 20:53:00,97,72
2023-01-23 21:08:00,96,71
2023-01-23 21:23:00,95,72
2023-01-23 21:38:00,96,71
2023-01-23 21:53:00,97,72
2023-01-23 22:08:00,96,73
2023-01-23 22:23:00,95,72
2023-01-23 22:38:00,94,73
2023-01-23 22:53:00,95,72
2023-01-23 23:08:00,96,73
2023-01-23 23:23:00,95,72
2023-01-23 23:38:00,94,71
2023-01-23 23:53:00,95,72
2023-01-24 00:08:00,94,71
2023-01-24 00:23:00,93,70
2023-01-24 00:38:00,94,71
2023-01-24 00:53:00,95,70
2023-01-24 01:08:00,94,69
2023-01-24 01:23:00,95,68
2023-01-24 01:38:00,94,69
2023-01-24 01:53:00,95,68
2023-01-24 02:08:00,94,67
2023-01-24 02:23:00,93,66
2023-01-24 02:38:00,94,67
2023-01-24 02:53:00,95,66
2023-01-24 03:08:00,96,65
2023-01-24 03:23:00,97,64
2023-01-24 03:38:00,98,65
2023-01-24 03:53:00,99,66
2023-01-24 04:08:00,98,65
2023-01-24 04:23:00,97,64
2023-01-24 04:38:00,96,63
2023-01-24 04:53:00,95,62
2023-01-24 05:08:00,94,63
2023-01-24 05:23:00,95,64
2023-01-24 05:38:00,94,63
2023-01-24 05:53:00,95,64
2023-01-24 06:08:00,94,63
2023-01-24 06:23:00,95,62
2023-01-24 06:38:00,94,63
2023-01-24 06:53:00,93,64
2023-01-24 07:08:00,92,65
2023-01-24 07:23:00,93,64
2023-01-24 07:38:00,94,65
2023-01-24 07:53:00,93,64
2023-01-24 08:08:00,92,63
2023-01-24 08:23:00,91,62
2023-01-24 08:38:00,90,61
2023-01-24 08:53:00,91,60
2023-01-24 09:08:00,90,60
2023-01-24 09:23:00,91,60
2023-01-24 09:38:00,90,61
2023-01-24 09:53:00,91,60
2023-01-24 10:08:00,90,61
2023-01-24 10:23:00,89,60
2023-01-24 10:38:00,90,61
2023-01-24 10:53:00,89,60
2023-01-24 11:08:00,90,61
2023-01-24 11:23:00,89,60
2023-01-24 11:38:00,88,60
2023-01-24 11:53:00,89,60
2023-01-24 12:08:00,88,61
2023-01-24 12:23:00,87,60
2023-01-24 12:38:00,88,61
2023-01-24 12:53:00,89,62
2023-01-24 13:08:00,90,61
2023-01-24 13:23:00,91,60
2023-01-24 13:38:00,90,61
2023-01-24 13:53:00,91,60
2023-01-24 14:08:00,92,60
2023-01-24 14:23:00,93,60
2023-01-24 14:38:00,94,61
2023-01-24 14:53:00,95,60
2023-01-24 15:08:00,96,60
2023-01-24 15:23:00,95,60
2023-01-24 15:38:00,94,61
2023-01-24 15:53:00,93,60
2023-01-24 16:08:00,92,61
2023-01-24 16:23:00,91,62
2023-01-24 16:38:00,92,61
2023-01-24 16:53:00,91,60
2023-01-24 17:08:00,90,61
2023-01-24 17:23:00,89,62
2023-01-24 17:38:00,88,61
2023-01-24 17:53:00,89,62
2023-01-24 18:08:00,88,63
2023-01-24 18:23:00,89,62
2023-01-24 18:38:00,90,63
2023-01-24 18:53:00,91,64
2023-01-24 19:08:00,92,65
2023-01-24 19:23:00,91,66
2023-01-24 19:38:00,90,65
2023-01-24 19:53:00,91,64
2023-01-24 20:08:00,92,63
2023-01-24 20:23:00,93,62
2023-01-24 20:38:00,92,61
2023-01-24 20:53:00,91,62
2023-01-24 21:08:00,92,63
2023-01-24 21:23:00,93,62
2023-01-24 21:38:00,94,63
2023-01-24 21:53:00,95,62
2023-01-24 22:08:00,96,61
2023-01-24 22:23:00,95,60
2023-01-24 22:38:00,96,61
2023-01-24 22:53:00,95,62
2023-01-24 23:08:00,96,61
2023-01-24 23:23:00,97,62
2023-01-24 23:38:00,96,63
2023-01-24 23:53:00,97,62
2023-01-25 00:08:00,96,61
2023-01-25 00:23:00,97,60
2023-01-25 00:38:00,96,60
2023-01-25 00:53:00,95,61
2023-01-25 01:08:00,96,60
2023-01-25 01:23:00,97,61
2023-01-25 01:38:00,98,62
2023-01-25 01:53:00,97,63
2023-01-25 02:08:00,96,62
2023-01-25 02:23:00,95,63
2023-01-25 02:38:00,94,64
2023-01-25 02:53:00,93,63
2023-01-25 03:08:00,94,62
2023-01-25 03:23:00,95,63
2023-01-25 03:38:00,94,64
2023-01-25 03:53:00,95,63
2023-01-25 04:08:00,96,64
2023-01-25 04:23:00,97,63
2023-01-25 04:38:00,96,64
2023-01-25 04:53:00,97,63
2023-01-25 05:08:00,98,62
2023-01-25 05:23:00,97,63
2023-01-25 05:38:00,98,62
2023-01-25 05:53:00,99,61
2023-01-25 06:08:00,100,60
2023-01-25 06:23:00,100,60
2023-01-25 06:38:00,100,60
2023-01-25 06:53:00,100,60
2023-01-25 07:08:00,99,60
2023-01-25 07:23:00,100,60
2023-01-25 07:38:00,100,61
2023-01-25 07:53:00,99,60
2023-01-25 08:08:00,98,61
2023-01-25 08:23:00,99,60
2023-01-25 08:38:00,100,61
2023-01-25 08:53:00,100,60
2023-01-25 09:08:00,99,60
2023-01-25 09:23:00,100,60
2023-01-25 09:38:00,99,61
2023-01-25 09:53:00,100,60
2023-01-25 10:08:00,100,61
2023-01-25 10:23:00,99,60
2023-01-25 10:38:00,100,61
2023-01-25 10:53:00,100,62
2023-01-25 11:08:00,100,63
2023-01-25 11:23:00,99,64
2023-01-25 11:38:00,98,63
2023-01-25 11:53:00,99,62
2023-01-25 12:08:00,98,63
2023-01-25 12:23:00,99,62
2023-01-25 12:38:00,98,63
2023-01-25 12:53:00,97,64
2023-01-25 13:08:00,96,65
2023-01-25 13:23:00,95,66
2023-01-25 13:38:00,96,67
2023-01-25 13:53:00,97,66
2023-01-25 14:08:00,96,67
2023-01-25 14:23:00,95,68
2023-01-25 14:38:00,96,69
2023-01-25 14:53:00,97,68
2023-01-25 15:08:00,98,67
2023-01-25 15:23:00,97,66
2023-01-25 15:38:00,98,65
2023-01-25 15:53:00,99,66
2023-01-25 16:08:00,100,67
2023-01-25 16:23:00,100,66
2023-01-25 16:38:00,99,65
2023-01-25 16:53:00,98,66
2023-01-25 17:08:00,97,65
2023-01-25 17:23:00,98,64
2023-01-25 17:38:00,97,63
2023-01-25 17:53:00,98,64
2023-01-25 18:08:00,99,63
2023-01-25 18:23:00,100,64
2023-01-25 18:38:00,100,63
2023-01-25 18:53:00,99,64
2023-01-25 19:08:00,100,65
2023-01-25 19:23:00,100,64
2023-01-25 19:38:00,99,63
2023-01-25 19:53:00,98,64
2023-01-25 20:08:00,97,65
2023-01-25 20:23:00,96,66
2023-01-25 20:38:00,97,67
2023-01-25 20:53:00,98,66
2023-01-25 21:08:00,99,67
2023-01-25 21:23:00,100,66
2023-01-25 21:38:00,99,67
2023-01-25 21:53:00,98,66
2023-01-25 22:08:00,97,67
2023-01-25 22:23:00,96,66
2023-01-25 22:38:00,97,67
2023-01-25 22:53:00,98,66
2023-01-25 23:08:00,97,65
2023-01-25 23:23:00,96,64
2023-01-25 23:38:00,95,63
2023-01-25 23:53:00,94,64
2023-01-26 00:08:00,93,65
2023-01-26 00:23:00,94,64
2023-01-26 00:38:00,95,65
2023-01-26 00:53:00,96,64
2023-01-26 01:08:00,97,63
2023-01-26 01:23:00,98,62
2023-01-26 01:38:00,99,61
2023-01-26 01:53:00,98,60
2023-01-26 02:08:00,97,61
2023-01-26 02:23:00,96,60
2023-01-26 02:38:00,97,60
2023-01-26 02:53:00,98,61
2023-01-26 03:08:00,99,60
2023-01-26 03:23:00,98,61
2023-01-26 03:38:00,97,62
2023-01-26 03:53:00,98,63
2023-01-26 04:08:00,97,64
2023-01-26 04:23:00,98,65
2023-01-26 04:38:00,97,66
2023-01-26 04:53:00,98,65
2023-01-26 05:08:00,99,64
2023-01-26 05:23:00,98,65
2023-01-26 05:38:00,99,66
2023-01-26 05:53:00,98,67
2023-01-26 06:08:00,99,68
2023-01-26 06:23:00,98,69
2023-01-26 06:38:00,97,68
2023-01-26 06:53:00,98,67
2023-01-26 07:08:00,97,66
2023-01-26 07:23:00,96,65
2023-01-26 07:38:00,95,64
2023-01-26 07:53:00,96,63
2023-01-26 08:08:00,97,64
2023-01-26 08:23:00,98,65
2023-01-26 08:38:00,97,64
2023-01-26 08:53:00,96,63
2023-01-26 09:08:00,97,62
2023-01-26 09:23:00,96,61
2023-01-26 09:38:00,95,62
2023-01-26 09:53:00,94,63
2023-01-26 10:08:00,95,64
2023-01-26 10:23:00,96,65
2023-01-26 10:38:00,95,66
2023-01-26 10:53:00,96,67
2023-01-26 11:08:00,97,66
2023-01-26 11:23:00,98,65
2023-01-26 11:38:00,99,64
2023-01-26 11:53:00,100,63
2023-01-26 12:08:00,99,62
2023-01-26 12:23:00,100,61
2023-01-26 12:38:00,99,60
2023-01-26 12:53:00,98,60
2023-01-26 13:08:00,99,60
2023-01-26 13:23:00,98,60
2023-01-26 13:38:00,99,61
2023-01-26 13:53:00,100,60
2023-01-26 14:08:00,100,61
2023-01-26 14:23:00,99,62
2023-01-26 14:38:00,98,63
2023-01-26 14:53:00,99,62
2023-01-26 15:08:00,98,63
2023-01-26 15:23:00,97,64
2023-01-26 15:38:00,96,63
2023-01-26 15:53:00,95,64
2023-01-26 16:08:00,96,63
2023-01-26 16:23:00,97,64
2023-01-26 16:38:00,98,63
2023-01-26 16:53:00,99,62
2023-01-26 17:08:00,100,63
2023-01-26 17:23:00,99,64
2023-01-26 17:38:00,98,63
2023-01-26 17:53:00,97,62
2023-01-26 18:08:00,98,63
2023-01-26 18:23:00,97,64
2023-01-26 18:38:00,98,65
2023-01-26 18:53:00,99,64
2023-01-26 19:08:00,98,65
2023-01-26 19:23:00,99,66
2023-01-26 19:38:00,100,67
2023-01-26 19:53:00,99,66
2023-01-26 20:08:00,100,67
2023-01-26 20:23:00,99,68
2023-01-26 20:38:00,100,69
2023-01-26 20:53:00,100,70
2023-01-26 21:08:00,100,71
2023-01-26 21:23:00,99,70
2023-01-26 21:38:00,98,69
2023-01-26 21:53:00,97,68
2023-01-26 22:08:00,98,69
2023-01-26 22:23:00,99,68
2023-01-26 22:38:00,100,67
2023-01-26 22:53:00,100,68
2023-01-26 23:08:00,99,69
2023-01-26 23:23:00,100,68
2023-01-26 23:38:00,99,69
2023-01-26 23:53:00,98,68
2023-01-27 00:08:00,97,67
