Date,oat,rat,mat,vav_total_flow,supply_vfd_speed
1/16/2023 9:17,-3,79,58,12100,32
1/16/2023 9:32,-4,80,59,12099,31
1/16/2023 9:47,-5,79,58,12098,32
1/16/2023 10:02,-6,78,59,12099,31
1/16/2023 10:17,-5,77,58,12098,32
1/16/2023 10:32,-6,78,57,12097,31
1/16/2023 10:47,-5,77,56,12098,32
1/16/2023 11:02,-4,76,57,12099,31
1/16/2023 11:17,-3,77,56,12100,30
1/16/2023 11:32,-2,78,57,12101,31
1/16/2023 11:47,-1,77,56,12102,30
1/16/2023 12:02,-2,78,57,12101,31
1/16/2023 12:17,-3,77,56,12100,30
1/16/2023 12:32,-4,78,57,12101,29
1/16/2023 12:47,-3,79,56,12100,28
1/16/2023 13:02,-2,78,55,12099,27
1/16/2023 13:17,-3,77,56,12098,28
1/16/2023 13:32,-2,78,55,12097,29
1/16/2023 13:47,-1,79,56,12098,30
1/16/2023 14:02,-2,78,57,12097,29
1/16/2023 14:17,-1,77,56,12096,28
1/16/2023 14:32,0,78,55,12097,29
1/16/2023 14:47,-1,79,54,12096,30
1/16/2023 15:02,0,80,55,12095,29
1/16/2023 15:17,1,79,56,12096,28
1/16/2023 15:32,0,78,57,12097,27
1/16/2023 15:47,-1,77,58,12098,26
1/16/2023 16:02,0,76,57,12097,27
1/16/2023 16:17,1,75,58,12098,28
1/16/2023 16:32,2,76,59,12099,29
1/16/2023 16:47,1,75,60,12100,28
1/16/2023 17:02,2,76,61,12099,27
1/16/2023 17:17,3,77,62,12098,28
1/16/2023 17:32,2,78,63,12099,27
1/16/2023 17:47,1,79,62,12100,26
1/16/2023 18:02,0,80,63,12101,27
1/16/2023 18:17,1,80,62,12100,26
1/16/2023 18:32,2,80,61,12101,25
1/16/2023 18:47,3,79,60,12102,24
1/16/2023 19:02,2,80,59,12101,25
1/16/2023 19:17,1,79,58,12100,24
1/16/2023 19:32,0,78,57,12101,23
1/16/2023 19:47,-1,79,56,12100,22
1/16/2023 20:02,-2,78,55,12099,21
1/16/2023 20:17,-3,77,54,12098,20
1/16/2023 20:32,-2,78,53,12097,21
1/16/2023 20:47,-3,77,52,12096,20
1/16/2023 21:02,-2,76,53,12097,21
1/16/2023 21:17,-1,77,54,12098,20
1/16/2023 21:32,-2,78,53,12099,21
1/16/2023 21:47,-3,79,52,12098,20
1/16/2023 22:02,-2,80,53,12097,21
1/16/2023 22:17,-1,80,52,12096,22
1/16/2023 22:32,0,79,51,12095,21
1/16/2023 22:47,-1,80,52,12094,22
1/16/2023 23:02,0,80,53,12093,23
1/16/2023 23:17,-1,80,54,12094,24
1/16/2023 23:32,-2,80,53,12095,25
1/16/2023 23:47,-1,79,54,12096,24
1/17/2023 0:02,0,78,53,12097,23
1/17/2023 0:17,-1,77,52,12098,24
1/17/2023 0:32,-2,76,51,12097,25
1/17/2023 0:47,-3,75,52,12098,24
1/17/2023 1:02,-2,74,51,12097,25
1/17/2023 1:17,-3,73,50,12096,24
1/17/2023 1:32,-2,72,49,12095,25
1/17/2023 1:47,-1,73,48,12096,24
1/17/2023 2:02,-2,74,47,12095,25
1/17/2023 2:17,-1,75,46,12096,26
1/17/2023 2:32,-2,74,45,12095,27
1/17/2023 2:47,-1,75,44,12096,26
1/17/2023 3:02,0,74,43,12097,27
1/17/2023 3:17,1,73,44,12096,28
1/17/2023 3:32,2,72,43,12097,27
1/17/2023 3:47,1,73,44,12096,26
1/17/2023 4:02,2,72,45,12095,25
1/17/2023 4:17,1,71,46,12094,26
1/17/2023 4:32,0,72,45,12095,27
1/17/2023 4:47,1,73,44,12096,26
1/17/2023 5:02,2,74,43,12095,27
1/17/2023 5:17,1,75,44,12094,26
1/17/2023 5:32,2,76,45,12095,27
1/17/2023 5:47,1,77,46,12094,28
1/17/2023 6:02,0,78,47,12095,27
1/17/2023 6:17,-1,79,48,12094,28
1/17/2023 6:32,-2,80,49,12093,29
1/17/2023 6:47,-3,79,50,12092,28
1/17/2023 7:02,-4,78,51,12091,27
1/17/2023 7:17,-3,79,50,12092,28
1/17/2023 7:32,-2,78,49,12091,29
1/17/2023 7:47,-3,79,50,12092,28
1/17/2023 8:02,-2,78,51,12091,29
1/17/2023 8:17,-3,79,50,12090,28
1/17/2023 8:32,-4,78,51,12089,27
1/17/2023 8:47,-5,79,52,12088,26
1/17/2023 9:02,-6,78,53,12087,27
1/17/2023 9:17,-5,79,52,12088,26
1/17/2023 9:32,-6,80,51,12089,25
1/17/2023 9:47,-7,80,52,12090,26
1/17/2023 10:02,-8,79,51,12089,25
1/17/2023 10:17,-7,80,50,12090,24
1/17/2023 10:32,-6,79,49,12091,23
1/17/2023 10:47,-5,78,50,12092,24
1/17/2023 11:02,-6,77,49,12093,23
1/17/2023 11:17,-7,78,50,12092,24
1/17/2023 11:32,-8,79,49,12091,25
1/17/2023 11:47,-7,80,50,12092,26
1/17/2023 12:02,-6,80,51,12091,27
1/17/2023 12:17,-7,80,52,12092,28
1/17/2023 12:32,-8,80,53,12091,29
1/17/2023 12:47,-7,80,52,12090,28
1/17/2023 13:02,-6,80,53,12089,27
1/17/2023 13:17,-7,79,52,12088,26
1/17/2023 13:32,-6,78,51,12089,25
1/17/2023 13:47,-7,77,52,12090,26
1/17/2023 14:02,-8,76,53,12091,25
1/17/2023 14:17,-9,77,52,12092,26
1/17/2023 14:32,-10,76,53,12093,25
1/17/2023 14:47,-10,77,54,12092,24
1/17/2023 15:02,-9,78,53,12093,25
1/17/2023 15:17,-8,79,54,12092,24
1/17/2023 15:32,-9,80,55,12091,25
1/17/2023 15:47,-10,79,54,12092,24
1/17/2023 16:02,-10,80,55,12091,23
1/17/2023 16:17,-10,80,56,12092,24
1/17/2023 16:32,-10,79,55,12091,23
1/17/2023 16:47,-10,80,54,12090,22
1/17/2023 17:02,-10,79,55,12089,23
1/17/2023 17:17,-10,80,56,12088,22
1/17/2023 17:32,-9,80,57,12087,21
1/17/2023 17:47,-10,80,58,12088,22
1/17/2023 18:02,-10,80,57,12089,23
1/17/2023 18:17,-9,79,56,12088,22
1/17/2023 18:32,-10,80,57,12089,23
1/17/2023 18:47,-9,79,56,12090,22
1/17/2023 19:02,-10,78,55,12091,21
1/17/2023 19:17,-9,79,56,12092,20
1/17/2023 19:32,-10,78,57,12093,21
1/17/2023 19:47,-9,77,56,12094,22
1/17/2023 20:02,-8,76,55,12095,21
1/17/2023 20:17,-9,77,56,12096,22
1/17/2023 20:32,-10,76,57,12097,21
1/17/2023 20:47,-9,77,56,12096,20
1/17/2023 21:02,-8,76,55,12095,19
1/17/2023 21:17,-9,77,54,12096,18
1/17/2023 21:32,-10,78,53,12095,19
1/17/2023 21:47,-10,77,54,12094,20
1/17/2023 22:02,-10,76,55,12095,19
1/17/2023 22:17,-10,75,56,12096,20
1/17/2023 22:32,-9,76,55,12097,19
1/17/2023 22:47,-10,75,54,12098,20
1/17/2023 23:02,-9,74,55,12097,19
1/17/2023 23:17,-8,73,56,12098,20
1/17/2023 23:32,-7,74,55,12099,21
1/17/2023 23:47,-8,73,56,12100,22
1/18/2023 0:02,-9,72,57,12101,23
1/18/2023 0:17,-10,73,56,12100,22
1/18/2023 0:32,-9,72,57,12101,21
1/18/2023 0:47,-8,73,56,12102,20
1/18/2023 1:02,-9,74,55,12103,21
1/18/2023 1:17,-8,73,56,12104,20
1/18/2023 1:32,-9,72,55,12105,19
1/18/2023 1:47,-8,73,56,12106,18
1/18/2023 2:02,-9,72,55,12105,19
1/18/2023 2:17,-8,71,56,12104,0
1/18/2023 2:32,-9,72,57,12103,0
1/18/2023 2:47,-10,73,58,12104,0
1/18/2023 3:02,-9,72,59,12105,0
1/18/2023 3:17,-8,73,58,12106,0
1/18/2023 3:32,-7,74,57,12107,0
1/18/2023 3:47,-8,75,58,12106,0
1/18/2023 4:02,-7,74,59,12107,0
1/18/2023 4:17,-8,75,60,12108,0
1/18/2023 4:32,-7,74,61,12109,0
1/18/2023 4:47,-6,73,60,12110,0
1/18/2023 5:02,-7,72,59,12111,0
1/18/2023 5:17,-6,73,60,12110,0
1/18/2023 5:32,-5,72,59,12111,0
1/18/2023 5:47,-6,73,60,12110,0
1/18/2023 6:02,-7,74,59,12109,0
1/18/2023 6:17,-8,73,58,12108,0
1/18/2023 6:32,-9,72,57,12107,0
1/18/2023 6:47,-10,71,56,12106,0
1/18/2023 7:02,-10,72,55,12105,0
1/18/2023 7:17,-9,73,54,12106,0
1/18/2023 7:32,-10,74,53,12107,0
1/18/2023 7:47,-10,75,54,12106,0
1/18/2023 8:02,-9,76,55,12105,0
1/18/2023 8:17,-10,77,54,12104,0
1/18/2023 8:32,-10,78,55,12105,0
1/18/2023 8:47,-9,79,54,12104,0
1/18/2023 9:02,-8,80,53,12103,0
1/18/2023 9:17,-7,79,52,12104,0
1/18/2023 9:32,-8,80,51,12103,0
1/18/2023 9:47,-7,79,50,12104,0
1/18/2023 10:02,-8,78,49,12105,0
1/18/2023 10:17,-7,77,48,12104,0
1/18/2023 10:32,-8,76,47,12105,0
1/18/2023 10:47,-9,77,48,12106,0
1/18/2023 11:02,-8,76,49,12107,0
1/18/2023 11:17,-9,77,50,12106,0
1/18/2023 11:32,-10,76,51,12107,0
1/18/2023 11:47,-9,77,52,12108,0
1/18/2023 12:02,-8,76,51,12109,0
1/18/2023 12:17,-7,77,50,12110,0
1/18/2023 12:32,-6,78,51,12109,0
1/18/2023 12:47,-7,77,50,12110,0
1/18/2023 13:02,-6,78,49,12111,0
1/18/2023 13:17,-7,79,50,12112,0
1/18/2023 13:32,-6,80,51,12113,0
1/18/2023 13:47,-7,80,52,12112,0
1/18/2023 14:02,-6,80,51,12111,0
1/18/2023 14:17,-7,79,52,12110,0
1/18/2023 14:32,-6,78,51,12111,0
1/18/2023 14:47,-7,79,50,12112,0
1/18/2023 15:02,-8,80,49,12113,0
1/18/2023 15:17,-7,79,50,12114,0
1/18/2023 15:32,-6,80,51,12115,0
1/18/2023 15:47,-7,80,50,12116,0
1/18/2023 16:02,-8,80,49,12115,0
1/18/2023 16:17,-7,80,48,12116,0
1/18/2023 16:32,-6,79,47,12115,0
1/18/2023 16:47,-7,78,46,12114,0
1/18/2023 17:02,-6,77,45,12115,0
1/18/2023 17:17,-5,78,46,12116,0
1/18/2023 17:32,-4,77,47,12115,0
1/18/2023 17:47,-3,78,46,12114,0
1/18/2023 18:02,-4,77,47,12113,0
1/18/2023 18:17,-3,78,46,12114,0
1/18/2023 18:32,-2,77,47,12115,0
1/18/2023 18:47,-3,76,48,12114,0
1/18/2023 19:02,-2,75,49,12115,0
1/18/2023 19:17,-1,76,50,12116,0
1/18/2023 19:32,0,75,49,12117,0
1/18/2023 19:47,-1,74,48,12116,0
1/18/2023 20:02,0,73,49,12117,0
1/18/2023 20:17,-1,74,50,12118,0
1/18/2023 20:32,0,75,51,12117,0
1/18/2023 20:47,1,76,52,12116,0
1/18/2023 21:02,2,75,53,12115,0
1/18/2023 21:17,3,76,54,12114,0
1/18/2023 21:32,4,77,53,12115,0
1/18/2023 21:47,5,78,54,12114,0
1/18/2023 22:02,4,77,53,12113,0
1/18/2023 22:17,3,76,54,12114,0
1/18/2023 22:32,2,75,53,12115,0
1/18/2023 22:47,3,74,54,12116,0
1/18/2023 23:02,4,73,55,12117,0
1/18/2023 23:17,3,72,54,12118,0
1/18/2023 23:32,2,73,53,12117,0
1/18/2023 23:47,3,72,52,12118,0
1/19/2023 0:02,2,71,53,12119,0
1/19/2023 0:17,1,72,52,12118,0
1/19/2023 0:32,2,71,51,12117,0
1/19/2023 0:47,1,72,50,12118,0
1/19/2023 1:02,0,71,49,12119,0
1/19/2023 1:17,-1,72,50,12120,0
1/19/2023 1:32,0,71,49,12121,0
1/19/2023 1:47,-1,72,50,12122,0
1/19/2023 2:02,-2,73,49,12121,0
1/19/2023 2:17,-3,74,48,12120,0
1/19/2023 2:32,-4,75,49,12119,0
1/19/2023 2:47,-3,76,50,12118,0
1/19/2023 3:02,-2,75,51,12119,0
1/19/2023 3:17,-3,76,52,12120,0
1/19/2023 3:32,-2,75,53,12119,0
1/19/2023 3:47,-1,76,52,12118,0
1/19/2023 4:02,0,75,51,12117,0
1/19/2023 4:17,1,76,52,12116,0
1/19/2023 4:32,0,75,53,12117,0
1/19/2023 4:47,1,76,52,12118,0
1/19/2023 5:02,0,75,53,12119,0
1/19/2023 5:17,-1,74,52,12118,0
1/19/2023 5:32,-2,73,51,12119,0
1/19/2023 5:47,-1,72,50,12120,0
1/19/2023 6:02,-2,71,49,12121,0
1/19/2023 6:17,-3,72,48,12122,0
1/19/2023 6:32,-2,73,49,12121,0
1/19/2023 6:47,-1,72,50,12120,0
1/19/2023 7:02,-2,73,49,12119,0
1/19/2023 7:17,-3,72,48,12118,0
1/19/2023 7:32,-4,73,49,12119,0
1/19/2023 7:47,-5,72,48,12120,0
1/19/2023 8:02,-6,73,49,12121,0
1/19/2023 8:17,-5,74,48,12120,0
1/19/2023 8:32,-6,73,49,12119,0
1/19/2023 8:47,-5,74,48,12118,0
1/19/2023 9:02,-4,75,47,12117,0
1/19/2023 9:17,-3,74,48,12116,0
1/19/2023 9:32,-4,73,49,12115,0
1/19/2023 9:47,-3,72,48,12116,0
1/19/2023 10:02,-2,71,49,12115,0
1/19/2023 10:17,-1,72,48,12116,0
1/19/2023 10:32,0,71,49,12115,0
1/19/2023 10:47,-1,70,48,12114,0
1/19/2023 11:02,-2,71,47,12115,0
1/19/2023 11:17,-3,72,46,12114,0
1/19/2023 11:32,-4,71,47,12113,0
1/19/2023 11:47,-5,72,46,12112,0
1/19/2023 12:02,-6,73,47,12111,0
1/19/2023 12:17,-7,74,48,12110,0
1/19/2023 12:32,-6,75,47,12111,0
1/19/2023 12:47,-7,76,46,12112,0
1/19/2023 13:02,-8,77,47,12113,0
1/19/2023 13:17,-9,76,46,12112,0
1/19/2023 13:32,-8,77,47,12111,0
1/19/2023 13:47,-9,76,46,12110,0
1/19/2023 14:02,-10,77,45,12109,0
1/19/2023 14:17,-10,78,46,12110,0
1/19/2023 14:32,-9,79,45,12109,0
1/19/2023 14:47,-8,80,46,12108,0
1/19/2023 15:02,-7,79,45,12109,0
1/19/2023 15:17,-8,80,46,12108,0
1/19/2023 15:32,-9,80,47,12109,0
1/19/2023 15:47,-8,80,46,12110,0
1/19/2023 16:02,-7,80,47,12111,0
1/19/2023 16:17,-6,79,48,12112,0
1/19/2023 16:32,-7,80,47,12111,0
1/19/2023 16:47,-6,79,48,12110,0
1/19/2023 17:02,-7,78,47,12111,0
1/19/2023 17:17,-6,77,46,12112,0
1/19/2023 17:32,-7,76,45,12111,0
1/19/2023 17:47,-8,75,44,12112,0
1/19/2023 18:02,-7,76,45,12111,0
1/19/2023 18:17,-6,75,44,12110,0
1/19/2023 18:32,-7,74,45,12109,0
1/19/2023 18:47,-8,75,46,12110,0
1/19/2023 19:02,-7,74,45,12109,0
1/19/2023 19:17,-8,73,44,12110,0
1/19/2023 19:32,-7,72,43,12109,0
1/19/2023 19:47,-8,71,44,12108,0
1/19/2023 20:02,-9,72,43,12107,0
1/19/2023 20:17,-10,73,42,12108,0
1/19/2023 20:32,-10,74,41,12109,0
1/19/2023 20:47,-10,75,42,12110,0
1/19/2023 21:02,-10,76,41,12109,0
1/19/2023 21:17,-9,77,40,12110,0
1/19/2023 21:32,-8,76,41,12109,0
1/19/2023 21:47,-9,77,40,12110,0
1/19/2023 22:02,-10,76,41,12111,0
1/19/2023 22:17,-9,77,40,12110,0
1/19/2023 22:32,-10,78,39,12111,0
1/19/2023 22:47,-9,79,38,12110,0
1/19/2023 23:02,-10,78,39,12109,0
1/19/2023 23:17,-9,79,38,12108,0
1/19/2023 23:32,-8,78,39,12107,0
1/19/2023 23:47,-7,79,38,12108,0
1/20/2023 0:02,-6,78,39,12107,0
