Date,heating_sig,economizer_sig,cooling_sig,supply_vfd_speed
12/24/2022 13:26,0,45,27,32
12/24/2022 13:41,0,20,26,33
12/24/2022 13:56,0,20,27,34
12/24/2022 14:11,0,20,26,35
12/24/2022 14:26,0,20,27,36
12/24/2022 14:41,0,20,28,35
12/24/2022 14:56,0,20,29,34
12/24/2022 15:11,0,20,30,33
12/24/2022 15:26,0,20,29,34
12/24/2022 15:41,0,20,28,35
12/24/2022 15:56,0,20,27,36
12/24/2022 16:11,0,20,28,35
12/24/2022 16:26,0,20,27,34
12/24/2022 16:41,0,20,26,33
12/24/2022 16:56,0,20,25,32
12/24/2022 17:11,0,20,24,33
12/24/2022 17:26,0,20,25,34
12/24/2022 17:41,0,20,24,33
12/24/2022 17:56,0,20,23,34
12/24/2022 18:11,0,20,22,33
12/24/2022 18:26,0,20,21,34
12/24/2022 18:41,0,20,22,33
12/24/2022 18:56,0,20,23,34
12/24/2022 19:11,0,20,24,33
12/24/2022 19:26,0,20,23,32
12/24/2022 19:41,0,20,22,33
12/24/2022 19:56,0,20,23,32
12/24/2022 20:11,0,20,24,31
12/24/2022 20:26,0,20,23,30
12/24/2022 20:41,0,20,22,29
12/24/2022 20:56,0,20,21,28
12/24/2022 21:11,0,20,20,27
12/24/2022 21:26,0,20,19,28
12/24/2022 21:41,0,20,18,29
12/24/2022 21:56,0,20,17,30
12/24/2022 22:11,0,20,18,31
12/24/2022 22:26,0,20,17,32
12/24/2022 22:41,0,20,16,31
12/24/2022 22:56,0,20,15,30
12/24/2022 23:11,0,20,14,31
12/24/2022 23:26,0,20,13,32
12/24/2022 23:41,0,20,14,33
12/24/2022 23:56,0,20,13,34
12/25/2022 0:11,0,20,14,33
12/25/2022 0:26,0,20,13,34
12/25/2022 0:41,0,20,14,33
12/25/2022 0:56,0,20,13,34
12/25/2022 1:11,0,20,12,35
12/25/2022 1:26,0,20,11,36
12/25/2022 1:41,0,20,10,37
12/25/2022 1:56,0,20,11,36
12/25/2022 2:11,0,20,12,37
12/25/2022 2:26,0,20,13,36
12/25/2022 2:41,0,20,12,35
12/25/2022 2:56,0,20,11,36
12/25/2022 3:11,0,20,10,37
12/25/2022 3:26,0,20,9,38
12/25/2022 3:41,0,20,10,39
12/25/2022 3:56,0,20,11,38
12/25/2022 4:11,0,20,10,37
12/25/2022 4:26,0,20,9,36
12/25/2022 4:41,0,20,10,35
12/25/2022 4:56,0,20,11,36
12/25/2022 5:11,0,20,12,35
12/25/2022 5:26,0,20,11,34
12/25/2022 5:41,0,20,12,35
12/25/2022 5:56,0,20,13,36
12/25/2022 6:11,0,20,12,35
12/25/2022 6:26,0,20,11,34
12/25/2022 6:41,0,20,10,35
12/25/2022 6:56,0,20,9,36
12/25/2022 7:11,0,20,8,35
12/25/2022 7:26,0,20,9,34
12/25/2022 7:41,0,20,10,35
12/25/2022 7:56,0,20,9,36
12/25/2022 8:11,0,20,10,37
12/25/2022 8:26,0,20,9,38
12/25/2022 8:41,0,20,10,37
12/25/2022 8:56,0,20,11,38
12/25/2022 9:11,0,20,12,39
12/25/2022 9:26,0,20,13,40
12/25/2022 9:41,0,20,12,39
12/25/2022 9:56,0,20,13,38
12/25/2022 10:11,0,20,12,39
12/25/2022 10:26,0,20,13,40
12/25/2022 10:41,0,20,12,39
12/25/2022 10:56,0,20,13,38
12/25/2022 11:11,0,20,14,39
12/25/2022 11:26,0,20,15,40
12/25/2022 11:41,0,20,16,39
12/25/2022 11:56,0,20,17,40
12/25/2022 12:11,0,20,18,41
12/25/2022 12:26,0,20,19,42
12/25/2022 12:41,0,20,18,41
12/25/2022 12:56,0,20,17,42
12/25/2022 13:11,0,20,18,43
12/25/2022 13:26,0,20,19,42
12/25/2022 13:41,0,20,18,41
12/25/2022 13:56,0,20,17,40
12/25/2022 14:11,0,20,16,39
12/25/2022 14:26,0,20,15,38
12/25/2022 14:41,0,20,14,39
12/25/2022 14:56,0,20,15,38
12/25/2022 15:11,0,20,16,39
12/25/2022 15:26,0,20,15,38
12/25/2022 15:41,0,20,14,37
12/25/2022 15:56,0,20,15,36
12/25/2022 16:11,0,20,14,35
12/25/2022 16:26,0,20,13,36
12/25/2022 16:41,0,20,12,37
12/25/2022 16:56,0,20,13,36
12/25/2022 17:11,0,20,12,37
12/25/2022 17:26,0,20,13,36
12/25/2022 17:41,0,20,14,35
12/25/2022 17:56,0,20,15,36
12/25/2022 18:11,0,20,16,37
12/25/2022 18:26,0,20,15,36
12/25/2022 18:41,0,20,16,37
12/25/2022 18:56,0,20,15,38
12/25/2022 19:11,0,20,14,39
12/25/2022 19:26,0,20,15,38
12/25/2022 19:41,0,20,16,39
12/25/2022 19:56,0,20,15,38
12/25/2022 20:11,0,20,16,39
12/25/2022 20:26,0,20,15,38
12/25/2022 20:41,0,20,16,37
12/25/2022 20:56,0,20,17,36
12/25/2022 21:11,0,20,16,37
12/25/2022 21:26,0,20,15,36
12/25/2022 21:41,0,20,16,35
12/25/2022 21:56,0,20,15,34
12/25/2022 22:11,0,20,14,33
12/25/2022 22:26,0,20,15,34
12/25/2022 22:41,0,20,14,35
12/25/2022 22:56,0,20,13,36
12/25/2022 23:11,0,20,12,35
12/25/2022 23:26,0,20,13,36
12/25/2022 23:41,0,20,12,37
12/25/2022 23:56,0,20,13,36
12/26/2022 0:11,0,20,12,35
12/26/2022 0:26,0,20,11,34
12/26/2022 0:41,0,20,10,33
12/26/2022 0:56,0,20,11,34
12/26/2022 1:11,0,20,10,33
12/26/2022 1:26,0,20,9,32
12/26/2022 1:41,0,20,10,31
12/26/2022 1:56,0,20,11,32
12/26/2022 2:11,0,20,10,31
12/26/2022 2:26,0,20,9,30
12/26/2022 2:41,0,20,10,29
12/26/2022 2:56,0,20,9,30
12/26/2022 3:11,0,20,10,29
12/26/2022 3:26,0,20,9,30
12/26/2022 3:41,0,20,8,29
12/26/2022 3:56,0,20,7,30
12/26/2022 4:11,0,20,6,31
12/26/2022 4:26,0,20,5,32
12/26/2022 4:41,0,20,6,31
12/26/2022 4:56,0,20,7,30
12/26/2022 5:11,0,20,8,31
12/26/2022 5:26,0,20,7,32
12/26/2022 5:41,0,20,8,31
12/26/2022 5:56,0,20,9,32
12/26/2022 6:11,0,20,10,31
12/26/2022 6:26,0,20,9,32
12/26/2022 6:41,0,20,8,31
12/26/2022 6:56,0,20,9,32
12/26/2022 7:11,0,20,10,31
12/26/2022 7:26,0,20,11,30
12/26/2022 7:41,0,20,10,31
12/26/2022 7:56,0,20,9,30
12/26/2022 8:11,0,20,8,31
12/26/2022 8:26,0,20,9,30
12/26/2022 8:41,0,20,8,29
12/26/2022 8:56,0,20,7,28
12/26/2022 9:11,0,20,6,27
12/26/2022 9:26,0,20,5,28
12/26/2022 9:41,0,20,4,29
12/26/2022 9:56,0,20,5,30
12/26/2022 10:11,0,20,6,29
12/26/2022 10:26,0,20,5,28
12/26/2022 10:41,0,20,4,29
12/26/2022 10:56,0,20,3,30
12/26/2022 11:11,0,20,4,29
12/26/2022 11:26,0,20,3,28
12/26/2022 11:41,0,20,4,27
12/26/2022 11:56,0,20,3,26
12/26/2022 12:11,0,20,4,27
12/26/2022 12:26,0,20,3,28
12/26/2022 12:41,0,20,4,29
12/26/2022 12:56,0,20,5,28
12/26/2022 13:11,0,20,6,27
12/26/2022 13:26,0,20,5,28
12/26/2022 13:41,0,20,6,27
12/26/2022 13:56,0,20,7,26
12/26/2022 14:11,0,20,8,27
12/26/2022 14:26,0,20,7,26
12/26/2022 14:41,0,20,8,25
12/26/2022 14:56,0,20,7,24
12/26/2022 15:11,0,20,8,25
12/26/2022 15:26,0,20,7,24
12/26/2022 15:41,0,20,8,23
12/26/2022 15:56,0,20,7,22
12/26/2022 16:11,0,20,6,21
12/26/2022 16:26,0,20,5,20
12/26/2022 16:41,0,20,6,21
12/26/2022 16:56,0,20,7,20
12/26/2022 17:11,0,20,6,21
12/26/2022 17:26,0,20,5,20
12/26/2022 17:41,0,20,6,21
12/26/2022 17:56,0,20,7,20
12/26/2022 18:11,0,20,8,21
12/26/2022 18:26,0,20,9,22
12/26/2022 18:41,0,20,10,21
12/26/2022 18:56,0,20,9,22
12/26/2022 19:11,0,20,8,23
12/26/2022 19:26,0,20,9,24
12/26/2022 19:41,0,20,8,25
12/26/2022 19:56,0,20,9,24
12/26/2022 20:11,0,20,8,23
12/26/2022 20:26,0,20,9,24
12/26/2022 20:41,0,20,8,25
12/26/2022 20:56,0,20,7,24
12/26/2022 21:11,0,20,6,25
12/26/2022 21:26,0,20,7,24
12/26/2022 21:41,0,20,8,25
12/26/2022 21:56,0,20,9,24
12/26/2022 22:11,0,20,10,25
12/26/2022 22:26,0,20,11,26
12/26/2022 22:41,0,20,12,27
12/26/2022 22:56,0,20,13,26
12/26/2022 23:11,0,20,14,27
12/26/2022 23:26,0,20,15,28
12/26/2022 23:41,0,20,14,27
12/26/2022 23:56,0,20,13,26
12/27/2022 0:11,0,20,14,25
12/27/2022 0:26,0,20,15,26
12/27/2022 0:41,0,20,16,27
12/27/2022 0:56,0,20,15,26
12/27/2022 1:11,0,20,16,27
12/27/2022 1:26,0,20,17,26
12/27/2022 1:41,0,20,16,27
12/27/2022 1:56,0,20,17,28
12/27/2022 2:11,0,20,18,27
12/27/2022 2:26,0,20,19,28
12/27/2022 2:41,0,20,18,29
12/27/2022 2:56,0,20,17,28
12/27/2022 3:11,0,20,16,27
12/27/2022 3:26,0,20,17,28
12/27/2022 3:41,0,20,16,29
12/27/2022 3:56,0,20,15,28
12/27/2022 4:11,0,20,16,29
12/27/2022 4:26,0,20,17,28
12/27/2022 4:41,0,20,16,27
12/27/2022 4:56,0,20,17,26
12/27/2022 5:11,0,20,18,27
12/27/2022 5:26,0,20,17,26
12/27/2022 5:41,0,20,18,25
12/27/2022 5:56,0,20,19,26
12/27/2022 6:11,0,20,20,25
12/27/2022 6:26,0,20,19,24
12/27/2022 6:41,0,20,20,23
12/27/2022 6:56,0,20,21,24
12/27/2022 7:11,0,20,22,23
12/27/2022 7:26,0,20,21,24
12/27/2022 7:41,0,20,20,25
12/27/2022 7:56,0,20,19,26
12/27/2022 8:11,0,20,18,27
12/27/2022 8:26,0,20,19,28
12/27/2022 8:41,0,20,20,29
12/27/2022 8:56,0,20,19,28
12/27/2022 9:11,0,20,20,27
12/27/2022 9:26,0,20,19,26
12/27/2022 9:41,0,20,20,25
12/27/2022 9:56,0,20,21,26
12/27/2022 10:11,0,20,20,25
12/27/2022 10:26,0,20,21,26
12/27/2022 10:41,0,20,20,25
12/27/2022 10:56,0,20,19,24
12/27/2022 11:11,0,20,18,25
12/27/2022 11:26,0,20,19,24
12/27/2022 11:41,0,20,20,25
12/27/2022 11:56,0,20,19,24
12/27/2022 12:11,0,20,18,23
12/27/2022 12:26,0,20,19,24
12/27/2022 12:41,0,20,18,23
12/27/2022 12:56,0,20,19,22
12/27/2022 13:11,0,20,20,23
12/27/2022 13:26,0,20,19,22
12/27/2022 13:41,0,20,20,21
12/27/2022 13:56,0,20,21,22
12/27/2022 14:11,0,20,20,23
12/27/2022 14:26,0,20,21,22
12/27/2022 14:41,0,20,22,23
12/27/2022 14:56,0,20,23,22
12/27/2022 15:11,0,20,24,21
12/27/2022 15:26,0,20,25,20
12/27/2022 15:41,0,20,24,21
12/27/2022 15:56,0,20,23,22
12/27/2022 16:11,0,20,22,21
12/27/2022 16:26,0,20,23,22
12/27/2022 16:41,0,20,24,21
12/27/2022 16:56,0,20,25,20
12/27/2022 17:11,0,20,26,19
12/27/2022 17:26,0,20,25,18
12/27/2022 17:41,0,20,26,19
12/27/2022 17:56,0,20,25,20
12/27/2022 18:11,0,20,26,19
12/27/2022 18:26,0,20,27,20
12/27/2022 18:41,0,20,28,19
12/27/2022 18:56,0,20,29,20
12/27/2022 19:11,0,0,28,19
12/27/2022 19:26,0,0,29,20
12/27/2022 19:41,0,0,28,21
12/27/2022 19:56,0,0,29,22
12/27/2022 20:11,0,0,30,23
12/27/2022 20:26,0,0,31,22
12/27/2022 20:41,0,0,30,21
12/27/2022 20:56,0,0,29,20
12/27/2022 21:11,0,0,30,21
12/27/2022 21:26,0,0,29,20
12/27/2022 21:41,0,0,28,19
12/27/2022 21:56,0,0,29,18
12/27/2022 22:11,0,0,30,19
12/27/2022 22:26,0,0,29,0
12/27/2022 22:41,0,0,28,0
12/27/2022 22:56,0,0,29,0
12/27/2022 23:11,0,0,28,0
12/27/2022 23:26,0,0,29,0
12/27/2022 23:41,0,0,28,0
12/27/2022 23:56,0,0,29,0
12/28/2022 0:11,0,0,30,0
12/28/2022 0:26,0,0,29,0
12/28/2022 0:41,0,0,30,0
12/28/2022 0:56,0,0,31,0
12/28/2022 1:11,0,0,30,0
12/28/2022 1:26,0,0,31,0
12/28/2022 1:41,0,0,32,0
12/28/2022 1:56,0,0,31,0
12/28/2022 2:11,0,0,30,0
12/28/2022 2:26,0,0,29,0
12/28/2022 2:41,0,0,28,0
12/28/2022 2:56,0,0,29,0
12/28/2022 3:11,0,0,28,0
12/28/2022 3:26,0,0,29,0
12/28/2022 3:41,0,0,30,0
12/28/2022 3:56,0,0,31,0
12/28/2022 4:11,0,0,32,0
12/28/2022 4:26,0,0,33,0
12/28/2022 4:41,0,0,34,0
12/28/2022 4:56,0,0,35,0
12/28/2022 5:11,0,0,34,0
12/28/2022 5:26,0,0,33,0
12/28/2022 5:41,0,0,34,0
12/28/2022 5:56,0,0,33,0
12/28/2022 6:11,0,0,34,0
12/28/2022 6:26,0,0,35,0
12/28/2022 6:41,0,0,34,0
12/28/2022 6:56,0,0,35,0
12/28/2022 7:11,0,0,36,0
12/28/2022 7:26,0,0,37,0
12/28/2022 7:41,0,0,38,0
12/28/2022 7:56,0,0,39,0
12/28/2022 8:11,0,0,38,0
12/28/2022 8:26,0,0,37,0
12/28/2022 8:41,0,0,38,0
12/28/2022 8:56,0,0,39,0
12/28/2022 9:11,0,0,40,0
12/28/2022 9:26,0,0,39,0
12/28/2022 9:41,0,0,40,0
12/28/2022 9:56,0,0,39,0
12/28/2022 10:11,0,0,40,0
12/28/2022 10:26,0,0,39,0
12/28/2022 10:41,0,0,40,0
12/28/2022 10:56,0,0,41,0
12/28/2022 11:11,0,0,40,0
12/28/2022 11:26,0,0,39,0
12/28/2022 11:41,0,0,40,0
12/28/2022 11:56,0,0,39,0
12/28/2022 12:11,0,0,40,0
12/28/2022 12:26,0,0,39,0
12/28/2022 12:41,0,0,38,0
12/28/2022 12:56,0,0,39,0
12/28/2022 13:11,0,0,38,0
12/28/2022 13:26,0,0,39,0
12/28/2022 13:41,0,0,40,0
12/28/2022 13:56,0,0,41,0
12/28/2022 14:11,0,0,42,0
12/28/2022 14:26,0,0,41,0
12/28/2022 14:41,0,0,42,0
12/28/2022 14:56,0,0,41,0
12/28/2022 15:11,0,0,40,0
12/28/2022 15:26,0,0,41,0
12/28/2022 15:41,0,0,40,0
12/28/2022 15:56,0,0,41,0
12/28/2022 16:11,0,0,40,0
12/28/2022 16:26,0,0,39,0
12/28/2022 16:41,0,0,40,0
12/28/2022 16:56,0,0,41,0
12/28/2022 17:11,0,0,42,0
12/28/2022 17:26,0,0,41,0
12/28/2022 17:41,0,0,40,0
12/28/2022 17:56,0,0,39,0
12/28/2022 18:11,0,0,40,0
12/28/2022 18:26,0,0,39,0
12/28/2022 18:41,0,0,38,0
12/28/2022 18:56,0,0,39,0
12/28/2022 19:11,0,0,40,0
12/28/2022 19:26,0,0,41,0
12/28/2022 19:41,0,0,40,0
12/28/2022 19:56,0,0,41,0
12/28/2022 20:11,0,0,40,0
12/28/2022 20:26,0,0,41,0
12/28/2022 20:41,0,0,42,0
12/28/2022 20:56,0,0,43,0
12/28/2022 21:11,0,0,44,0
12/28/2022 21:26,0,0,43,0
12/28/2022 21:41,0,0,42,0
12/28/2022 21:56,0,0,43,0
12/28/2022 22:11,0,0,44,0
12/28/2022 22:26,0,0,45,0
12/28/2022 22:41,0,0,44,0
12/28/2022 22:56,0,0,45,0
12/28/2022 23:11,0,0,44,0
12/28/2022 23:26,0,0,45,0
12/28/2022 23:41,0,0,46,0
12/28/2022 23:56,0,0,47,0
12/29/2022 0:11,0,0,46,0
12/29/2022 0:26,0,0,45,0
12/29/2022 0:41,0,0,46,0
12/29/2022 0:56,0,0,47,0
12/29/2022 1:11,0,0,48,0
12/29/2022 1:26,0,0,49,0
12/29/2022 1:41,0,0,48,0
12/29/2022 1:56,0,0,49,0
12/29/2022 2:11,0,0,48,0
12/29/2022 2:26,0,0,47,0
12/29/2022 2:41,0,0,46,0
12/29/2022 2:56,0,0,45,0
12/29/2022 3:11,0,0,44,0
12/29/2022 3:26,0,0,43,0
12/29/2022 3:41,0,0,42,0
12/29/2022 3:56,0,0,43,0
12/29/2022 4:11,0,0,42,0
12/29/2022 4:26,0,0,41,0
12/29/2022 4:41,0,0,42,0
12/29/2022 4:56,0,0,41,0
12/29/2022 5:11,0,0,40,0
12/29/2022 5:26,0,0,39,0
12/29/2022 5:41,0,0,40,0
12/29/2022 5:56,0,0,41,0
12/29/2022 6:11,0,0,40,0
12/29/2022 6:26,0,0,41,0
12/29/2022 6:41,0,0,40,0
12/29/2022 6:56,0,0,39,0
12/29/2022 7:11,0,0,38,0
12/29/2022 7:26,0,0,39,0
12/29/2022 7:41,0,0,38,0
12/29/2022 7:56,0,0,37,0
12/29/2022 8:11,0,0,38,0
12/29/2022 8:26,0,0,37,0
12/29/2022 8:41,0,0,36,0
12/29/2022 8:56,0,0,37,0
12/29/2022 9:11,0,0,38,0
12/29/2022 9:26,0,0,39,0
12/29/2022 9:41,0,0,38,0
12/29/2022 9:56,0,0,39,0
12/29/2022 10:11,0,0,40,0
12/29/2022 10:26,0,0,41,0
12/29/2022 10:41,0,0,42,0
12/29/2022 10:56,0,0,43,0
12/29/2022 11:11,0,0,44,0
12/29/2022 11:26,0,0,43,0
12/29/2022 11:41,0,0,44,0
12/29/2022 11:56,0,0,43,0
12/29/2022 12:11,0,0,42,0
12/29/2022 12:26,0,0,41,0
12/29/2022 12:41,0,0,40,0
12/29/2022 12:56,0,0,41,0
12/29/2022 13:11,0,0,42,0
12/29/2022 13:26,0,0,41,0
12/29/2022 13:41,0,0,42,0
12/29/2022 13:56,0,0,43,0
12/29/2022 14:11,0,0,44,0
12/29/2022 14:26,0,0,43,0
12/29/2022 14:41,0,0,42,0
12/29/2022 14:56,0,0,41,0
12/29/2022 15:11,0,0,42,0
12/29/2022 15:26,0,0,43,0
12/29/2022 15:41,0,0,42,0
12/29/2022 15:56,0,0,43,0
12/29/2022 16:11,0,0,42,0
12/29/2022 16:26,0,0,41,0
12/29/2022 16:41,0,0,42,0
12/29/2022 16:56,0,0,43,0
12/29/2022 17:11,0,0,42,0
12/29/2022 17:26,0,30,41,0
12/29/2022 17:41,0,29,42,0
12/29/2022 17:56,0,30,41,0
12/29/2022 18:11,0,29,40,0
12/29/2022 18:26,0,30,41,0
12/29/2022 18:41,0,31,40,0
12/29/2022 18:56,0,30,39,0
12/29/2022 19:11,0,31,38,0
12/29/2022 19:26,0,32,37,0
12/29/2022 19:41,0,33,38,0
12/29/2022 19:56,0,32,37,0
12/29/2022 20:11,0,31,36,0
12/29/2022 20:26,0,32,37,0
12/29/2022 20:41,0,33,38,0
12/29/2022 20:56,0,34,37,0
12/29/2022 21:11,0,35,36,0
12/29/2022 21:26,0,34,35,0
12/29/2022 21:41,0,35,36,0
12/29/2022 21:56,0,36,37,0
12/29/2022 22:11,0,37,38,0
12/29/2022 22:26,0,36,39,0
12/29/2022 22:41,0,37,40,0
12/29/2022 22:56,0,38,39,0
12/29/2022 23:11,0,37,38,0
12/29/2022 23:26,0,38,39,0
12/29/2022 23:41,0,39,40,0
12/29/2022 23:56,0,40,41,0
12/30/2022 0:11,0,39,42,0
12/30/2022 0:26,0,38,43,0
12/30/2022 0:41,0,37,42,0
12/30/2022 0:56,0,38,43,0
12/30/2022 1:11,0,39,42,0
12/30/2022 1:26,0,38,41,0
12/30/2022 1:41,0,39,42,0
12/30/2022 1:56,0,38,41,0
12/30/2022 2:11,0,37,42,0
12/30/2022 2:26,0,38,41,0
12/30/2022 2:41,0,39,42,0
12/30/2022 2:56,0,40,41,0
12/30/2022 3:11,0,39,42,0
12/30/2022 3:26,0,38,43,0
12/30/2022 3:41,0,39,42,0
12/30/2022 3:56,0,40,43,0
12/30/2022 4:11,0,39,42,0
12/30/2022 4:26,0,40,41,0
12/30/2022 4:41,0,41,42,0
12/30/2022 4:56,0,40,43,0
12/30/2022 5:11,0,39,44,0
12/30/2022 5:26,0,40,43,0
12/30/2022 5:41,0,41,44,0
12/30/2022 5:56,0,42,43,0
12/30/2022 6:11,0,43,42,0
12/30/2022 6:26,0,44,43,0
12/30/2022 6:41,0,43,44,0
12/30/2022 6:56,0,44,43,0
12/30/2022 7:11,0,45,44,0
12/30/2022 7:26,0,44,45,0
12/30/2022 7:41,0,45,44,0
12/30/2022 7:56,0,46,43,0
12/30/2022 8:11,0,45,44,0
12/30/2022 8:26,0,46,45,0
12/30/2022 8:41,0,47,44,0
12/30/2022 8:56,0,48,45,0
12/30/2022 9:11,0,47,46,0
12/30/2022 9:26,0,46,45,0
12/30/2022 9:41,0,45,46,0
12/30/2022 9:56,0,44,47,0
12/30/2022 10:11,0,45,46,0
12/30/2022 10:26,0,46,45,0
12/30/2022 10:41,0,45,44,0
12/30/2022 10:56,0,44,43,0
12/30/2022 11:11,0,43,44,0
12/30/2022 11:26,0,42,43,0
12/30/2022 11:41,0,43,44,0
12/30/2022 11:56,0,42,45,0
12/30/2022 12:11,0,41,46,0
12/30/2022 12:26,0,42,45,0
12/30/2022 12:41,0,43,46,0
12/30/2022 12:56,0,44,47,0
12/30/2022 13:11,0,43,48,0
12/30/2022 13:26,0,42,49,0
12/30/2022 13:41,0,41,48,0
12/30/2022 13:56,0,42,49,0
12/30/2022 14:11,0,41,50,0
12/30/2022 14:26,0,40,51,0
12/30/2022 14:41,0,39,50,0
12/30/2022 14:56,0,40,51,0
12/30/2022 15:11,0,41,50,0
12/30/2022 15:26,0,40,51,0
12/30/2022 15:41,0,41,52,0
12/30/2022 15:56,0,42,51,0
12/30/2022 16:11,0,41,52,0
12/30/2022 16:26,0,40,51,0
12/30/2022 16:41,0,39,50,0
12/30/2022 16:56,0,38,51,0
12/30/2022 17:11,0,39,52,0
12/30/2022 17:26,0,40,51,0
12/30/2022 17:41,0,41,50,0
12/30/2022 17:56,0,40,51,0
12/30/2022 18:11,0,41,50,0
12/30/2022 18:26,0,40,51,0
12/30/2022 18:41,0,39,52,0
12/30/2022 18:56,0,38,53,0
12/30/2022 19:11,0,39,54,0
12/30/2022 19:26,0,40,55,0
12/30/2022 19:41,0,41,56,0
12/30/2022 19:56,0,40,55,0
12/30/2022 20:11,0,41,56,0
12/30/2022 20:26,0,40,57,0
12/30/2022 20:41,0,39,56,0
12/30/2022 20:56,0,40,57,0
12/30/2022 21:11,0,39,56,0
12/30/2022 21:26,0,40,55,0
12/30/2022 21:41,0,41,56,0
12/30/2022 21:56,0,40,55,0
12/30/2022 22:11,0,41,54,0
12/30/2022 22:26,0,40,53,0
12/30/2022 22:41,0,41,52,0
12/30/2022 22:56,0,40,51,0
12/30/2022 23:11,0,41,50,0
12/30/2022 23:26,0,40,51,0
12/30/2022 23:41,0,41,52,0
12/30/2022 23:56,0,40,51,0
12/31/2022 0:11,0,39,52,0
12/31/2022 0:26,0,38,51,0
12/31/2022 0:41,0,37,52,0
12/31/2022 0:56,0,36,53,0
12/31/2022 1:11,0,37,52,0
