Date,sat,mat,clg,economizer_sig,supply_vfd_speed
1/17/2023 8:09,87,76,92,20,38
1/17/2023 8:24,86,75,91,20,37
1/17/2023 8:39,85,74,92,20,36
1/17/2023 8:54,86,75,91,20,35
1/17/2023 9:09,85,76,92,20,34
1/17/2023 9:24,86,75,93,20,33
1/17/2023 9:39,85,76,92,20,34
1/17/2023 9:54,86,77,91,20,35
1/17/2023 10:09,87,78,92,20,36
1/17/2023 10:24,88,79,93,20,37
1/17/2023 10:39,89,78,92,85,36
1/17/2023 10:54,90,77,93,20,35
1/17/2023 11:09,90,76,94,20,36
1/17/2023 11:24,90,77,93,20,35
1/17/2023 11:39,89,78,94,20,36
1/17/2023 11:54,90,79,93,85,35
1/17/2023 12:09,89,80,94,20,34
1/17/2023 12:24,90,80,95,20,33
1/17/2023 12:39,90,80,96,20,32
1/17/2023 12:54,89,80,97,88,33
1/17/2023 13:09,90,80,96,20,32
1/17/2023 13:24,90,80,97,20,33
1/17/2023 13:39,89,80,98,20,32
1/17/2023 13:54,90,79,99,20,33
1/17/2023 14:09,89,78,98,82,32
1/17/2023 14:24,90,79,99,44,31
1/17/2023 14:39,90,80,100,20,32
1/17/2023 14:54,90,80,99,88,33
1/17/2023 15:09,89,79,100,20,34
1/17/2023 15:24,90,80,100,20,33
1/17/2023 15:39,90,79,100,45,32
1/17/2023 15:54,90,80,100,20,33
1/17/2023 16:09,90,80,99,20,34
1/17/2023 16:24,90,80,98,20,35
1/17/2023 16:39,90,80,97,20,36
1/17/2023 16:54,89,79,98,20,35
1/17/2023 17:09,88,78,97,20,34
1/17/2023 17:24,89,79,96,20,33
1/17/2023 17:39,90,78,95,20,34
1/17/2023 17:54,89,79,94,20,35
1/17/2023 18:09,88,80,95,20,36
1/17/2023 18:24,89,80,96,20,35
1/17/2023 18:39,90,79,97,20,34
1/17/2023 18:54,89,78,96,20,33
1/17/2023 19:09,88,77,95,20,32
1/17/2023 19:24,89,78,94,20,33
1/17/2023 19:39,88,77,95,20,34
1/17/2023 19:54,87,78,94,20,33
1/17/2023 20:09,88,79,95,20,34
1/17/2023 20:24,89,80,94,20,33
1/17/2023 20:39,88,80,93,20,34
1/17/2023 20:54,89,79,92,20,33
1/17/2023 21:09,88,78,93,20,34
1/17/2023 21:24,87,79,92,20,33
1/17/2023 21:39,88,80,91,20,32
1/17/2023 21:54,89,80,92,20,33
1/17/2023 22:09,90,79,91,20,32
1/17/2023 22:24,90,80,92,20,31
1/17/2023 22:39,90,79,91,20,30
1/17/2023 22:54,89,80,92,20,29
1/17/2023 23:09,88,79,91,20,28
1/17/2023 23:24,87,78,92,20,27
1/17/2023 23:39,88,77,93,20,28
1/17/2023 23:54,87,76,92,20,29
1/18/2023 0:09,86,75,91,20,30
1/18/2023 0:24,85,74,92,20,31
1/18/2023 0:39,84,75,93,20,32
1/18/2023 0:54,83,74,92,20,31
1/18/2023 1:09,82,75,93,20,30
1/18/2023 1:24,81,76,94,20,31
1/18/2023 1:39,82,77,95,20,32
1/18/2023 1:54,81,76,94,20,33
1/18/2023 2:09,80,75,95,20,34
1/18/2023 2:24,81,74,94,20,33
1/18/2023 2:39,80,75,95,20,34
1/18/2023 2:54,81,74,96,20,33
1/18/2023 3:09,80,73,95,20,34
1/18/2023 3:24,81,74,96,20,35
1/18/2023 3:39,82,75,97,20,36
1/18/2023 3:54,81,76,98,20,37
1/18/2023 4:09,82,77,97,20,36
1/18/2023 4:24,81,78,98,20,37
1/18/2023 4:39,82,79,97,20,36
1/18/2023 4:54,81,78,98,20,35
1/18/2023 5:09,80,77,97,20,36
1/18/2023 5:24,79,78,98,20,37
1/18/2023 5:39,80,77,99,20,38
1/18/2023 5:54,79,78,98,20,39
1/18/2023 6:09,80,79,99,20,38
1/18/2023 6:24,79,78,98,20,37
1/18/2023 6:39,78,79,99,20,36
1/18/2023 6:54,79,80,100,20,35
1/18/2023 7:09,78,80,100,20,36
1/18/2023 7:24,79,79,99,20,35
1/18/2023 7:39,80,80,100,20,34
1/18/2023 7:54,81,80,100,20,35
1/18/2023 8:09,82,79,99,20,36
1/18/2023 8:24,81,80,100,20,35
1/18/2023 8:39,80,80,99,20,34
1/18/2023 8:54,81,80,100,20,35
1/18/2023 9:09,82,79,99,20,36
1/18/2023 9:24,83,78,98,20,35
1/18/2023 9:39,84,79,97,20,34
1/18/2023 9:54,83,80,98,20,35
1/18/2023 10:09,84,80,97,20,36
1/18/2023 10:24,83,80,98,20,37
1/18/2023 10:39,84,80,97,20,38
1/18/2023 10:54,85,80,98,20,37
1/18/2023 11:09,84,79,99,20,38
1/18/2023 11:24,85,80,98,20,39
1/18/2023 11:39,86,79,97,20,40
1/18/2023 11:54,87,78,98,20,39
1/18/2023 12:09,88,79,99,20,38
1/18/2023 12:24,87,80,98,20,39
1/18/2023 12:39,88,79,99,20,40
1/18/2023 12:54,87,80,100,20,39
1/18/2023 13:09,88,79,100,20,38
1/18/2023 13:24,87,80,99,20,39
1/18/2023 13:39,86,79,98,20,40
1/18/2023 13:54,87,78,99,20,39
1/18/2023 14:09,88,79,100,20,40
1/18/2023 14:24,89,78,99,20,41
1/18/2023 14:39,90,77,100,20,42
1/18/2023 14:54,90,76,99,20,41
1/18/2023 15:09,90,75,100,20,42
1/18/2023 15:24,89,74,100,20,43
1/18/2023 15:39,88,73,100,20,42
1/18/2023 15:54,87,72,100,20,41
1/18/2023 16:09,86,71,100,20,40
1/18/2023 16:24,87,70,99,20,39
1/18/2023 16:39,86,71,98,20,38
1/18/2023 16:54,87,70,99,20,39
1/18/2023 17:09,88,70,98,20,38
1/18/2023 17:24,89,70,97,20,39
1/18/2023 17:39,88,70,98,20,38
1/18/2023 17:54,89,70,99,20,37
1/18/2023 18:09,90,71,98,20,36
1/18/2023 18:24,89,70,99,20,35
1/18/2023 18:39,90,70,98,20,36
1/18/2023 18:54,89,70,99,20,37
1/18/2023 19:09,88,70,100,20,36
1/18/2023 19:24,87,70,100,20,37
1/18/2023 19:39,88,71,100,20,36
1/18/2023 19:54,87,70,99,20,35
1/18/2023 20:09,88,71,100,20,36
1/18/2023 20:24,87,70,100,20,37
1/18/2023 20:39,86,71,99,20,36
1/18/2023 20:54,85,72,98,20,37
1/18/2023 21:09,84,73,99,20,38
1/18/2023 21:24,85,72,100,20,39
1/18/2023 21:39,84,71,99,20,38
1/18/2023 21:54,83,70,100,20,39
1/18/2023 22:09,82,70,99,20,38
1/18/2023 22:24,81,70,100,20,39
1/18/2023 22:39,80,71,99,20,38
1/18/2023 22:54,79,72,98,20,37
1/18/2023 23:09,78,71,99,20,36
1/18/2023 23:24,79,70,98,20,37
1/18/2023 23:39,78,71,97,20,36
1/18/2023 23:54,79,72,96,20,35
1/19/2023 0:09,80,73,97,20,34
1/19/2023 0:24,79,74,98,20,33
1/19/2023 0:39,78,75,97,20,34
1/19/2023 0:54,79,76,98,20,35
1/19/2023 1:09,78,77,99,20,36
1/19/2023 1:24,77,76,98,20,35
1/19/2023 1:39,76,75,99,20,36
1/19/2023 1:54,77,76,100,20,37
1/19/2023 2:09,78,77,99,20,36
1/19/2023 2:24,77,76,100,20,35
1/19/2023 2:39,76,77,100,20,34
1/19/2023 2:54,75,78,99,20,33
1/19/2023 3:09,76,79,100,20,34
1/19/2023 3:24,75,78,99,20,33
1/19/2023 3:39,76,77,100,20,32
1/19/2023 3:54,77,78,99,20,31
1/19/2023 4:09,78,79,100,20,32
1/19/2023 4:24,77,80,99,20,31
1/19/2023 4:39,78,80,98,20,30
1/19/2023 4:54,77,80,99,20,29
1/19/2023 5:09,76,80,98,20,30
1/19/2023 5:24,77,80,97,20,29
1/19/2023 5:39,76,79,98,20,30
1/19/2023 5:54,77,80,99,20,29
1/19/2023 6:09,76,79,100,20,30
1/19/2023 6:24,77,78,100,20,31
1/19/2023 6:39,78,79,100,20,32
1/19/2023 6:54,79,78,100,20,31
1/19/2023 7:09,78,79,99,20,30
1/19/2023 7:24,77,80,98,20,31
1/19/2023 7:39,76,80,99,20,32
1/19/2023 7:54,75,80,100,20,31
1/19/2023 8:09,74,80,100,20,32
1/19/2023 8:24,75,79,99,20,31
1/19/2023 8:39,76,78,98,20,32
1/19/2023 8:54,75,79,99,20,31
1/19/2023 9:09,74,80,98,20,32
1/19/2023 9:24,73,79,99,20,31
1/19/2023 9:39,72,80,100,20,30
1/19/2023 9:54,73,80,100,20,31
1/19/2023 10:09,74,79,100,20,30
1/19/2023 10:24,73,80,100,20,31
1/19/2023 10:39,74,79,99,20,30
1/19/2023 10:54,73,78,98,20,29
1/19/2023 11:09,74,77,97,20,28
1/19/2023 11:24,73,78,96,20,27
1/19/2023 11:39,72,79,95,20,28
1/19/2023 11:54,71,78,96,20,29
1/19/2023 12:09,70,79,95,20,30
1/19/2023 12:24,71,80,94,20,29
1/19/2023 12:39,72,80,95,20,28
1/19/2023 12:54,73,80,94,20,29
1/19/2023 13:09,72,80,95,20,30
1/19/2023 13:24,71,80,94,20,29
1/19/2023 13:39,70,80,95,20,28
1/19/2023 13:54,69,80,94,20,27
1/19/2023 14:09,70,79,93,20,26
1/19/2023 14:24,69,78,94,20,27
1/19/2023 14:39,68,79,93,20,28
1/19/2023 14:54,69,78,92,20,29
1/19/2023 15:09,68,79,91,20,28
1/19/2023 15:24,69,80,90,20,27
1/19/2023 15:39,68,80,91,20,28
1/19/2023 15:54,69,80,92,20,27
1/19/2023 16:09,70,80,91,20,26
1/19/2023 16:24,71,80,92,20,27
1/19/2023 16:39,70,80,91,20,26
1/19/2023 16:54,69,80,92,20,25
1/19/2023 17:09,68,80,91,20,24
1/19/2023 17:24,69,79,90,20,25
1/19/2023 17:39,68,80,91,20,24
1/19/2023 17:54,67,80,90,20,23
1/19/2023 18:09,66,79,91,20,22
1/19/2023 18:24,67,78,92,20,21
1/19/2023 18:39,68,79,93,20,20
1/19/2023 18:54,67,80,94,20,21
1/19/2023 19:09,68,80,93,20,20
1/19/2023 19:24,69,80,92,20,21
1/19/2023 19:39,68,79,93,20,20
1/19/2023 19:54,67,80,92,20,21
1/19/2023 20:09,66,80,91,20,20
1/19/2023 20:24,65,79,92,20,21
1/19/2023 20:39,64,78,91,20,22
1/19/2023 20:54,65,79,90,20,21
1/19/2023 21:09,64,80,89,20,22
1/19/2023 21:24,65,80,88,20,23
1/19/2023 21:39,66,79,87,20,24
1/19/2023 21:54,67,78,86,20,25
1/19/2023 22:09,66,79,87,20,24
1/19/2023 22:24,67,80,86,20,23
1/19/2023 22:39,66,79,85,20,24
1/19/2023 22:54,65,80,86,20,25
1/19/2023 23:09,66,80,87,20,24
1/19/2023 23:24,67,80,88,20,25
1/19/2023 23:39,68,80,87,20,24
1/19/2023 23:54,69,79,86,20,25
1/20/2023 0:09,68,78,85,20,24
1/20/2023 0:24,67,79,84,20,25
1/20/2023 0:39,68,80,85,20,26
1/20/2023 0:54,69,79,86,20,27
1/20/2023 1:09,68,78,85,20,26
1/20/2023 1:24,69,77,86,20,27
1/20/2023 1:39,68,78,85,20,28
1/20/2023 1:54,69,77,84,20,27
1/20/2023 2:09,68,78,83,20,26
1/20/2023 2:24,67,79,82,20,25
1/20/2023 2:39,66,80,81,20,26
1/20/2023 2:54,67,80,82,20,27
1/20/2023 3:09,66,79,83,20,26
1/20/2023 3:24,67,78,82,20,27
1/20/2023 3:39,68,79,83,20,26
1/20/2023 3:54,69,78,82,20,27
1/20/2023 4:09,68,79,81,20,28
1/20/2023 4:24,69,78,82,20,27
1/20/2023 4:39,68,79,81,20,28
1/20/2023 4:54,67,78,80,20,29
1/20/2023 5:09,68,79,79,20,28
1/20/2023 5:24,67,80,80,20,27
1/20/2023 5:39,68,79,81,20,28
1/20/2023 5:54,69,78,80,20,29
1/20/2023 6:09,68,79,79,20,28
1/20/2023 6:24,67,78,80,20,29
1/20/2023 6:39,66,79,79,20,28
1/20/2023 6:54,67,80,78,20,27
1/20/2023 7:09,66,79,77,20,26
1/20/2023 7:24,65,80,78,20,27
1/20/2023 7:39,64,79,77,20,26
1/20/2023 7:54,65,78,76,20,25
1/20/2023 8:09,64,79,77,20,26
1/20/2023 8:24,65,78,76,20,25
1/20/2023 8:39,66,77,77,20,24
1/20/2023 8:54,67,78,78,20,23
1/20/2023 9:09,68,77,77,20,24
1/20/2023 9:24,67,76,76,20,23
1/20/2023 9:39,68,77,77,20,24
1/20/2023 9:54,67,76,76,20,25
1/20/2023 10:09,66,77,77,20,26
1/20/2023 10:24,65,78,76,20,27
1/20/2023 10:39,66,77,75,20,28
1/20/2023 10:54,67,76,74,20,29
1/20/2023 11:09,66,75,75,20,28
1/20/2023 11:24,65,74,76,20,27
1/20/2023 11:39,66,75,77,20,26
1/20/2023 11:54,65,74,78,20,25
1/20/2023 12:09,64,73,79,20,26
1/20/2023 12:24,63,72,78,20,25
1/20/2023 12:39,62,71,79,20,26
1/20/2023 12:54,61,72,78,20,25
1/20/2023 13:09,62,71,79,20,24
1/20/2023 13:24,63,70,80,20,25
1/20/2023 13:39,64,71,79,20,24
1/20/2023 13:54,63,70,78,20,25
1/20/2023 14:09,62,71,79,20,24
1/20/2023 14:24,61,72,80,20,23
1/20/2023 14:39,62,71,81,20,24
1/20/2023 14:54,61,70,80,20,23
1/20/2023 15:09,60,71,81,20,22
1/20/2023 15:24,60,72,80,20,23
1/20/2023 15:39,60,71,81,20,22
1/20/2023 15:54,61,72,80,20,21
1/20/2023 16:09,60,73,81,20,22
1/20/2023 16:24,60,74,82,20,23
1/20/2023 16:39,60,75,81,20,22
1/20/2023 16:54,61,74,80,20,23
1/20/2023 17:09,62,73,79,20,22
1/20/2023 17:24,61,74,78,20,21
1/20/2023 17:39,60,73,77,20,20
1/20/2023 17:54,60,74,76,20,21
1/20/2023 18:09,60,73,77,20,22
1/20/2023 18:24,60,74,76,20,21
1/20/2023 18:39,61,73,75,20,22
1/20/2023 18:54,60,72,74,20,21
1/20/2023 19:09,60,73,75,20,20
1/20/2023 19:24,60,72,76,20,19
1/20/2023 19:39,61,73,77,20,18
1/20/2023 19:54,62,74,78,20,19
1/20/2023 20:09,63,75,79,20,20
1/20/2023 20:24,64,76,78,20,19
1/20/2023 20:39,63,77,77,20,20
1/20/2023 20:54,62,78,78,20,19
1/20/2023 21:09,61,79,77,20,20
1/20/2023 21:24,60,78,76,0,19
1/20/2023 21:39,60,79,75,0,20
1/20/2023 21:54,60,78,74,0,21
1/20/2023 22:09,60,79,75,0,22
1/20/2023 22:24,61,80,76,0,23
1/20/2023 22:39,62,80,77,0,22
1/20/2023 22:54,61,79,76,0,21
1/20/2023 23:09,60,80,75,0,20
1/20/2023 23:24,60,80,76,0,21
1/20/2023 23:39,60,79,77,0,20
1/20/2023 23:54,61,80,76,0,19
1/21/2023 0:09,60,80,75,0,18
1/21/2023 0:24,60,80,74,0,19
1/21/2023 0:39,61,79,75,0,0
1/21/2023 0:54,62,78,74,0,0
1/21/2023 1:09,63,79,75,0,0
1/21/2023 1:24,62,80,74,0,0
1/21/2023 1:39,61,79,73,0,0
1/21/2023 1:54,62,78,74,0,0
1/21/2023 2:09,61,79,73,0,0
1/21/2023 2:24,60,80,74,0,0
1/21/2023 2:39,60,80,75,0,0
1/21/2023 2:54,60,79,76,0,0
1/21/2023 3:09,60,78,77,0,0
1/21/2023 3:24,60,79,76,0,0
1/21/2023 3:39,60,78,77,0,0
1/21/2023 3:54,61,79,78,0,0
1/21/2023 4:09,60,78,79,0,0
1/21/2023 4:24,60,79,80,0,0
1/21/2023 4:39,60,80,81,0,0
1/21/2023 4:54,61,80,80,0,0
1/21/2023 5:09,62,79,81,0,0
1/21/2023 5:24,61,78,80,0,0
1/21/2023 5:39,62,79,81,0,0
1/21/2023 5:54,61,80,80,0,0
1/21/2023 6:09,62,79,81,0,0
1/21/2023 6:24,61,80,82,0,0
1/21/2023 6:39,60,79,81,0,0
1/21/2023 6:54,60,78,82,0,0
1/21/2023 7:09,61,79,81,0,0
1/21/2023 7:24,62,80,80,0,0
1/21/2023 7:39,61,79,79,0,0
1/21/2023 7:54,62,78,78,0,0
1/21/2023 8:09,63,77,79,0,0
1/21/2023 8:24,62,76,80,0,0
1/21/2023 8:39,63,75,79,0,0
1/21/2023 8:54,62,76,78,0,0
1/21/2023 9:09,63,75,77,0,0
1/21/2023 9:24,62,76,76,0,0
1/21/2023 9:39,63,75,75,0,0
1/21/2023 9:54,62,76,76,0,0
1/21/2023 10:09,63,77,75,0,0
1/21/2023 10:24,64,78,74,0,0
1/21/2023 10:39,65,77,75,0,0
1/21/2023 10:54,66,78,74,0,0
1/21/2023 11:09,67,77,75,0,0
1/21/2023 11:24,68,76,76,0,0
1/21/2023 11:39,69,77,75,0,0
1/21/2023 11:54,70,78,76,0,0
1/21/2023 12:09,71,79,75,0,0
1/21/2023 12:24,70,78,74,0,0
1/21/2023 12:39,69,79,75,0,0
1/21/2023 12:54,68,78,76,0,0
1/21/2023 13:09,69,79,77,0,0
1/21/2023 13:24,68,78,76,0,0
1/21/2023 13:39,67,79,75,0,0
1/21/2023 13:54,68,78,74,0,0
1/21/2023 14:09,67,77,75,0,0
1/21/2023 14:24,66,76,74,0,0
1/21/2023 14:39,65,75,75,0,0
1/21/2023 14:54,64,76,76,0,0
1/21/2023 15:09,63,75,77,0,0
1/21/2023 15:24,62,74,78,0,0
1/21/2023 15:39,61,75,79,0,0
1/21/2023 15:54,62,76,78,0,0
1/21/2023 16:09,61,75,79,0,0
1/21/2023 16:24,60,74,78,0,0
1/21/2023 16:39,60,73,77,0,0
1/21/2023 16:54,60,74,78,0,0
1/21/2023 17:09,60,73,79,0,0
1/21/2023 17:24,60,74,80,0,0
1/21/2023 17:39,60,73,79,0,0
1/21/2023 17:54,60,72,78,0,0
1/21/2023 18:09,61,71,79,0,0
1/21/2023 18:24,60,72,80,0,0
1/21/2023 18:39,60,73,79,0,0
1/21/2023 18:54,61,74,80,0,0
1/21/2023 19:09,62,75,79,0,0
1/21/2023 19:24,63,74,80,0,0
1/21/2023 19:39,64,73,81,0,0
1/21/2023 19:54,63,74,82,0,0
1/21/2023 20:09,64,75,83,0,0
1/21/2023 20:24,65,76,84,0,0
1/21/2023 20:39,64,77,83,0,0
1/21/2023 20:54,65,76,84,0,0
1/21/2023 21:09,66,75,83,0,0
1/21/2023 21:24,67,76,82,0,0
1/21/2023 21:39,68,77,83,0,0
1/21/2023 21:54,69,76,84,0,0
1/21/2023 22:09,70,77,85,0,0
1/21/2023 22:24,71,76,84,0,0
1/21/2023 22:39,72,77,83,0,0
1/21/2023 22:54,71,76,84,0,0
1/21/2023 23:09,72,75,83,0,0
1/21/2023 23:24,73,76,82,0,0
1/21/2023 23:39,74,75,81,0,0
1/21/2023 23:54,73,74,80,0,0
1/22/2023 0:09,74,73,81,0,0
1/22/2023 0:24,73,72,82,0,0
1/22/2023 0:39,74,71,81,0,0
1/22/2023 0:54,75,70,82,0,0
1/22/2023 1:09,76,71,81,0,0
1/22/2023 1:24,77,70,82,0,0
1/22/2023 1:39,78,71,81,0,0
1/22/2023 1:54,79,72,82,0,0
1/22/2023 2:09,78,73,83,0,0
1/22/2023 2:24,79,72,84,0,0
1/22/2023 2:39,78,73,85,0,0
1/22/2023 2:54,79,72,84,0,0
1/22/2023 3:09,80,71,85,0,0
1/22/2023 3:24,79,70,84,0,0
1/22/2023 3:39,78,70,83,0,0
1/22/2023 3:54,79,70,84,0,0
1/22/2023 4:09,80,70,83,0,0
1/22/2023 4:24,81,70,82,0,0
1/22/2023 4:39,80,71,81,0,0
1/22/2023 4:54,79,72,82,0,0
1/22/2023 5:09,78,71,83,0,0
1/22/2023 5:24,79,72,84,0,0
1/22/2023 5:39,80,73,83,0,0
1/22/2023 5:54,79,74,84,0,0
1/22/2023 6:09,80,75,83,0,0
1/22/2023 6:24,79,76,82,0,0
1/22/2023 6:39,78,77,83,0,0
1/22/2023 6:54,77,78,84,0,0
1/22/2023 7:09,78,77,85,0,0
1/22/2023 7:24,77,76,84,0,0
1/22/2023 7:39,78,75,83,0,0
1/22/2023 7:54,79,76,84,0,0
1/22/2023 8:09,80,77,83,0,0
1/22/2023 8:24,81,78,84,0,0
1/22/2023 8:39,82,77,83,0,0
1/22/2023 8:54,83,78,84,0,0
1/22/2023 9:09,82,79,83,0,0
1/22/2023 9:24,81,80,84,0,0
1/22/2023 9:39,82,79,83,0,0
1/22/2023 9:54,81,78,84,0,0
1/22/2023 10:09,82,79,83,0,0
1/22/2023 10:24,81,80,82,0,0
1/22/2023 10:39,82,79,81,0,0
1/22/2023 10:54,83,80,82,0,0
1/22/2023 11:09,84,79,83,0,0
1/22/2023 11:24,85,80,84,0,0
1/22/2023 11:39,84,80,85,0,0
1/22/2023 11:54,83,79,84,0,0
1/22/2023 12:09,82,80,85,0,0
1/22/2023 12:24,81,80,86,0,0
1/22/2023 12:39,80,80,87,0,0
1/22/2023 12:54,79,79,86,0,0
1/22/2023 13:09,80,80,85,0,0
1/22/2023 13:24,79,79,84,0,0
1/22/2023 13:39,80,78,85,0,0
1/22/2023 13:54,79,77,86,0,0
1/22/2023 14:09,80,76,87,0,0
1/22/2023 14:24,79,77,86,0,0
1/22/2023 14:39,78,78,87,0,0
1/22/2023 14:54,77,79,88,0,0
1/22/2023 15:09,76,78,89,0,0
1/22/2023 15:24,75,79,88,0,0
1/22/2023 15:39,74,78,89,0,0
1/22/2023 15:54,75,77,90,0,0
1/22/2023 16:09,76,76,91,0,0
1/22/2023 16:24,77,77,90,0,0
1/22/2023 16:39,78,78,89,0,0
1/22/2023 16:54,77,77,90,0,0
1/22/2023 17:09,76,78,91,0,0
1/22/2023 17:24,75,79,92,0,0
1/22/2023 17:39,74,78,93,0,0
1/22/2023 17:54,75,77,94,0,0
1/22/2023 18:09,74,78,93,0,0
1/22/2023 18:24,73,77,94,0,0
1/22/2023 18:39,74,76,93,0,0
1/22/2023 18:54,75,75,92,0,0
1/22/2023 19:09,76,74,91,0,0
1/22/2023 19:24,77,73,92,0,0
1/22/2023 19:39,78,74,93,30,0
1/22/2023 19:54,77,75,94,29,0
1/22/2023 20:09,78,76,95,30,0
1/22/2023 20:24,79,77,96,29,0
1/22/2023 20:39,78,76,97,30,0
1/22/2023 20:54,77,77,96,31,0
1/22/2023 21:09,78,78,95,30,0
1/22/2023 21:24,79,79,94,31,0
1/22/2023 21:39,78,80,93,32,0
1/22/2023 21:54,77,80,92,33,0
1/22/2023 22:09,78,80,93,32,0
1/22/2023 22:24,77,80,92,31,0
1/22/2023 22:39,76,80,93,32,0
1/22/2023 22:54,77,79,92,33,0
1/22/2023 23:09,76,80,91,34,0
1/22/2023 23:24,75,79,92,35,0
1/22/2023 23:39,74,78,91,34,0
1/22/2023 23:54,73,77,92,35,0
1/23/2023 0:09,74,78,93,36,0
1/23/2023 0:24,73,77,92,37,0
1/23/2023 0:39,72,78,93,36,0
1/23/2023 0:54,73,79,92,37,0
1/23/2023 1:09,72,80,93,38,0
1/23/2023 1:24,71,80,92,37,0
1/23/2023 1:39,70,79,93,38,0
1/23/2023 1:54,71,80,92,39,0
1/23/2023 2:09,72,80,93,40,0
1/23/2023 2:24,71,79,94,39,0
1/23/2023 2:39,72,78,93,38,0
1/23/2023 2:54,71,79,94,37,0
1/23/2023 3:09,70,80,95,38,0
1/23/2023 3:24,71,80,96,39,0
1/23/2023 3:39,72,80,95,38,0
1/23/2023 3:54,73,80,94,39,0
1/23/2023 4:09,74,79,95,38,0
1/23/2023 4:24,73,78,96,37,0
1/23/2023 4:39,74,77,95,38,0
1/23/2023 4:54,75,78,94,39,0
1/23/2023 5:09,74,77,95,40,0
1/23/2023 5:24,73,76,96,39,0
1/23/2023 5:39,74,75,97,38,0
1/23/2023 5:54,75,74,96,39,0
1/23/2023 6:09,74,73,97,40,0
1/23/2023 6:24,73,72,96,39,0
1/23/2023 6:39,72,73,95,40,0
1/23/2023 6:54,71,74,96,41,0
1/23/2023 7:09,72,73,97,40,0
1/23/2023 7:24,71,74,96,39,0
1/23/2023 7:39,72,75,97,40,0
1/23/2023 7:54,71,76,96,41,0
1/23/2023 8:09,72,77,95,42,0
1/23/2023 8:24,73,76,96,43,0
1/23/2023 8:39,74,77,95,44,0
1/23/2023 8:54,75,78,96,43,0
1/23/2023 9:09,74,79,97,44,0
1/23/2023 9:24,73,78,96,45,0
1/23/2023 9:39,74,79,95,44,0
1/23/2023 9:54,75,80,94,45,0
