Date,sat,mat,htg_vlv,supply_vfd_speed
12/25/2022 6:14,37,52,50,35
12/25/2022 6:29,36,53,50,36
12/25/2022 6:44,35,54,50,35
12/25/2022 6:59,34,53,50,36
12/25/2022 7:14,33,52,50,35
12/25/2022 7:29,32,51,50,34
12/25/2022 7:44,33,52,50,33
12/25/2022 7:59,34,51,50,32
12/25/2022 8:14,33,52,50,33
12/25/2022 8:29,32,53,50,32
12/25/2022 8:44,33,54,50,33
12/25/2022 8:59,32,55,50,32
12/25/2022 9:14,33,54,50,33
12/25/2022 9:29,34,53,50,32
12/25/2022 9:44,33,52,50,31
12/25/2022 9:59,34,53,50,32
12/25/2022 10:14,35,54,50,33
12/25/2022 10:29,36,53,50,34
12/25/2022 10:44,37,54,50,33
12/25/2022 10:59,38,55,50,32
12/25/2022 11:14,39,56,50,33
12/25/2022 11:29,40,55,50,34
12/25/2022 11:44,39,54,50,35
12/25/2022 11:59,40,55,50,36
12/25/2022 12:14,39,54,50,35
12/25/2022 12:29,40,53,50,34
12/25/2022 12:44,39,54,50,33
12/25/2022 12:59,40,55,50,34
12/25/2022 13:14,41,56,50,35
12/25/2022 13:29,40,55,50,36
12/25/2022 13:44,39,54,50,35
12/25/2022 13:59,40,53,50,34
12/25/2022 14:14,39,52,50,33
12/25/2022 14:29,38,53,50,32
12/25/2022 14:44,39,52,50,33
12/25/2022 14:59,40,51,50,34
12/25/2022 15:14,39,50,50,33
12/25/2022 15:29,40,51,50,34
12/25/2022 15:44,41,50,50,33
12/25/2022 15:59,40,49,50,34
12/25/2022 16:14,41,50,50,33
12/25/2022 16:29,42,51,50,34
12/25/2022 16:44,41,52,50,33
12/25/2022 16:59,42,51,50,32
12/25/2022 17:14,41,50,50,33
12/25/2022 17:29,40,49,50,32
12/25/2022 17:44,41,48,50,31
12/25/2022 17:59,42,47,50,30
12/25/2022 18:14,43,48,50,29
12/25/2022 18:29,42,47,50,28
12/25/2022 18:44,41,46,50,27
12/25/2022 18:59,40,47,50,28
12/25/2022 19:14,39,48,50,29
12/25/2022 19:29,40,49,50,30
12/25/2022 19:44,41,48,50,31
12/25/2022 19:59,40,49,50,32
12/25/2022 20:14,41,50,50,31
12/25/2022 20:29,42,51,50,30
12/25/2022 20:44,43,52,50,31
12/25/2022 20:59,44,51,50,32
12/25/2022 21:14,45,52,50,33
12/25/2022 21:29,44,51,50,34
12/25/2022 21:44,45,50,50,33
12/25/2022 21:59,46,49,50,34
12/25/2022 22:14,45,48,50,33
12/25/2022 22:29,44,49,50,34
12/25/2022 22:44,45,48,50,35
12/25/2022 22:59,46,49,50,36
12/25/2022 23:14,47,48,50,37
12/25/2022 23:29,46,47,50,36
12/25/2022 23:44,45,46,50,37
12/25/2022 23:59,46,47,50,36
12/26/2022 0:14,47,46,50,35
12/26/2022 0:29,48,47,50,36
12/26/2022 0:44,47,48,50,37
12/26/2022 0:59,48,47,50,38
12/26/2022 1:14,47,46,50,39
12/26/2022 1:29,46,45,50,38
12/26/2022 1:44,45,46,50,37
12/26/2022 1:59,46,47,50,36
12/26/2022 2:14,45,46,50,35
12/26/2022 2:29,46,45,50,36
12/26/2022 2:44,47,46,50,35
12/26/2022 2:59,46,45,50,34
12/26/2022 3:14,47,46,50,35
12/26/2022 3:29,48,45,50,36
12/26/2022 3:44,47,46,50,35
12/26/2022 3:59,46,47,50,34
12/26/2022 4:14,47,46,50,35
12/26/2022 4:29,48,47,50,36
12/26/2022 4:44,49,46,50,35
12/26/2022 4:59,48,47,50,34
12/26/2022 5:14,47,46,50,35
12/26/2022 5:29,46,47,50,36
12/26/2022 5:44,47,48,50,37
12/26/2022 5:59,48,49,50,38
12/26/2022 6:14,49,50,50,37
12/26/2022 6:29,50,51,50,38
12/26/2022 6:44,49,50,50,39
12/26/2022 6:59,48,49,50,40
12/26/2022 7:14,49,48,50,39
12/26/2022 7:29,48,49,50,38
12/26/2022 7:44,49,50,50,39
12/26/2022 7:59,48,51,50,40
12/26/2022 8:14,47,50,50,39
12/26/2022 8:29,48,51,50,38
12/26/2022 8:44,47,50,50,39
12/26/2022 8:59,48,51,50,40
12/26/2022 9:14,47,50,50,39
12/26/2022 9:29,48,51,50,40
12/26/2022 9:44,49,50,50,41
12/26/2022 9:59,48,49,50,42
12/26/2022 10:14,47,50,50,41
12/26/2022 10:29,48,49,50,42
12/26/2022 10:44,49,50,50,43
12/26/2022 10:59,48,51,50,42
12/26/2022 11:14,49,52,50,41
12/26/2022 11:29,48,53,50,40
12/26/2022 11:44,47,52,50,39
12/26/2022 11:59,46,51,50,38
12/26/2022 12:14,47,50,50,39
12/26/2022 12:29,46,51,50,38
12/26/2022 12:44,45,52,50,39
12/26/2022 12:59,44,53,50,38
12/26/2022 13:14,43,52,50,37
12/26/2022 13:29,44,51,50,36
12/26/2022 13:44,43,52,50,35
12/26/2022 13:59,44,51,50,36
12/26/2022 14:14,45,52,50,37
12/26/2022 14:29,44,51,50,36
12/26/2022 14:44,43,52,50,37
12/26/2022 14:59,42,51,50,36
12/26/2022 15:14,41,50,50,35
12/26/2022 15:29,42,51,50,36
12/26/2022 15:44,41,50,50,37
12/26/2022 15:59,42,51,50,36
12/26/2022 16:14,43,52,50,37
12/26/2022 16:29,44,51,50,38
12/26/2022 16:44,43,52,50,39
12/26/2022 16:59,44,51,50,38
12/26/2022 17:14,43,50,50,39
12/26/2022 17:29,42,51,50,38
12/26/2022 17:44,43,52,50,39
12/26/2022 17:59,44,53,50,38
12/26/2022 18:14,45,52,50,37
12/26/2022 18:29,46,53,50,36
12/26/2022 18:44,45,52,50,37
12/26/2022 18:59,44,53,50,36
12/26/2022 19:14,43,52,50,35
12/26/2022 19:29,44,51,50,34
12/26/2022 19:44,45,50,50,33
12/26/2022 19:59,46,49,50,34
12/26/2022 20:14,47,50,50,35
12/26/2022 20:29,48,49,50,36
12/26/2022 20:44,49,50,50,35
12/26/2022 20:59,50,49,50,36
12/26/2022 21:14,49,50,50,37
12/26/2022 21:29,50,49,50,36
12/26/2022 21:44,51,48,50,35
12/26/2022 21:59,52,49,50,34
12/26/2022 22:14,51,48,50,33
12/26/2022 22:29,52,47,50,34
12/26/2022 22:44,53,48,50,33
12/26/2022 22:59,54,47,50,32
12/26/2022 23:14,53,46,50,31
12/26/2022 23:29,54,45,50,32
12/26/2022 23:44,55,44,50,31
12/26/2022 23:59,56,43,50,30
12/27/2022 0:14,55,44,50,29
12/27/2022 0:29,56,45,50,30
12/27/2022 0:44,57,44,50,29
12/27/2022 0:59,56,45,50,30
12/27/2022 1:14,55,44,50,29
12/27/2022 1:29,56,45,50,30
12/27/2022 1:44,55,44,50,31
12/27/2022 1:59,54,45,50,32
12/27/2022 2:14,53,46,50,31
12/27/2022 2:29,52,47,50,30
12/27/2022 2:44,51,46,50,31
12/27/2022 2:59,50,45,50,32
12/27/2022 3:14,49,46,50,31
12/27/2022 3:29,50,47,50,32
12/27/2022 3:44,49,46,50,31
12/27/2022 3:59,50,47,50,32
12/27/2022 4:14,49,48,50,31
12/27/2022 4:29,50,47,50,32
12/27/2022 4:44,49,46,50,31
12/27/2022 4:59,48,47,50,30
12/27/2022 5:14,47,46,50,31
12/27/2022 5:29,48,47,50,30
12/27/2022 5:44,49,46,50,31
12/27/2022 5:59,50,45,50,30
12/27/2022 6:14,51,46,50,29
12/27/2022 6:29,50,47,50,28
12/27/2022 6:44,49,46,50,27
12/27/2022 6:59,50,47,50,28
12/27/2022 7:14,51,46,50,29
12/27/2022 7:29,50,45,50,30
12/27/2022 7:44,49,44,50,29
12/27/2022 7:59,48,45,50,28
12/27/2022 8:14,47,44,50,29
12/27/2022 8:29,46,45,50,30
12/27/2022 8:44,45,46,50,29
12/27/2022 8:59,46,45,50,28
12/27/2022 9:14,45,44,50,27
12/27/2022 9:29,46,45,50,26
12/27/2022 9:44,45,44,50,27
12/27/2022 9:59,44,45,50,28
12/27/2022 10:14,45,46,50,29
12/27/2022 10:29,44,45,50,28
12/27/2022 10:44,45,46,50,27
12/27/2022 10:59,46,45,50,28
12/27/2022 11:14,47,44,50,27
12/27/2022 11:29,46,43,50,26
12/27/2022 11:44,45,44,50,27
12/27/2022 11:59,44,43,50,26
12/27/2022 12:14,45,42,50,25
12/27/2022 12:29,46,41,50,24
12/27/2022 12:44,45,40,50,25
12/27/2022 12:59,44,41,50,24
12/27/2022 13:14,43,40,50,23
12/27/2022 13:29,44,41,50,22
12/27/2022 13:44,43,40,50,21
12/27/2022 13:59,44,39,50,20
12/27/2022 14:14,45,40,50,21
12/27/2022 14:29,46,39,50,20
12/27/2022 14:44,45,40,50,21
12/27/2022 14:59,44,39,50,20
12/27/2022 15:14,43,38,50,21
12/27/2022 15:29,42,37,50,20
12/27/2022 15:44,43,38,50,21
12/27/2022 15:59,42,37,50,22
12/27/2022 16:14,41,36,50,21
12/27/2022 16:29,42,35,50,22
12/27/2022 16:44,43,36,50,23
12/27/2022 16:59,42,35,50,24
12/27/2022 17:14,41,34,50,25
12/27/2022 17:29,40,33,50,24
12/27/2022 17:44,41,32,50,23
12/27/2022 17:59,42,31,50,24
12/27/2022 18:14,43,30,50,25
12/27/2022 18:29,42,30,50,24
12/27/2022 18:44,41,31,50,25
12/27/2022 18:59,40,32,50,24
12/27/2022 19:14,41,31,50,25
12/27/2022 19:29,42,32,50,24
12/27/2022 19:44,43,31,50,25
12/27/2022 19:59,42,30,50,26
12/27/2022 20:14,41,31,50,27
12/27/2022 20:29,40,32,50,26
12/27/2022 20:44,39,31,50,27
12/27/2022 20:59,40,30,50,28
12/27/2022 21:14,41,31,50,27
12/27/2022 21:29,40,32,50,26
12/27/2022 21:44,41,31,50,25
12/27/2022 21:59,40,30,50,26
12/27/2022 22:14,39,31,50,27
12/27/2022 22:29,38,30,50,26
12/27/2022 22:44,39,31,50,27
12/27/2022 22:59,40,30,50,26
12/27/2022 23:14,39,31,50,27
12/27/2022 23:29,40,32,50,28
12/27/2022 23:44,39,31,50,27
12/27/2022 23:59,38,30,50,28
12/28/2022 0:14,37,31,50,29
12/28/2022 0:29,36,30,50,28
12/28/2022 0:44,37,31,50,27
12/28/2022 0:59,38,32,50,28
12/28/2022 1:14,37,33,50,29
12/28/2022 1:29,36,34,50,28
12/28/2022 1:44,35,33,50,29
12/28/2022 1:59,34,32,50,28
12/28/2022 2:14,33,33,50,27
12/28/2022 2:29,32,34,50,26
12/28/2022 2:44,31,33,50,27
12/28/2022 2:59,30,32,50,26
12/28/2022 3:14,31,31,50,25
12/28/2022 3:29,30,30,50,26
12/28/2022 3:44,30,31,50,25
12/28/2022 3:59,31,32,50,24
12/28/2022 4:14,30,33,50,23
12/28/2022 4:29,30,32,50,24
12/28/2022 4:44,30,31,50,23
12/28/2022 4:59,30,32,50,24
12/28/2022 5:14,31,33,50,25
12/28/2022 5:29,30,34,50,26
12/28/2022 5:44,31,33,50,27
12/28/2022 5:59,32,32,50,28
12/28/2022 6:14,33,33,50,29
12/28/2022 6:29,34,32,50,28
12/28/2022 6:44,35,33,50,27
12/28/2022 6:59,34,32,50,26
12/28/2022 7:14,33,31,50,25
12/28/2022 7:29,34,30,50,26
12/28/2022 7:44,33,30,50,25
12/28/2022 7:59,32,30,50,26
12/28/2022 8:14,31,31,50,25
12/28/2022 8:29,32,30,50,24
12/28/2022 8:44,31,31,50,25
12/28/2022 8:59,32,32,50,24
12/28/2022 9:14,33,31,50,25
12/28/2022 9:29,32,30,50,24
12/28/2022 9:44,33,30,50,23
12/28/2022 9:59,34,31,50,24
12/28/2022 10:14,35,32,50,23
12/28/2022 10:29,34,31,50,22
12/28/2022 10:44,35,32,50,23
12/28/2022 10:59,36,33,50,22
12/28/2022 11:14,35,32,50,21
12/28/2022 11:29,34,33,50,22
12/28/2022 11:44,33,34,50,23
12/28/2022 11:59,32,35,50,22
12/28/2022 12:14,33,36,50,23
12/28/2022 12:29,32,35,50,22
12/28/2022 12:44,31,36,50,21
12/28/2022 12:59,30,37,50,20
12/28/2022 13:14,31,36,50,21
12/28/2022 13:29,32,37,50,22
12/28/2022 13:44,31,36,50,21
12/28/2022 13:59,30,37,50,22
12/28/2022 14:14,30,38,50,21
12/28/2022 14:29,30,37,50,20
12/28/2022 14:44,31,36,50,19
12/28/2022 14:59,30,35,50,18
12/28/2022 15:14,30,36,50,19
12/28/2022 15:29,30,37,50,20
12/28/2022 15:44,30,38,50,19
12/28/2022 15:59,31,39,50,20
12/28/2022 16:14,30,38,50,19
12/28/2022 16:29,30,39,50,20
12/28/2022 16:44,30,40,50,19
12/28/2022 16:59,31,39,50,20
12/28/2022 17:14,32,38,50,21
12/28/2022 17:29,31,37,50,22
12/28/2022 17:44,32,36,50,23
12/28/2022 17:59,33,37,50,22
12/28/2022 18:14,32,38,50,21
12/28/2022 18:29,31,39,50,20
12/28/2022 18:44,32,40,50,21
12/28/2022 18:59,31,41,50,20
12/28/2022 19:14,30,40,50,19
12/28/2022 19:29,30,39,50,18
12/28/2022 19:44,31,40,50,19
12/28/2022 19:59,30,39,0,0
12/28/2022 20:14,30,40,0,0
12/28/2022 20:29,31,39,0,0
12/28/2022 20:44,32,40,0,0
12/28/2022 20:59,31,41,0,0
12/28/2022 21:14,30,42,0,0
12/28/2022 21:29,30,41,0,0
12/28/2022 21:44,31,42,0,0
12/28/2022 21:59,30,41,0,0
12/28/2022 22:14,30,40,0,0
12/28/2022 22:29,31,39,0,0
12/28/2022 22:44,32,40,0,0
12/28/2022 22:59,33,39,0,0
12/28/2022 23:14,34,38,0,0
12/28/2022 23:29,35,39,0,0
12/28/2022 23:44,34,38,0,0
12/28/2022 23:59,35,39,0,0
12/29/2022 0:14,36,40,0,0
12/29/2022 0:29,35,39,0,0
12/29/2022 0:44,34,40,0,0
12/29/2022 0:59,33,41,0,0
12/29/2022 1:14,32,42,0,0
12/29/2022 1:29,33,43,0,0
12/29/2022 1:44,32,42,0,0
12/29/2022 1:59,31,41,0,0
12/29/2022 2:14,32,42,0,0
12/29/2022 2:29,33,43,0,0
12/29/2022 2:44,34,44,0,0
12/29/2022 2:59,33,45,0,0
12/29/2022 3:14,34,44,0,0
12/29/2022 3:29,35,43,0,0
12/29/2022 3:44,36,42,0,0
12/29/2022 3:59,37,41,0,0
12/29/2022 4:14,38,40,0,0
12/29/2022 4:29,39,39,0,0
12/29/2022 4:44,40,38,0,0
12/29/2022 4:59,39,37,0,0
12/29/2022 5:14,38,38,0,0
12/29/2022 5:29,39,39,0,0
12/29/2022 5:44,38,40,0,0
12/29/2022 5:59,37,41,0,0
12/29/2022 6:14,36,42,0,0
12/29/2022 6:29,35,41,0,0
12/29/2022 6:44,36,42,0,0
12/29/2022 6:59,35,43,0,0
12/29/2022 7:14,36,44,0,0
12/29/2022 7:29,37,45,0,0
12/29/2022 7:44,36,46,0,0
12/29/2022 7:59,35,47,0,0
12/29/2022 8:14,34,46,0,0
12/29/2022 8:29,35,47,0,0
12/29/2022 8:44,36,48,0,0
12/29/2022 8:59,37,49,0,0
12/29/2022 9:14,36,48,0,0
12/29/2022 9:29,37,49,0,0
12/29/2022 9:44,36,48,0,0
12/29/2022 9:59,37,49,0,0
12/29/2022 10:14,38,48,0,0
12/29/2022 10:29,37,47,0,0
12/29/2022 10:44,38,48,0,0
12/29/2022 10:59,39,47,0,0
12/29/2022 11:14,40,46,0,0
12/29/2022 11:29,41,47,0,0
12/29/2022 11:44,42,48,0,0
12/29/2022 11:59,43,47,0,0
12/29/2022 12:14,42,48,0,0
12/29/2022 12:29,41,47,0,0
12/29/2022 12:44,42,46,0,0
12/29/2022 12:59,43,45,0,0
12/29/2022 13:14,44,44,0,0
12/29/2022 13:29,45,45,0,0
12/29/2022 13:44,46,46,0,0
12/29/2022 13:59,45,47,0,0
12/29/2022 14:14,44,46,0,0
12/29/2022 14:29,43,45,0,0
12/29/2022 14:44,42,44,0,0
12/29/2022 14:59,41,43,0,0
12/29/2022 15:14,40,42,0,0
12/29/2022 15:29,41,43,0,0
12/29/2022 15:44,40,44,0,0
12/29/2022 15:59,39,43,0,0
12/29/2022 16:14,38,42,0,0
12/29/2022 16:29,37,43,0,0
12/29/2022 16:44,36,44,0,0
12/29/2022 16:59,35,45,0,0
12/29/2022 17:14,36,44,0,0
12/29/2022 17:29,35,43,0,0
12/29/2022 17:44,34,42,0,0
12/29/2022 17:59,33,43,0,0
12/29/2022 18:14,32,44,0,0
12/29/2022 18:29,31,45,0,0
12/29/2022 18:44,32,46,0,0
12/29/2022 18:59,33,45,0,0
12/29/2022 19:14,34,46,0,0
12/29/2022 19:29,33,47,0,0
12/29/2022 19:44,32,46,0,0
12/29/2022 19:59,33,45,0,0
12/29/2022 20:14,32,46,0,0
12/29/2022 20:29,33,45,0,0
12/29/2022 20:44,34,46,0,0
12/29/2022 20:59,35,47,0,0
12/29/2022 21:14,36,46,0,0
12/29/2022 21:29,35,47,0,0
12/29/2022 21:44,36,48,0,0
12/29/2022 21:59,37,47,0,0
12/29/2022 22:14,38,48,0,0
12/29/2022 22:29,39,47,0,0
12/29/2022 22:44,40,46,0,0
12/29/2022 22:59,41,45,0,0
12/29/2022 23:14,40,46,0,0
12/29/2022 23:29,39,45,0,0
12/29/2022 23:44,40,46,0,0
12/29/2022 23:59,39,45,0,0
12/30/2022 0:14,38,44,0,0
12/30/2022 0:29,39,45,0,0
12/30/2022 0:44,40,44,0,0
12/30/2022 0:59,39,43,0,0
12/30/2022 1:14,40,42,0,0
12/30/2022 1:29,41,43,0,0
12/30/2022 1:44,42,42,0,0
12/30/2022 1:59,41,43,0,0
12/30/2022 2:14,40,44,0,0
12/30/2022 2:29,39,45,0,0
12/30/2022 2:44,40,46,0,0
12/30/2022 2:59,39,47,0,0
12/30/2022 3:14,40,46,0,0
12/30/2022 3:29,41,47,0,0
12/30/2022 3:44,42,48,0,0
12/30/2022 3:59,43,47,0,0
12/30/2022 4:14,42,46,0,0
12/30/2022 4:29,41,45,0,0
12/30/2022 4:44,40,46,0,0
12/30/2022 4:59,39,45,0,0
12/30/2022 5:14,38,46,0,0
12/30/2022 5:29,39,47,0,0
12/30/2022 5:44,38,48,0,0
12/30/2022 5:59,37,47,0,0
12/30/2022 6:14,36,48,0,0
12/30/2022 6:29,37,47,0,0
12/30/2022 6:44,38,46,0,0
12/30/2022 6:59,39,47,0,0
12/30/2022 7:14,38,48,0,0
12/30/2022 7:29,37,49,0,0
12/30/2022 7:44,36,48,0,0
12/30/2022 7:59,35,49,0,0
12/30/2022 8:14,34,48,0,0
12/30/2022 8:29,33,47,0,0
12/30/2022 8:44,34,48,0,0
12/30/2022 8:59,33,49,0,0
12/30/2022 9:14,34,48,0,0
12/30/2022 9:29,35,49,0,0
12/30/2022 9:44,34,48,0,0
12/30/2022 9:59,33,47,0,0
12/30/2022 10:14,32,48,0,0
12/30/2022 10:29,31,49,0,0
12/30/2022 10:44,32,50,0,0
12/30/2022 10:59,33,49,0,0
12/30/2022 11:14,34,50,0,0
12/30/2022 11:29,35,49,0,0
12/30/2022 11:44,34,48,0,0
12/30/2022 11:59,33,47,0,0
12/30/2022 12:14,34,48,0,0
12/30/2022 12:29,35,49,0,0
12/30/2022 12:44,36,48,0,0
12/30/2022 12:59,37,49,0,0
12/30/2022 13:14,38,48,0,0
12/30/2022 13:29,37,47,0,0
12/30/2022 13:44,36,48,0,0
12/30/2022 13:59,37,49,0,0
12/30/2022 14:14,36,48,0,0
12/30/2022 14:29,35,49,0,0
12/30/2022 14:44,34,48,0,0
12/30/2022 14:59,33,47,0,0
12/30/2022 15:14,32,46,0,0
12/30/2022 15:29,33,47,0,0
12/30/2022 15:44,34,48,0,0
12/30/2022 15:59,33,47,0,0
12/30/2022 16:14,32,48,0,0
12/30/2022 16:29,31,49,0,0
12/30/2022 16:44,30,48,0,0
12/30/2022 16:59,31,49,0,0
12/30/2022 17:14,30,50,0,0
12/30/2022 17:29,30,49,0,0
12/30/2022 17:44,30,50,0,0
12/30/2022 17:59,31,49,0,0
12/30/2022 18:14,30,48,0,0
12/30/2022 18:29,30,47,0,0
12/30/2022 18:44,30,46,0,0
12/30/2022 18:59,30,47,0,0
12/30/2022 19:14,31,48,0,0
12/30/2022 19:29,32,49,0,0
12/30/2022 19:44,31,50,0,0
12/30/2022 19:59,30,49,0,0
12/30/2022 20:14,30,48,0,0
12/30/2022 20:29,30,49,0,0
12/30/2022 20:44,30,50,0,0
12/30/2022 20:59,30,49,0,0
12/30/2022 21:14,31,50,0,0
12/30/2022 21:29,30,51,0,0
12/30/2022 21:44,31,52,0,0
12/30/2022 21:59,30,53,0,0
12/30/2022 22:14,31,54,0,0
12/30/2022 22:29,30,53,0,0
12/30/2022 22:44,30,54,0,0
12/30/2022 22:59,30,55,0,0
12/30/2022 23:14,30,56,0,0
12/30/2022 23:29,30,55,0,0
12/30/2022 23:44,31,56,0,0
12/30/2022 23:59,30,57,0,0
12/31/2022 0:14,31,56,0,0
12/31/2022 0:29,32,55,0,0
12/31/2022 0:44,33,54,0,0
12/31/2022 0:59,34,55,0,0
12/31/2022 1:14,35,54,0,0
12/31/2022 1:29,36,53,0,0
12/31/2022 1:44,37,54,0,0
12/31/2022 1:59,38,53,0,0
12/31/2022 2:14,39,54,0,0
12/31/2022 2:29,38,55,0,0
12/31/2022 2:44,39,54,0,0
12/31/2022 2:59,40,55,0,0
12/31/2022 3:14,41,56,0,0
12/31/2022 3:29,42,57,0,0
12/31/2022 3:44,41,56,0,0
12/31/2022 3:59,40,55,0,0
12/31/2022 4:14,39,56,0,0
12/31/2022 4:29,40,57,0,0
12/31/2022 4:44,41,58,0,0
12/31/2022 4:59,42,59,0,0
12/31/2022 5:14,43,58,0,0
12/31/2022 5:29,44,59,0,0
12/31/2022 5:44,45,58,0,0
12/31/2022 5:59,46,57,0,0
12/31/2022 6:14,47,56,0,0
12/31/2022 6:29,48,57,0,0
12/31/2022 6:44,49,56,0,0
12/31/2022 6:59,48,55,0,0
12/31/2022 7:14,49,54,0,0
12/31/2022 7:29,48,55,0,0
12/31/2022 7:44,47,56,0,0
12/31/2022 7:59,46,57,0,0
12/31/2022 8:14,47,56,0,0
12/31/2022 8:29,46,55,0,0
12/31/2022 8:44,45,54,0,0
12/31/2022 8:59,44,55,0,0
12/31/2022 9:14,45,56,0,0
12/31/2022 9:29,46,55,0,0
12/31/2022 9:44,45,54,0,0
12/31/2022 9:59,46,53,0,0
12/31/2022 10:14,47,52,0,0
12/31/2022 10:29,46,53,0,0
12/31/2022 10:44,47,52,0,0
12/31/2022 10:59,46,53,0,0
12/31/2022 11:14,47,52,0,0
12/31/2022 11:29,46,53,0,0
12/31/2022 11:44,47,52,0,0
12/31/2022 11:59,46,53,0,0
12/31/2022 12:14,47,54,0,0
12/31/2022 12:29,48,53,0,0
12/31/2022 12:44,47,52,0,0
12/31/2022 12:59,46,51,0,0
12/31/2022 13:14,45,52,0,0
12/31/2022 13:29,44,53,0,0
12/31/2022 13:44,43,54,0,0
12/31/2022 13:59,44,55,0,0
12/31/2022 14:14,45,54,0,0
12/31/2022 14:29,46,53,0,0
12/31/2022 14:44,45,52,0,0
12/31/2022 14:59,44,53,0,0
12/31/2022 15:14,45,54,0,0
12/31/2022 15:29,46,55,0,0
12/31/2022 15:44,45,56,0,0
12/31/2022 15:59,46,57,0,0
12/31/2022 16:14,45,56,0,0
12/31/2022 16:29,44,55,0,0
12/31/2022 16:44,43,56,0,0
12/31/2022 16:59,44,55,0,0
12/31/2022 17:14,45,54,0,0
12/31/2022 17:29,44,55,0,0
12/31/2022 17:44,45,56,0,0
12/31/2022 17:59,44,55,0,0
12/31/2022 18:14,43,56,0,0
12/31/2022 18:29,44,55,0,0
12/31/2022 18:44,45,56,0,0
12/31/2022 18:59,46,55,0,0
12/31/2022 19:14,45,56,0,0
12/31/2022 19:29,44,55,0,0
12/31/2022 19:44,43,56,0,0
12/31/2022 19:59,44,57,0,0
12/31/2022 20:14,45,58,0,0
12/31/2022 20:29,44,57,0,0
12/31/2022 20:44,43,58,0,0
12/31/2022 20:59,42,59,0,0
12/31/2022 21:14,41,58,0,0
12/31/2022 21:29,40,59,0,0
12/31/2022 21:44,39,58,0,0
12/31/2022 21:59,38,59,0,0
12/31/2022 22:14,37,60,0,0
12/31/2022 22:29,36,61,0,0
12/31/2022 22:44,35,62,0,0
12/31/2022 22:59,34,61,0,0
