Date,satsp,oat,supply_vfd_speed,economizer_sig,cooling_sig
1/19/2023 5:21,86,76,39,20,0
1/19/2023 5:36,85,75,38,85,25
1/19/2023 5:51,84,74,39,85,24
1/19/2023 6:06,83,75,38,20,23
1/19/2023 6:21,82,74,37,20,0
1/19/2023 6:36,83,75,36,20,0
1/19/2023 6:51,84,76,35,20,26
1/19/2023 7:06,85,77,34,20,25
1/19/2023 7:21,86,76,33,20,24
1/19/2023 7:36,85,75,34,20,25
1/19/2023 7:51,86,76,35,20,0
1/19/2023 8:06,85,77,36,20,0
1/19/2023 8:21,84,76,37,20,26
1/19/2023 8:36,83,75,36,85,27
1/19/2023 8:51,82,76,35,20,26
1/19/2023 9:06,83,75,36,20,0
1/19/2023 9:21,84,74,35,20,0
1/19/2023 9:36,83,73,36,20,26
1/19/2023 9:51,82,72,35,85,26
1/19/2023 10:06,81,73,34,20,27
1/19/2023 10:21,80,74,33,20,0
1/19/2023 10:36,81,73,32,20,0
1/19/2023 10:51,80,74,33,88,26
1/19/2023 11:06,79,73,32,20,27
1/19/2023 11:21,80,72,33,20,28
1/19/2023 11:36,81,73,32,20,29
1/19/2023 11:51,82,74,33,20,28
1/19/2023 12:06,83,75,32,82,29
1/19/2023 12:21,84,74,31,44,28
1/19/2023 12:36,83,73,32,20,29
1/19/2023 12:51,84,74,33,88,28
1/19/2023 13:06,83,73,34,20,27
1/19/2023 13:21,82,74,33,20,28
1/19/2023 13:36,81,73,32,45,27
1/19/2023 13:51,82,72,33,20,26
1/19/2023 14:06,83,71,34,20,27
1/19/2023 14:21,84,72,35,20,26
1/19/2023 14:36,83,73,36,20,27
1/19/2023 14:51,82,72,35,20,28
1/19/2023 15:06,81,71,34,20,29
1/19/2023 15:21,82,72,33,20,30
1/19/2023 15:36,81,71,34,20,29
1/19/2023 15:51,80,72,35,20,28
1/19/2023 16:06,81,73,36,20,27
1/19/2023 16:21,82,72,35,20,28
1/19/2023 16:36,81,73,34,20,27
1/19/2023 16:51,82,74,33,20,26
1/19/2023 17:06,83,75,32,20,25
1/19/2023 17:21,82,76,33,20,24
1/19/2023 17:36,81,75,34,20,25
1/19/2023 17:51,82,76,33,20,24
1/19/2023 18:06,81,77,34,20,23
1/19/2023 18:21,82,78,33,20,22
1/19/2023 18:36,81,77,34,20,21
1/19/2023 18:51,82,76,33,20,22
1/19/2023 19:06,81,77,34,20,23
1/19/2023 19:21,82,78,33,20,24
1/19/2023 19:36,83,79,32,20,23
1/19/2023 19:51,84,78,33,20,22
1/19/2023 20:06,83,79,32,20,23
1/19/2023 20:21,84,78,31,20,24
1/19/2023 20:36,85,79,30,20,23
1/19/2023 20:51,84,80,29,20,22
1/19/2023 21:06,83,81,28,20,21
1/19/2023 21:21,84,80,27,20,20
1/19/2023 21:36,83,81,28,20,19
1/19/2023 21:51,84,80,29,20,18
1/19/2023 22:06,83,79,30,20,17
1/19/2023 22:21,82,80,31,20,18
1/19/2023 22:36,81,79,32,20,17
1/19/2023 22:51,82,80,31,20,16
1/19/2023 23:06,81,81,30,20,15
1/19/2023 23:21,82,80,31,20,14
1/19/2023 23:36,81,79,32,20,13
1/19/2023 23:51,82,80,33,20,14
1/20/2023 0:06,81,79,34,20,13
1/20/2023 0:21,82,80,33,20,14
1/20/2023 0:36,83,81,34,20,13
1/20/2023 0:51,84,80,33,20,14
1/20/2023 1:06,85,81,34,20,13
1/20/2023 1:21,84,82,35,20,12
1/20/2023 1:36,85,81,36,20,11
1/20/2023 1:51,84,82,37,20,10
1/20/2023 2:06,83,83,36,20,11
1/20/2023 2:21,84,82,37,20,12
1/20/2023 2:36,85,81,36,20,13
1/20/2023 2:51,84,80,35,20,12
1/20/2023 3:06,85,79,36,20,11
1/20/2023 3:21,84,78,37,20,10
1/20/2023 3:36,85,79,38,20,9
1/20/2023 3:51,84,78,39,20,10
1/20/2023 4:06,83,77,38,20,11
1/20/2023 4:21,82,78,37,20,10
1/20/2023 4:36,83,79,36,20,9
1/20/2023 4:51,82,78,35,20,10
1/20/2023 5:06,81,77,36,20,11
1/20/2023 5:21,80,76,35,20,12
1/20/2023 5:36,79,75,34,20,11
1/20/2023 5:51,78,76,35,20,12
1/20/2023 6:06,79,75,36,20,13
1/20/2023 6:21,78,76,35,20,12
1/20/2023 6:36,79,77,34,20,11
1/20/2023 6:51,80,78,35,20,10
1/20/2023 7:06,79,79,36,20,9
1/20/2023 7:21,78,80,35,20,8
1/20/2023 7:36,79,79,34,20,9
1/20/2023 7:51,78,78,35,20,10
1/20/2023 8:06,79,79,36,20,9
1/20/2023 8:21,78,78,37,20,10
1/20/2023 8:36,79,77,38,20,9
1/20/2023 8:51,78,76,37,20,10
1/20/2023 9:06,77,75,38,20,11
1/20/2023 9:21,76,76,39,20,12
1/20/2023 9:36,75,75,40,20,13
1/20/2023 9:51,76,76,39,20,12
1/20/2023 10:06,77,75,38,20,13
1/20/2023 10:21,76,74,39,20,12
1/20/2023 10:36,77,73,40,20,13
1/20/2023 10:51,76,72,39,20,12
1/20/2023 11:06,77,73,38,20,13
1/20/2023 11:21,76,74,39,20,14
1/20/2023 11:36,77,73,40,20,15
1/20/2023 11:51,78,72,39,20,16
1/20/2023 12:06,77,71,40,20,17
1/20/2023 12:21,78,72,41,20,18
1/20/2023 12:36,79,71,42,20,19
1/20/2023 12:51,78,70,41,20,18
1/20/2023 13:06,77,71,42,20,17
1/20/2023 13:21,76,72,43,20,18
1/20/2023 13:36,75,73,42,20,19
1/20/2023 13:51,76,72,41,20,18
1/20/2023 14:06,75,73,40,20,17
1/20/2023 14:21,74,74,39,20,16
1/20/2023 14:36,73,73,38,20,15
1/20/2023 14:51,72,74,39,20,14
1/20/2023 15:06,71,75,38,20,15
1/20/2023 15:21,70,76,39,20,16
1/20/2023 15:36,69,77,38,20,15
1/20/2023 15:51,70,76,37,20,14
1/20/2023 16:06,71,77,36,20,15
1/20/2023 16:21,70,78,35,20,14
1/20/2023 16:36,69,77,36,20,13
1/20/2023 16:51,68,78,37,20,12
1/20/2023 17:06,67,79,36,20,13
1/20/2023 17:21,66,80,37,20,12
1/20/2023 17:36,65,81,36,20,13
1/20/2023 17:51,66,82,35,20,14
1/20/2023 18:06,65,81,36,20,15
1/20/2023 18:21,66,80,37,20,16
1/20/2023 18:36,67,81,36,20,15
1/20/2023 18:51,66,82,37,20,16
1/20/2023 19:06,67,83,38,20,15
1/20/2023 19:21,66,82,39,20,14
1/20/2023 19:36,67,81,38,20,15
1/20/2023 19:51,66,80,39,20,16
1/20/2023 20:06,67,79,38,20,15
1/20/2023 20:21,66,78,39,20,16
1/20/2023 20:36,67,79,38,20,15
1/20/2023 20:51,66,80,37,20,16
1/20/2023 21:06,65,79,36,20,17
1/20/2023 21:21,66,78,37,20,16
1/20/2023 21:36,67,79,36,20,15
1/20/2023 21:51,66,78,35,20,16
1/20/2023 22:06,65,77,34,20,15
1/20/2023 22:21,66,78,33,20,14
1/20/2023 22:36,65,77,34,20,15
1/20/2023 22:51,66,78,35,20,14
1/20/2023 23:06,65,77,36,20,13
1/20/2023 23:21,66,78,35,20,12
1/20/2023 23:36,67,77,36,20,13
1/20/2023 23:51,68,76,37,20,12
1/21/2023 0:06,69,75,36,20,13
1/21/2023 0:21,70,74,35,20,12
1/21/2023 0:36,71,75,34,20,11
1/21/2023 0:51,72,74,33,20,10
1/21/2023 1:06,73,75,34,20,11
1/21/2023 1:21,74,76,33,20,10
1/21/2023 1:36,75,75,32,20,9
1/21/2023 1:51,74,74,31,20,10
1/21/2023 2:06,73,73,32,20,11
1/21/2023 2:21,72,74,31,20,10
1/21/2023 2:36,71,73,30,20,9
1/21/2023 2:51,70,72,29,20,10
1/21/2023 3:06,71,73,30,20,9
1/21/2023 3:21,72,74,29,20,10
1/21/2023 3:36,71,75,30,20,9
1/21/2023 3:51,70,76,29,20,8
1/21/2023 4:06,71,77,30,20,7
1/21/2023 4:21,70,76,31,20,6
1/21/2023 4:36,71,77,32,20,5
1/21/2023 4:51,72,78,31,20,6
1/21/2023 5:06,73,77,30,20,7
1/21/2023 5:21,74,78,31,20,8
1/21/2023 5:36,75,77,32,20,7
1/21/2023 5:51,76,76,31,20,8
1/21/2023 6:06,77,77,32,20,9
1/21/2023 6:21,78,78,31,20,10
1/21/2023 6:36,79,79,32,20,9
1/21/2023 6:51,78,78,31,20,8
1/21/2023 7:06,77,79,32,20,9
1/21/2023 7:21,76,80,31,20,10
1/21/2023 7:36,77,79,30,20,11
1/21/2023 7:51,78,80,31,20,10
1/21/2023 8:06,79,79,30,20,9
1/21/2023 8:21,78,78,31,20,8
1/21/2023 8:36,77,77,30,20,9
1/21/2023 8:51,76,78,29,20,8
1/21/2023 9:06,75,79,28,20,7
1/21/2023 9:21,74,78,27,20,6
1/21/2023 9:36,75,79,28,20,5
1/21/2023 9:51,74,80,29,20,4
1/21/2023 10:06,73,81,30,20,5
1/21/2023 10:21,74,82,29,20,6
1/21/2023 10:36,73,81,28,20,5
1/21/2023 10:51,74,82,29,20,4
1/21/2023 11:06,73,81,30,20,3
1/21/2023 11:21,72,82,29,20,4
1/21/2023 11:36,71,81,28,20,3
1/21/2023 11:51,70,82,27,20,4
1/21/2023 12:06,71,83,26,20,3
1/21/2023 12:21,72,82,27,20,4
1/21/2023 12:36,73,81,28,20,3
1/21/2023 12:51,72,80,29,20,4
1/21/2023 13:06,73,79,28,20,5
1/21/2023 13:21,72,78,27,20,6
1/21/2023 13:36,73,79,28,20,5
1/21/2023 13:51,74,78,27,20,6
1/21/2023 14:06,75,77,26,20,7
1/21/2023 14:21,76,76,27,20,8
1/21/2023 14:36,77,77,26,20,7
1/21/2023 14:51,78,78,25,20,8
1/21/2023 15:06,79,79,24,20,7
1/21/2023 15:21,80,80,25,20,8
1/21/2023 15:36,81,79,24,20,7
1/21/2023 15:51,82,78,23,20,8
1/21/2023 16:06,81,77,22,20,7
1/21/2023 16:21,80,76,21,20,6
1/21/2023 16:36,81,77,20,20,5
1/21/2023 16:51,82,76,21,20,6
1/21/2023 17:06,81,77,20,20,7
1/21/2023 17:21,82,78,21,20,6
1/21/2023 17:36,83,77,20,20,5
1/21/2023 17:51,82,78,21,20,6
1/21/2023 18:06,83,79,20,20,7
1/21/2023 18:21,84,80,21,20,8
1/21/2023 18:36,83,79,22,20,9
1/21/2023 18:51,84,78,21,20,10
1/21/2023 19:06,83,77,22,20,9
1/21/2023 19:21,84,76,23,20,8
1/21/2023 19:36,85,75,24,20,9
1/21/2023 19:51,86,76,25,20,8
1/21/2023 20:06,87,77,24,20,9
1/21/2023 20:21,86,78,23,20,8
1/21/2023 20:36,85,79,24,20,9
1/21/2023 20:51,86,78,25,20,8
1/21/2023 21:06,87,79,24,20,7
1/21/2023 21:21,88,80,25,20,6
1/21/2023 21:36,89,81,24,20,7
1/21/2023 21:51,88,82,25,20,8
1/21/2023 22:06,87,81,24,20,9
1/21/2023 22:21,88,80,25,20,10
1/21/2023 22:36,87,79,26,20,11
1/21/2023 22:51,86,80,27,20,12
1/21/2023 23:06,87,79,26,20,13
1/21/2023 23:21,86,78,27,20,14
1/21/2023 23:36,85,79,28,20,15
1/21/2023 23:51,86,80,27,20,14
1/22/2023 0:06,87,79,26,20,13
1/22/2023 0:21,88,80,25,20,14
1/22/2023 0:36,87,79,26,20,15
1/22/2023 0:51,88,78,27,20,16
1/22/2023 1:06,89,79,26,20,15
1/22/2023 1:21,90,80,27,20,16
1/22/2023 1:36,90,81,26,20,17
1/22/2023 1:51,89,80,27,20,16
1/22/2023 2:06,90,79,28,20,17
1/22/2023 2:21,89,80,27,20,18
1/22/2023 2:36,88,81,28,20,19
1/22/2023 2:51,87,80,29,20,18
1/22/2023 3:06,86,81,28,20,17
1/22/2023 3:21,85,82,27,20,16
1/22/2023 3:36,86,81,28,20,17
1/22/2023 3:51,87,80,29,20,16
1/22/2023 4:06,86,79,28,20,15
1/22/2023 4:21,85,80,29,20,16
1/22/2023 4:36,84,81,28,20,17
1/22/2023 4:51,85,82,27,20,16
1/22/2023 5:06,84,81,26,20,17
1/22/2023 5:21,85,82,27,20,18
1/22/2023 5:36,84,81,26,20,17
1/22/2023 5:51,83,80,25,20,18
1/22/2023 6:06,84,81,26,20,19
1/22/2023 6:21,83,80,25,20,20
1/22/2023 6:36,84,81,24,20,19
1/22/2023 6:51,83,80,23,20,20
1/22/2023 7:06,84,79,24,20,21
1/22/2023 7:21,85,80,23,20,22
1/22/2023 7:36,84,79,24,20,21
1/22/2023 7:51,85,80,25,20,20
1/22/2023 8:06,84,79,26,20,19
1/22/2023 8:21,85,78,27,20,18
1/22/2023 8:36,84,79,28,20,19
1/22/2023 8:51,83,78,29,20,20
1/22/2023 9:06,82,79,28,20,19
1/22/2023 9:21,83,78,27,20,20
1/22/2023 9:36,84,77,26,20,19
1/22/2023 9:51,85,78,25,20,20
1/22/2023 10:06,86,79,26,20,21
1/22/2023 10:21,85,80,25,20,20
1/22/2023 10:36,84,81,26,20,21
1/22/2023 10:51,83,80,25,20,20
1/22/2023 11:06,84,79,24,20,19
1/22/2023 11:21,83,78,25,20,18
1/22/2023 11:36,84,77,24,20,19
1/22/2023 11:51,85,78,25,20,20
1/22/2023 12:06,84,79,24,20,19
1/22/2023 12:21,83,78,23,20,18
1/22/2023 12:36,84,77,24,20,19
1/22/2023 12:51,83,78,23,20,18
1/22/2023 13:06,84,79,22,20,19
1/22/2023 13:21,85,78,23,20,20
1/22/2023 13:36,84,79,22,20,19
1/22/2023 13:51,85,80,21,20,20
1/22/2023 14:06,84,81,22,20,21
1/22/2023 14:21,85,80,23,20,20
1/22/2023 14:36,86,81,22,20,21
1/22/2023 14:51,85,80,23,20,22
1/22/2023 15:06,86,81,22,20,23
1/22/2023 15:21,85,80,21,20,24
1/22/2023 15:36,86,81,20,20,25
1/22/2023 15:51,87,82,21,20,24
1/22/2023 16:06,86,83,22,20,23
1/22/2023 16:21,87,82,21,20,22
1/22/2023 16:36,88,83,22,20,23
1/22/2023 16:51,87,84,21,20,24
1/22/2023 17:06,88,85,20,20,25
1/22/2023 17:21,89,86,19,20,26
1/22/2023 17:36,88,85,18,20,25
1/22/2023 17:51,87,86,19,20,26
1/22/2023 18:06,86,85,20,20,25
1/22/2023 18:21,85,84,19,20,26
1/22/2023 18:36,86,85,20,20,27
1/22/2023 18:51,85,86,19,20,28
1/22/2023 19:06,86,85,20,20,29
1/22/2023 19:21,87,84,19,0,28
1/22/2023 19:36,86,83,20,0,29
1/22/2023 19:51,87,84,21,0,28
1/22/2023 20:06,88,83,22,0,29
1/22/2023 20:21,89,84,23,0,30
1/22/2023 20:36,88,85,22,0,31
1/22/2023 20:51,89,86,21,0,30
1/22/2023 21:06,88,85,20,0,29
1/22/2023 21:21,87,84,21,0,30
1/22/2023 21:36,86,83,20,0,29
1/22/2023 21:51,85,82,19,0,28
1/22/2023 22:06,84,81,18,0,29
1/22/2023 22:21,83,82,19,0,30
1/22/2023 22:36,84,81,0,0,29
1/22/2023 22:51,85,80,0,0,28
1/22/2023 23:06,86,79,0,0,29
1/22/2023 23:21,87,78,0,0,28
1/22/2023 23:36,86,79,0,0,29
1/22/2023 23:51,85,78,0,0,28
1/23/2023 0:06,84,79,0,0,29
1/23/2023 0:21,83,78,0,0,30
1/23/2023 0:36,84,79,0,0,29
1/23/2023 0:51,85,78,0,0,30
1/23/2023 1:06,84,77,0,0,31
1/23/2023 1:21,83,78,0,0,30
1/23/2023 1:36,82,79,0,0,31
1/23/2023 1:51,83,78,0,0,32
1/23/2023 2:06,84,79,0,0,31
1/23/2023 2:21,85,78,0,0,30
1/23/2023 2:36,86,77,0,0,29
1/23/2023 2:51,87,76,0,0,28
1/23/2023 3:06,86,77,0,0,29
1/23/2023 3:21,85,76,0,0,28
1/23/2023 3:36,86,77,0,0,29
1/23/2023 3:51,87,76,0,0,30
1/23/2023 4:06,86,77,0,0,31
1/23/2023 4:21,85,76,0,0,32
1/23/2023 4:36,86,77,0,0,33
1/23/2023 4:51,85,78,0,0,34
1/23/2023 5:06,86,79,0,0,35
1/23/2023 5:21,87,78,0,0,34
1/23/2023 5:36,88,79,0,0,33
1/23/2023 5:51,89,78,0,0,34
1/23/2023 6:06,90,77,0,0,33
1/23/2023 6:21,90,78,0,0,34
1/23/2023 6:36,89,79,0,0,35
1/23/2023 6:51,88,78,0,0,34
1/23/2023 7:06,89,79,0,0,35
1/23/2023 7:21,90,78,0,0,36
1/23/2023 7:36,90,79,0,0,37
1/23/2023 7:51,90,80,0,0,38
1/23/2023 8:06,90,81,0,0,39
1/23/2023 8:21,90,82,0,0,38
1/23/2023 8:36,90,83,0,0,37
1/23/2023 8:51,89,84,0,0,38
1/23/2023 9:06,88,83,0,0,39
1/23/2023 9:21,89,82,0,0,40
1/23/2023 9:36,90,83,0,0,39
1/23/2023 9:51,89,82,0,0,40
1/23/2023 10:06,88,83,0,0,39
1/23/2023 10:21,89,84,0,0,40
1/23/2023 10:36,88,85,0,0,39
1/23/2023 10:51,89,84,0,0,40
1/23/2023 11:06,88,85,0,0,41
1/23/2023 11:21,89,86,0,0,40
1/23/2023 11:36,88,85,0,0,39
1/23/2023 11:51,89,86,0,0,40
1/23/2023 12:06,88,85,0,0,39
1/23/2023 12:21,89,86,0,0,40
1/23/2023 12:36,88,85,0,0,39
1/23/2023 12:51,89,84,0,0,38
1/23/2023 13:06,90,85,0,0,39
1/23/2023 13:21,89,86,0,0,38
1/23/2023 13:36,90,87,0,0,39
1/23/2023 13:51,90,86,0,0,40
1/23/2023 14:06,90,85,0,0,41
1/23/2023 14:21,90,86,0,0,42
1/23/2023 14:36,90,85,0,0,41
1/23/2023 14:51,90,86,0,0,42
1/23/2023 15:06,89,85,0,0,41
1/23/2023 15:21,90,84,0,0,40
1/23/2023 15:36,90,83,0,0,41
1/23/2023 15:51,90,82,0,0,40
1/23/2023 16:06,89,83,0,0,41
1/23/2023 16:21,88,82,0,0,40
1/23/2023 16:36,87,81,0,0,39
1/23/2023 16:51,86,80,0,0,40
1/23/2023 17:06,87,79,0,0,41
1/23/2023 17:21,88,80,0,0,42
1/23/2023 17:36,87,81,0,0,41
1/23/2023 17:51,86,82,0,0,40
1/23/2023 18:06,85,81,0,0,39
1/23/2023 18:21,84,80,0,0,40
1/23/2023 18:36,83,79,0,0,39
1/23/2023 18:51,84,78,0,0,38
1/23/2023 19:06,85,77,0,0,39
1/23/2023 19:21,86,78,0,0,40
1/23/2023 19:36,87,79,0,0,41
1/23/2023 19:51,86,80,0,0,40
1/23/2023 20:06,87,81,0,0,41
1/23/2023 20:21,88,80,0,0,40
1/23/2023 20:36,89,79,0,0,41
1/23/2023 20:51,90,78,0,0,42
1/23/2023 21:06,90,79,0,0,43
1/23/2023 21:21,89,78,0,0,44
1/23/2023 21:36,88,79,0,0,43
1/23/2023 21:51,89,78,0,0,42
1/23/2023 22:06,88,77,0,0,43
1/23/2023 22:21,89,76,0,0,44
1/23/2023 22:36,88,75,0,0,45
1/23/2023 22:51,89,76,0,0,44
1/23/2023 23:06,88,75,0,0,45
1/23/2023 23:21,87,76,0,0,44
1/23/2023 23:36,88,77,0,0,45
1/23/2023 23:51,89,78,0,0,46
1/24/2023 0:06,88,77,0,0,47
1/24/2023 0:21,87,76,0,0,46
1/24/2023 0:36,86,77,0,0,45
1/24/2023 0:51,87,78,0,0,46
1/24/2023 1:06,88,79,0,0,47
1/24/2023 1:21,87,80,0,0,48
1/24/2023 1:36,86,81,0,0,49
1/24/2023 1:51,85,82,0,0,48
1/24/2023 2:06,86,83,0,0,49
1/24/2023 2:21,85,84,0,0,48
1/24/2023 2:36,84,85,0,0,47
1/24/2023 2:51,85,86,0,0,46
1/24/2023 3:06,84,87,0,0,45
1/24/2023 3:21,83,86,0,0,44
1/24/2023 3:36,82,87,0,0,43
1/24/2023 3:51,83,86,0,0,42
1/24/2023 4:06,84,87,0,0,43
1/24/2023 4:21,83,86,0,0,42
1/24/2023 4:36,82,85,0,0,41
1/24/2023 4:51,81,86,0,0,42
1/24/2023 5:06,82,87,0,0,41
1/24/2023 5:21,83,86,0,0,40
1/24/2023 5:36,82,87,0,0,39
1/24/2023 5:51,83,88,0,0,40
1/24/2023 6:06,82,89,0,0,41
1/24/2023 6:21,83,90,0,0,40
1/24/2023 6:36,82,89,0,0,41
1/24/2023 6:51,83,88,0,0,40
1/24/2023 7:06,84,89,0,0,39
1/24/2023 7:21,83,88,0,0,38
1/24/2023 7:36,84,87,0,0,39
1/24/2023 7:51,85,86,0,0,38
1/24/2023 8:06,84,85,0,0,37
1/24/2023 8:21,85,84,0,0,38
1/24/2023 8:36,84,85,0,0,37
1/24/2023 8:51,83,84,0,0,36
1/24/2023 9:06,82,83,0,0,37
1/24/2023 9:21,83,82,0,0,38
1/24/2023 9:36,82,81,0,0,39
1/24/2023 9:51,81,80,0,0,38
1/24/2023 10:06,80,79,0,0,39
1/24/2023 10:21,81,80,0,0,40
1/24/2023 10:36,80,79,0,0,41
1/24/2023 10:51,79,80,0,0,42
1/24/2023 11:06,78,79,0,0,43
1/24/2023 11:21,77,78,0,0,44
1/24/2023 11:36,78,79,0,0,43
1/24/2023 11:51,77,80,0,0,44
1/24/2023 12:06,76,81,0,0,43
1/24/2023 12:21,77,82,0,0,42
1/24/2023 12:36,78,81,0,0,41
1/24/2023 12:51,77,80,0,0,40
1/24/2023 13:06,78,81,0,0,41
1/24/2023 13:21,77,82,0,0,42
1/24/2023 13:36,76,81,0,0,41
1/24/2023 13:51,77,80,0,0,42
1/24/2023 14:06,76,79,0,0,43
1/24/2023 14:21,77,78,0,0,44
1/24/2023 14:36,78,77,0,0,43
1/24/2023 14:51,77,78,0,0,42
1/24/2023 15:06,76,79,0,0,41
1/24/2023 15:21,75,80,0,0,42
1/24/2023 15:36,74,79,0,0,43
1/24/2023 15:51,73,80,0,0,42
1/24/2023 16:06,74,79,0,0,43
1/24/2023 16:21,73,78,0,0,42
1/24/2023 16:36,72,77,0,0,41
1/24/2023 16:51,73,78,0,0,42
1/24/2023 17:06,72,77,0,0,43
1/24/2023 17:21,71,78,0,0,42
1/24/2023 17:36,70,77,0,30,41
1/24/2023 17:51,69,78,0,29,42
1/24/2023 18:06,70,79,0,30,41
1/24/2023 18:21,71,78,0,29,40
1/24/2023 18:36,72,79,0,30,41
1/24/2023 18:51,71,80,0,31,40
1/24/2023 19:06,72,79,0,30,39
1/24/2023 19:21,71,80,0,31,38
1/24/2023 19:36,70,79,0,32,37
1/24/2023 19:51,71,80,0,33,38
1/24/2023 20:06,70,81,0,32,37
1/24/2023 20:21,71,80,0,31,36
1/24/2023 20:36,72,79,0,32,37
1/24/2023 20:51,73,80,0,33,38
1/24/2023 21:06,72,81,0,34,37
1/24/2023 21:21,73,80,0,35,36
1/24/2023 21:36,72,79,0,34,35
1/24/2023 21:51,71,80,0,35,36
1/24/2023 22:06,70,79,0,36,37
1/24/2023 22:21,71,80,0,37,38
1/24/2023 22:36,72,81,0,36,39
1/24/2023 22:51,73,82,0,37,40
1/24/2023 23:06,74,81,0,38,39
1/24/2023 23:21,75,82,0,37,38
1/24/2023 23:36,76,83,0,38,39
1/24/2023 23:51,77,82,0,39,40
1/25/2023 0:06,78,81,0,40,41
1/25/2023 0:21,77,80,0,39,42
1/25/2023 0:36,76,79,0,38,43
1/25/2023 0:51,75,80,0,37,42
1/25/2023 1:06,76,81,0,38,43
1/25/2023 1:21,75,82,0,39,42
1/25/2023 1:36,74,83,0,38,41
1/25/2023 1:51,73,82,0,39,42
1/25/2023 2:06,72,81,0,38,41
1/25/2023 2:21,71,82,0,37,42
1/25/2023 2:36,70,83,0,38,41
1/25/2023 2:51,71,84,0,39,42
1/25/2023 3:06,70,83,0,40,41
1/25/2023 3:21,71,84,0,39,42
1/25/2023 3:36,72,85,0,38,43
1/25/2023 3:51,71,86,0,39,42
1/25/2023 4:06,70,85,0,40,43
1/25/2023 4:21,71,86,0,39,42
1/25/2023 4:36,72,85,0,40,41
1/25/2023 4:51,73,84,0,41,42
1/25/2023 5:06,74,85,0,40,43
1/25/2023 5:21,75,86,0,39,44
1/25/2023 5:36,74,85,0,40,43
1/25/2023 5:51,75,84,0,41,44
1/25/2023 6:06,76,85,0,42,43
1/25/2023 6:21,75,84,0,43,42
1/25/2023 6:36,74,83,0,44,43
1/25/2023 6:51,73,84,0,43,44
1/25/2023 7:06,72,83,0,44,43
1/25/2023 7:21,71,84,0,45,44
1/25/2023 7:36,72,83,0,44,45
1/25/2023 7:51,71,82,0,45,44
